date,open,high,low,close,volume
2018-10-01,1014.700012,1014.700012,924.400024,956.200012,56870,null
2018-11-01,956.549988,970.75,930.0,937.299988,26308,null
2018-12-01,962.700012,962.700012,8.706,8.854,92234,null
2019-01-01,889.950012,950.099976,874.549988,935.5,44934,null
2019-02-01,941.099976,961.299988,909.0,958.049988,56775,null
2019-03-01,970.200012,972.099976,940.411987,948.549988,44623,null
2019-04-01,963.700012,1018.599976,963.700012,1015.799988,25272,null
2019-05-01,1018.200012,1018.200012,949.599976,949.599976,7451,null
2019-06-01,952.400024,1001.799988,952.400024,1001.799988,66262,null
2019-07-01,1012.400024,1016.299988,952.734985,955.049988,36969,null
2019-08-01,958.75,958.75,883.849976,930.650024,10809,null
2019-09-01,933.0,976.849976,926.700012,976.849976,16900,null
2019-09-03,927.200012,927.200012,926.700012,983.700012,530,null
