date,open,high,low,close,volume
2015-03-26,79.23,79.23,78.48,78.48,10468.00,Alphavantage
2015-03-31,77.99,78.91,77.52,78.91,39525.00,Alphavantage
2015-04-07,79.91,79.94,79.48,79.78,3223.00,Alphavantage
2015-04-08,79.79,80.36,79.79,80.12,43431.00,Alphavantage
2015-04-10,79.40,79.92,79.38,79.58,3221.00,Alphavantage
2015-04-21,53.89,53.89,53.52,53.45,862.00,Alphavantage
2015-04-23,53.10,53.38,53.10,53.09,116001.00,Alphavantage
2015-04-24,52.63,52.85,52.63,52.84,106080.00,Alphavantage
2015-04-27,80.28,80.66,79.70,80.48,236351.00,Alphavantage
2015-04-28,52.67,52.84,52.67,52.68,11966.00,Alphavantage
2015-04-29,52.44,52.41,52.32,52.29,4040.00,Alphavantage
2015-05-01,79.90,79.90,79.60,79.81,42.00,Alphavantage
2015-05-05,52.36,52.36,52.13,52.27,2184.00,Alphavantage
2015-05-06,79.34,79.79,79.34,79.76,3834.00,Alphavantage
2015-05-26,51.32,51.32,51.32,51.03,600.00,Alphavantage
2015-05-27,51.23,51.32,50.98,51.19,3919.00,Alphavantage
2015-05-28,78.25,78.83,78.03,78.41,3291.00,Alphavantage
2015-05-29,51.48,51.63,51.35,51.52,4904.00,Alphavantage
2015-06-01,51.32,51.51,51.32,51.49,5579.00,Alphavantage
2015-06-02,51.22,51.28,51.22,51.09,15377.00,Alphavantage
2015-06-03,78.52,78.52,77.92,78.19,1122.00,Alphavantage
2015-06-05,50.70,50.71,50.61,50.15,391534.00,Alphavantage
2015-06-08,76.13,76.67,76.08,76.46,2330.00,Alphavantage
2015-06-09,76.93,77.11,76.60,76.95,6293.00,Alphavantage
2015-06-11,50.47,50.47,49.68,49.92,4572.00,Alphavantage
2015-06-12,50.12,50.41,49.63,49.62,10257.00,Alphavantage
2015-06-15,49.94,49.94,49.94,49.58,10.00,Alphavantage
2015-06-16,49.55,49.57,49.55,49.35,15006.00,Alphavantage
2015-06-17,49.17,49.17,48.90,49.02,609.00,Alphavantage
2015-06-18,49.25,49.25,49.00,49.26,310.00,Alphavantage
2015-06-19,77.60,78.02,77.60,77.89,103.00,Alphavantage
2015-06-22,49.57,49.57,49.34,49.59,14609.00,Alphavantage
2015-06-23,49.49,49.49,49.34,49.62,3662.00,Alphavantage
2015-06-24,49.80,50.08,49.80,49.74,27777.00,Alphavantage
2015-06-25,49.52,49.52,49.43,49.60,32166.00,Alphavantage
2015-06-26,78.23,78.42,77.93,77.80,39364.00,Alphavantage
2015-06-29,49.48,49.48,49.08,49.07,524.00,Alphavantage
2015-06-30,49.24,49.24,49.24,49.24,0.00,Alphavantage
2015-07-01,49.83,49.83,49.27,49.48,10296.00,Alphavantage
2015-07-02,49.24,49.24,49.24,49.56,49.00,Alphavantage
2015-07-03,77.60,77.82,77.10,77.05,1351.00,Alphavantage
2015-07-06,76.81,77.31,76.81,77.10,710.00,Alphavantage
2015-07-07,77.25,77.25,76.28,76.55,3090.00,Alphavantage
2015-07-08,76.79,76.90,76.53,76.80,509.00,Alphavantage
2015-07-09,76.57,77.02,76.57,76.94,7336.00,Alphavantage
2015-07-10,49.59,49.82,49.59,49.82,128.00,Alphavantage
2015-07-13,77.26,77.26,76.81,77.03,1079.00,Alphavantage
2015-07-14,49.61,49.67,49.61,49.65,172.00,Alphavantage
2015-07-15,77.47,77.50,76.95,77.11,1258.00,Alphavantage
2015-07-16,77.33,77.33,77.00,77.23,15585.00,Alphavantage
2015-07-17,77.41,77.46,76.88,77.02,6577.00,Alphavantage
2015-07-20,49.41,49.41,49.28,49.14,529.00,Alphavantage
2015-07-21,76.82,77.04,76.53,76.91,23770.00,Alphavantage
2015-07-22,49.08,49.11,49.08,48.97,398.00,Alphavantage
2015-07-23,76.40,76.40,76.16,76.33,735.00,Alphavantage
2015-07-24,76.03,76.03,75.41,75.59,2701.00,Alphavantage
2015-07-27,48.66,48.66,48.66,48.59,75.00,Alphavantage
2015-07-28,75.44,75.65,75.35,75.55,943.00,Alphavantage
2015-07-29,75.46,75.86,75.41,75.71,1040.00,Alphavantage
2015-07-30,75.30,75.57,75.03,75.15,3699.00,Alphavantage
2015-07-31,73.38,74.14,73.38,74.10,18536.00,Alphavantage
2015-08-03,73.60,73.61,73.21,73.40,3022.00,Alphavantage
2015-08-05,46.57,46.57,46.57,46.57,0.00,Alphavantage
2015-08-06,46.93,46.93,46.93,46.81,10.00,Alphavantage
2015-08-12,46.24,46.54,46.04,46.30,1058.00,Alphavantage
2015-08-13,46.24,46.47,46.09,46.31,122.00,Alphavantage
2015-08-14,72.14,72.37,71.96,72.10,273698.00,Alphavantage
2015-08-17,45.78,46.40,45.77,46.21,1735504.00,Alphavantage
2015-08-18,71.71,71.78,71.54,71.75,52270.00,Alphavantage
2015-08-19,45.64,46.12,45.60,45.57,52040.00,Alphavantage
2015-08-20,71.19,71.49,70.94,71.30,1936.00,Alphavantage
2015-08-21,45.20,45.41,44.96,45.24,443057.00,Alphavantage
2015-08-24,44.78,44.83,43.13,44.56,1765306.00,Alphavantage
2015-08-25,44.54,44.91,44.54,45.05,32984.00,Alphavantage
2015-08-26,44.33,44.33,44.33,45.02,640.00,Alphavantage
2015-08-27,70.49,70.49,69.90,70.43,9289.00,Alphavantage
2015-08-28,70.23,70.75,70.17,70.66,304.00,Alphavantage
2015-09-01,45.90,45.94,45.64,45.66,1854.00,Alphavantage
2015-09-02,69.93,70.06,69.69,69.80,73114.00,Alphavantage
2015-09-03,45.64,45.64,45.64,45.64,0.00,Alphavantage
2015-09-04,45.68,45.75,45.37,45.52,930.00,Alphavantage
2015-09-07,44.99,45.04,44.73,44.84,42029.00,Alphavantage
2015-09-08,44.50,45.45,44.43,44.95,135752.00,Alphavantage
2015-09-09,69.29,69.29,69.16,69.14,1702.00,Alphavantage
2015-09-10,68.67,68.86,68.20,68.92,2497.00,Alphavantage
2015-09-14,44.84,44.96,44.84,44.90,421.00,Alphavantage
2015-09-15,44.96,45.18,44.96,45.13,388.00,Alphavantage
2015-09-16,69.48,69.79,69.22,69.83,10298.00,Alphavantage
