date,open,high,low,close,volume
2017-11-10,18.02,18.02,18.02,18.02,0.00,Alphavantage
2017-10-31,13.42,13.42,13.42,13.42,0.00,Alphavantage
2017-10-30,13.44,13.44,13.44,13.44,0.00,Alphavantage
2017-10-24,17.75,17.75,17.73,17.71,53700.00,Alphavantage
2017-10-19,13.70,13.70,13.70,13.70,0.00,Alphavantage
2017-10-16,18.25,18.25,18.25,18.28,89.00,Alphavantage
2017-10-13,18.24,18.24,18.24,18.24,0.00,Alphavantage
2017-10-12,18.08,18.08,18.08,18.08,0.00,Alphavantage
2017-09-21,13.18,13.18,13.18,13.18,0.00,Alphavantage
2017-09-18,17.93,17.93,17.93,17.93,0.00,Alphavantage
2017-09-14,18.07,18.07,18.07,18.07,0.00,Alphavantage
2017-09-13,18.08,18.08,18.08,18.08,0.00,Alphavantage
2017-08-24,13.66,13.66,13.66,13.66,0.00,Alphavantage
2017-08-21,17.17,17.17,17.17,17.17,0.00,Alphavantage
2017-08-18,13.24,13.24,13.24,13.24,0.00,Alphavantage
2017-08-17,13.30,13.30,13.30,13.21,100.00,Alphavantage
2017-08-02,16.94,17.00,16.94,17.04,20620.00,Alphavantage
2017-07-31,16.86,16.86,16.86,16.86,0.00,Alphavantage
2017-07-28,12.89,16.92,12.89,16.92,0.00,Alphavantage
2017-07-27,12.96,12.96,12.96,12.96,0.00,Alphavantage
2017-07-26,12.89,12.89,12.89,12.89,0.00,Alphavantage
2017-07-21,12.99,12.99,12.99,13.00,1576.00,Alphavantage
2017-07-19,17.06,17.06,13.08,13.08,0.00,Alphavantage
2017-07-12,12.83,12.83,12.83,12.83,0.00,Alphavantage
2017-07-11,12.54,12.54,12.54,12.61,2186.00,Alphavantage
2017-07-07,12.45,12.45,12.45,12.45,0.00,Alphavantage
2017-06-30,12.38,12.38,12.38,12.38,0.00,Alphavantage
2017-06-29,16.06,16.06,16.06,16.06,0.00,Alphavantage
2017-06-22,12.47,12.47,12.47,12.47,0.00,Alphavantage
