date,open,high,low,close,volume
2013-10-17,10034.00,10034.00,10034.00,10010.00,2.00,Alphavantage
2013-10-18,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-10-21,10004.00,10004.00,10004.00,10004.00,0.00,Alphavantage
2013-10-22,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-10-23,10014.00,10014.00,10004.00,10006.00,5161.00,Alphavantage
2013-10-24,10001.00,10001.00,10001.00,10001.00,0.00,Alphavantage
2013-10-25,10006.50,10006.50,10006.50,10006.50,0.00,Alphavantage
2013-10-28,10014.00,10014.00,10014.00,10007.00,239.00,Alphavantage
2013-10-29,10007.50,10007.50,10007.50,10007.50,0.00,Alphavantage
2013-10-30,9999.00,10005.00,9999.00,10005.00,2399.00,Alphavantage
2013-10-31,10002.00,10002.00,10002.00,10002.00,500.00,Alphavantage
2013-11-01,10000.50,10000.50,10000.50,10000.50,0.00,Alphavantage
2013-11-04,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-11-05,10003.00,10003.00,10003.00,10003.00,0.00,Alphavantage
2013-11-06,10003.50,10003.50,10003.50,10003.50,0.00,Alphavantage
2013-11-07,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-11-08,10003.50,10003.50,10003.50,10003.50,0.00,Alphavantage
2013-11-11,10010.00,10011.00,10005.00,10004.00,5786.00,Alphavantage
2013-11-12,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-11-13,10005.50,10005.50,10005.50,10005.50,0.00,Alphavantage
2013-11-14,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-11-15,10011.00,10011.00,10011.00,10004.00,20.00,Alphavantage
2013-11-18,10005.50,10005.50,10005.50,10005.50,0.00,Alphavantage
2013-11-19,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-11-20,10005.50,10005.50,10005.50,10005.50,0.00,Alphavantage
2013-11-21,10005.50,10005.50,10005.50,10005.50,0.00,Alphavantage
2013-11-22,10005.50,10005.50,10005.50,10005.50,0.00,Alphavantage
2013-11-25,10002.00,10002.00,10002.00,10002.00,0.00,Alphavantage
2013-11-26,9999.00,10012.00,9999.00,10005.00,2937.00,Alphavantage
2013-11-27,9999.00,9999.00,9999.00,9999.00,2869.00,Alphavantage
2013-11-28,10007.00,10007.00,10007.00,10001.00,1898.00,Alphavantage
2013-11-29,9999.50,9999.50,9999.50,9999.50,0.00,Alphavantage
2013-12-02,9999.50,9999.50,9999.50,9999.50,0.00,Alphavantage
2013-12-03,10007.00,10007.00,10007.00,10000.00,68.00,Alphavantage
2013-12-04,10006.00,10007.00,10001.00,10000.00,27841.00,Alphavantage
2013-12-05,10003.00,10010.00,10003.00,10001.00,5483.00,Alphavantage
2013-12-06,10008.00,10011.00,10007.00,10001.00,2216.00,Alphavantage
2013-12-09,10002.50,10002.50,10002.50,10002.50,0.00,Alphavantage
2013-12-10,10009.00,10010.00,10003.00,10010.00,6795.00,Alphavantage
2013-12-11,10010.00,10010.00,10007.00,10007.00,5001.00,Alphavantage
2013-12-12,10004.50,10004.50,10004.50,10004.50,0.00,Alphavantage
2013-12-13,10005.00,10012.00,10005.00,10005.00,414.00,Alphavantage
2013-12-16,10010.00,10011.00,9996.00,10001.00,15257.00,Alphavantage
2013-12-17,10010.00,10012.00,10003.00,10006.00,24026.00,Alphavantage
2013-12-18,10013.00,10016.00,9998.00,10007.00,43453.00,Alphavantage
2013-12-19,10010.00,10016.00,9998.00,10004.00,7365.00,Alphavantage
2013-12-20,10012.00,10017.00,10005.00,10005.00,17441.00,Alphavantage
2013-12-23,10015.00,10018.00,10014.00,10008.00,7520.00,Alphavantage
2013-12-24,10023.00,10026.00,10003.00,10009.00,12600.00,Alphavantage
2013-12-27,10016.00,10022.00,10016.00,10008.00,1000.00,Alphavantage
2013-12-30,10007.00,10007.00,10007.00,10012.00,1000.00,Alphavantage
2013-12-31,10015.00,10021.00,10015.00,10010.00,4160.00,Alphavantage
2014-01-02,9999.00,10020.00,9999.00,10010.00,13760.00,Alphavantage
2014-01-03,10018.00,10019.00,10018.00,10010.00,100.00,Alphavantage
2014-01-06,10015.00,10020.00,10002.00,10004.00,9190.00,Alphavantage
2014-01-07,10014.00,10015.00,10000.00,10002.00,22970.00,Alphavantage
2014-01-08,10002.00,10012.00,10002.00,10007.00,22270.00,Alphavantage
2014-01-09,10009.00,10014.00,9999.00,10005.00,57343.00,Alphavantage
2014-01-10,10005.00,10008.00,10003.00,10005.00,36875.00,Alphavantage
2014-01-13,10010.00,10019.00,10002.00,10007.00,8677.00,Alphavantage
2014-01-14,10005.00,10010.00,10004.00,10005.00,12043.00,Alphavantage
2014-01-15,10013.00,10018.00,10008.00,10009.00,32584.00,Alphavantage
2014-01-16,10008.00,10018.00,10006.00,10013.00,23818.00,Alphavantage
2014-01-17,10013.00,10018.00,10013.00,10011.00,8050.00,Alphavantage
2014-01-20,10020.00,10028.00,10015.00,10019.00,48205.00,Alphavantage
2014-01-21,10023.00,10026.00,10023.00,10017.00,47336.00,Alphavantage
2014-01-22,10023.00,10026.00,10017.00,10019.00,27489.00,Alphavantage
2014-01-23,10023.00,10026.00,10011.00,10019.00,7511.00,Alphavantage
2014-01-24,10023.00,10026.00,10011.00,10019.00,29243.00,Alphavantage
2014-01-27,10023.00,10026.00,10023.00,10016.00,823.00,Alphavantage
2014-01-28,10022.00,10023.00,10020.00,10016.00,5568.00,Alphavantage
2014-01-29,10017.00,10017.00,10010.00,10010.00,14032.00,Alphavantage
2014-01-30,10022.00,10111.00,10022.00,10016.00,16932.00,Alphavantage
2014-01-31,10022.00,10024.00,10022.00,10017.00,13099.00,Alphavantage
2014-02-03,10023.00,10023.00,10022.00,10016.00,17624.00,Alphavantage
2014-02-04,10024.00,10029.00,10014.00,10022.00,122660.00,Alphavantage
2014-02-05,10027.00,10031.00,10020.00,10020.00,64378.00,Alphavantage
2014-02-06,10025.00,10027.00,10022.00,10020.00,31781.00,Alphavantage
2014-02-07,10026.00,10028.00,10013.00,10021.00,11636.00,Alphavantage
2014-02-10,10027.00,10029.00,10014.00,10022.00,1499.00,Alphavantage
2014-02-11,10016.00,10029.00,10016.00,10022.00,7628.00,Alphavantage
2014-02-12,10027.00,10031.00,10016.00,10016.00,8322.00,Alphavantage
2014-02-13,10020.00,10030.00,10014.00,10023.00,9240.00,Alphavantage
2014-02-14,10027.00,10030.00,10015.00,10023.00,20535.00,Alphavantage
2014-02-17,10026.00,10030.00,10015.00,10023.00,5269.00,Alphavantage
2014-02-18,10026.00,10031.00,10016.00,10024.00,10098.00,Alphavantage
2014-02-19,10026.00,10032.00,10016.00,10025.00,14099.00,Alphavantage
2014-02-20,10027.00,10031.00,10016.00,10024.00,5050.00,Alphavantage
2014-02-21,10027.00,10032.00,10017.00,10025.00,7476.00,Alphavantage
2014-02-24,10028.00,10033.00,10018.00,10026.00,5206.00,Alphavantage
2014-02-25,10030.00,10033.00,10018.00,10026.00,8277.00,Alphavantage
2014-02-26,10030.00,10034.00,10019.00,10027.00,16797.00,Alphavantage
2014-02-27,10032.00,10036.00,10019.00,10027.00,5832.00,Alphavantage
2014-02-28,10032.00,10036.00,10030.00,10032.00,5340.00,Alphavantage
2014-03-03,10032.00,10035.00,10020.00,10028.00,2226.00,Alphavantage
2014-03-04,10035.00,10035.00,10017.00,10025.00,70167.00,Alphavantage
2014-03-05,10020.00,10032.00,10017.00,10025.00,14662.00,Alphavantage
2014-03-06,10033.00,10033.00,10018.00,10026.00,6105.00,Alphavantage
2014-03-07,10033.00,10033.00,10018.00,10026.00,1636.00,Alphavantage
2014-03-10,10019.00,10033.00,10018.00,10026.00,960.00,Alphavantage
2014-03-11,10031.00,10031.00,10016.00,10024.00,4926.00,Alphavantage
2014-03-12,10032.00,10032.00,10017.00,10025.00,13526.00,Alphavantage
2014-03-13,10017.00,10032.00,10017.00,10024.00,7063.00,Alphavantage
2014-03-14,10032.00,10032.00,10017.00,10025.00,15518.00,Alphavantage
2014-03-17,10032.00,10032.00,10017.00,10019.00,12611.00,Alphavantage
2014-03-18,10031.00,10032.00,10014.00,10025.00,6820.00,Alphavantage
2014-03-19,10033.00,10033.00,10018.00,10026.00,4176.00,Alphavantage
2014-03-20,10032.00,10032.00,10017.00,10025.00,3554.00,Alphavantage
2014-03-21,10033.00,10033.00,10018.00,10026.00,5992.00,Alphavantage
2014-03-24,10033.00,10036.00,10026.00,10029.00,12845.00,Alphavantage
2014-03-25,10034.00,10034.00,10019.00,10027.00,6035.00,Alphavantage
2014-03-26,10022.00,10036.00,10021.00,10029.00,11202.00,Alphavantage
2014-03-27,10021.00,10036.00,10021.00,10029.00,14309.00,Alphavantage
2014-03-28,10037.00,10042.00,10024.00,10030.00,14709.00,Alphavantage
2014-03-31,10036.00,10036.00,10021.00,10029.00,4126.00,Alphavantage
2014-04-01,10022.00,10037.00,10022.00,10030.00,14584.00,Alphavantage
2014-04-02,10036.00,10038.00,10023.00,10031.00,31865.00,Alphavantage
2014-04-03,10023.00,10038.00,10023.00,10031.00,13153.00,Alphavantage
2014-04-04,10038.00,10038.00,10023.00,10031.00,6926.00,Alphavantage
