date,open,high,low,close,volume
2018-10-01,41.619999,41.73,37.349998,39.049999,0,null
2018-11-01,38.639999,40.049999,37.5,39.349998,0,null
2018-12-01,40.02,40.09,33.82,34.970001,300,null
2019-01-01,35.110001,38.419998,34.34,38.349998,0,null
2019-02-01,38.470001,40.650002,34.970001,40.18,733,null
2019-03-01,40.25,41.02,39.465,41.02,0,null
2019-04-01,41.095001,42.84,41.095001,42.474998,0,null
2019-05-01,42.474998,42.549999,39.529999,39.645,0,null
2019-06-01,39.264999,41.994999,39.154999,41.615002,0,null
2019-07-01,42.154999,3927.0,42.125,43.610001,13,null
2019-08-01,43.595001,43.720001,40.470001,42.205002,0,null
2019-09-01,42.09,43.834999,41.59,43.25,0,null
2019-09-13,3880.23999,3880.23999,3870.0,3871.0,738,null
