date,open,high,low,close,volume
2018-10-01,5529.0,5553.5,5423.0,5509.5,2047,null
2018-11-01,5440.0,5555.0,5380.0,5540.5,4185,null
2018-12-01,5564.0,5710.0,55.549999,56.485001,12665,null
2019-01-01,5604.0,5665.5,5380.0,5389.5,3028,null
2019-02-01,5389.0,5463.0,52.779999,52.994999,1,null
2019-03-01,5310.0,5427.0,5260.0,5407.5,5936,null
2019-04-01,5352.0,5383.0,5264.5,5264.5,2873,null
2019-05-01,5272.0,5509.0,5229.0,5505.0,402,null
2019-06-01,5532.5,5638.5,5510.5,5620.5,0,null
2019-07-01,5586.0,5772.0,5586.0,5745.5,3256,null
2019-08-01,5764.0,5929.169922,5738.169922,5756.0,7855,null
2019-09-01,5811.0,5811.0,5661.0,5674.0,3630,null
2019-09-10,5772.669922,5772.665039,5772.665039,5628.0,408,null
