date,open,high,low,close,volume
2012-10-29,22.80,22.86,22.77,22.86,500.00,Alphavantage
2012-10-30,22.86,22.86,22.86,22.86,0.00,Alphavantage
2012-10-31,22.88,22.88,22.79,22.81,500.00,Alphavantage
2012-11-01,22.93,23.13,22.60,22.60,0.00,Alphavantage
2012-11-02,23.17,23.17,23.17,23.17,0.00,Alphavantage
2012-11-05,23.35,23.35,23.31,23.31,0.00,Alphavantage
2012-11-06,23.36,23.36,23.32,23.32,0.00,Alphavantage
2012-11-07,23.40,23.40,23.37,23.39,0.00,Alphavantage
2012-11-08,23.31,23.33,23.28,23.28,0.00,Alphavantage
2012-11-09,23.17,23.17,23.12,23.15,0.00,Alphavantage
2012-11-12,23.11,23.16,23.06,23.06,0.00,Alphavantage
2012-11-13,22.98,23.10,22.98,23.05,220.00,Alphavantage
2012-11-14,23.15,23.15,22.40,22.40,0.00,Alphavantage
2012-11-15,22.76,22.76,22.01,22.01,0.00,Alphavantage
2012-11-16,22.64,22.69,22.06,22.06,0.00,Alphavantage
2012-11-19,22.80,22.91,22.33,22.33,0.00,Alphavantage
2012-11-20,22.83,22.85,22.83,22.85,0.00,Alphavantage
2012-11-21,22.95,22.96,22.86,22.87,0.00,Alphavantage
2012-11-22,22.92,22.92,22.87,22.87,150.00,Alphavantage
2012-11-23,22.87,22.89,22.84,22.84,0.00,Alphavantage
2012-11-26,22.79,22.88,22.76,22.81,0.00,Alphavantage
2012-11-27,22.86,22.92,22.86,22.92,0.00,Alphavantage
2012-11-28,22.85,22.85,22.83,22.84,0.00,Alphavantage
2012-11-29,22.87,22.90,22.87,22.87,100.00,Alphavantage
2012-11-30,22.87,22.97,22.87,22.97,0.00,Alphavantage
2012-12-03,22.94,23.03,22.94,22.96,0.00,Alphavantage
2012-12-04,22.93,22.94,22.91,22.94,0.00,Alphavantage
2012-12-05,22.93,22.95,22.87,22.89,0.00,Alphavantage
2012-12-06,22.89,23.18,22.88,23.15,0.00,Alphavantage
2012-12-07,23.28,23.46,23.28,23.36,0.00,Alphavantage
2012-12-10,23.42,23.49,23.38,23.45,0.00,Alphavantage
2012-12-11,23.38,23.43,23.37,23.41,0.00,Alphavantage
2012-12-12,23.37,23.40,23.22,23.23,0.00,Alphavantage
2012-12-13,23.18,23.19,23.13,23.13,0.00,Alphavantage
2012-12-14,23.10,23.13,23.01,23.01,0.00,Alphavantage
2012-12-17,23.03,23.06,23.00,23.04,0.00,Alphavantage
2012-12-18,23.15,23.15,23.10,23.11,0.00,Alphavantage
2012-12-19,23.08,23.08,23.04,23.04,0.00,Alphavantage
2012-12-20,23.21,23.33,23.17,23.33,0.00,Alphavantage
2012-12-21,23.22,23.43,23.21,23.41,0.00,Alphavantage
2012-12-24,23.41,23.41,23.41,23.41,0.00,Alphavantage
2012-12-27,23.21,23.27,23.21,23.26,0.00,Alphavantage
2012-12-28,23.30,23.30,23.26,23.26,0.00,Alphavantage
2012-12-31,23.26,23.26,23.26,23.26,0.00,Alphavantage
2013-01-02,23.56,23.70,23.56,23.70,0.00,Alphavantage
2013-01-03,23.76,23.85,23.76,23.85,0.00,Alphavantage
2013-01-04,23.90,23.96,23.87,23.87,150.00,Alphavantage
2013-01-07,23.91,23.93,23.91,23.92,0.00,Alphavantage
2013-01-08,23.72,23.85,23.72,23.80,0.00,Alphavantage
2013-01-09,23.90,23.98,23.90,23.96,0.00,Alphavantage
2013-01-10,23.99,24.00,23.65,23.65,0.00,Alphavantage
2013-01-11,23.65,23.65,23.47,23.47,0.00,Alphavantage
2013-01-14,23.53,23.53,23.48,23.48,0.00,Alphavantage
2013-01-15,23.48,23.54,23.47,23.54,0.00,Alphavantage
2013-01-16,23.64,23.65,23.60,23.65,0.00,Alphavantage
2013-01-17,23.65,23.65,23.65,23.65,0.00,Alphavantage
2013-01-18,23.65,23.65,23.65,23.65,0.00,Alphavantage
2013-01-21,23.66,23.70,23.66,23.70,0.00,Alphavantage
2013-01-22,23.59,23.68,23.57,23.68,0.00,Alphavantage
2013-01-23,23.69,23.69,23.69,23.69,0.00,Alphavantage
2013-01-24,23.75,23.75,23.67,23.71,0.00,Alphavantage
2013-01-25,23.63,23.67,23.52,23.52,0.00,Alphavantage
2013-01-28,23.60,23.62,23.56,23.56,0.00,Alphavantage
2013-01-29,23.63,23.63,23.30,23.30,0.00,Alphavantage
2013-01-30,23.60,23.60,23.23,23.23,0.00,Alphavantage
2013-01-31,23.38,23.38,23.29,23.29,0.00,Alphavantage
2013-02-01,23.25,23.27,23.20,23.27,0.00,Alphavantage
2013-02-04,23.28,23.33,23.18,23.20,0.00,Alphavantage
2013-02-05,23.44,23.44,23.34,23.34,0.00,Alphavantage
2013-02-06,23.35,23.37,23.15,23.15,0.00,Alphavantage
2013-02-07,23.35,23.53,23.31,23.46,0.00,Alphavantage
