date,open,high,low,close,volume
2019-10-04,1875.00,1878.52,1830.00,1855.00,347153.00,Alphavantage
2019-10-03,1831.00,1895.00,1800.00,1846.00,731492.00,Alphavantage
2019-10-02,1833.00,1925.00,1830.00,1830.00,951204.00,Alphavantage
2019-10-01,2082.00,2146.00,1813.00,1828.00,3066656.00,Alphavantage
2019-09-30,2080.00,2106.00,2052.00,2090.00,641796.00,Alphavantage
2019-09-27,2042.00,2096.90,2042.00,2080.00,561576.00,Alphavantage
2019-09-26,1997.00,2074.00,1994.00,2058.00,268049.00,Alphavantage
2019-09-25,2008.00,2020.77,1980.00,2010.00,372816.00,Alphavantage
2019-09-24,2006.00,2064.00,2006.00,2030.00,325867.00,Alphavantage
2019-09-23,2014.00,2032.00,1987.88,2016.00,781475.00,Alphavantage
2019-09-20,2020.00,2030.00,1981.00,2004.00,752388.00,Alphavantage
2019-09-19,2022.00,2024.00,2004.00,2014.00,362979.00,Alphavantage
2019-09-18,1999.00,2030.00,1988.68,2016.00,441744.00,Alphavantage
2019-09-17,1999.00,2001.80,1972.00,1999.00,379030.00,Alphavantage
2019-09-16,2042.00,2058.00,1993.00,1993.00,415160.00,Alphavantage
2019-09-13,2000.00,2060.00,1992.88,2048.00,272977.00,Alphavantage
2019-09-12,2026.00,2052.00,2004.00,2012.00,391894.00,Alphavantage
2019-09-11,1996.00,2032.00,1984.00,2026.00,787149.00,Alphavantage
2019-09-10,2002.00,2014.00,1984.00,1995.00,364350.00,Alphavantage
2019-09-09,2022.00,2046.00,1996.00,2006.00,504071.00,Alphavantage
2019-09-06,2032.00,2042.00,1988.00,2012.00,571143.00,Alphavantage
2019-09-05,2056.00,2058.00,2012.00,2026.00,373961.00,Alphavantage
2019-09-04,2076.00,2126.00,2076.00,2080.00,246375.00,Alphavantage
2019-09-03,2064.00,2098.00,2036.00,2080.00,319031.00,Alphavantage
2019-09-02,2120.00,2120.00,2084.00,2096.00,670163.00,Alphavantage
2019-08-30,2050.00,2126.00,2044.12,2114.00,642895.00,Alphavantage
2019-08-29,2046.00,2090.00,2044.00,2054.00,550391.00,Alphavantage
2019-08-28,2000.00,2066.00,1978.00,2054.00,922053.00,Alphavantage
2019-08-27,1994.00,1994.00,1954.00,1966.00,456295.00,Alphavantage
2019-08-23,2000.00,2014.00,1985.00,1985.00,396988.00,Alphavantage
2019-08-22,1990.00,2008.00,1974.00,1985.00,335757.00,Alphavantage
2019-08-21,1985.00,2004.00,1984.37,2004.00,394912.00,Alphavantage
2019-08-20,2022.00,2028.00,1976.00,1980.00,485949.00,Alphavantage
2019-08-19,2034.00,2034.00,1986.00,2022.00,1106703.00,Alphavantage
2019-08-16,2038.00,2038.00,1991.40,2014.00,357773.00,Alphavantage
2019-08-15,2012.00,2020.00,1985.00,2010.00,397580.00,Alphavantage
2019-08-14,2042.00,2060.00,1992.00,1992.00,601607.00,Alphavantage
2019-08-13,2100.00,2106.00,2040.00,2040.00,530203.00,Alphavantage
2019-08-12,2136.00,2148.00,2102.00,2108.00,376820.00,Alphavantage
2019-08-09,2124.00,2136.00,2110.00,2132.00,422265.00,Alphavantage
2019-08-08,2114.00,2142.00,2104.00,2130.00,471281.00,Alphavantage
2019-08-07,2108.00,2126.00,2090.00,2114.00,767723.00,Alphavantage
2019-08-06,2124.00,2158.00,2104.00,2108.00,395626.00,Alphavantage
2019-08-05,2182.00,2453.70,2120.00,2132.00,546171.00,Alphavantage
2019-08-02,2238.00,2274.77,2188.00,2190.00,541100.00,Alphavantage
2019-08-01,2220.00,2272.00,2202.00,2260.00,589152.00,Alphavantage
2019-07-31,2236.00,2290.59,2191.90,2236.00,937321.00,Alphavantage
2019-07-30,2410.00,2426.00,2210.00,2236.00,1072411.00,Alphavantage
2019-07-29,2374.00,2412.00,2362.00,2384.00,457018.00,Alphavantage
2019-07-26,2380.00,2402.00,2368.00,2378.00,301783.00,Alphavantage
2019-07-25,2400.00,2400.00,2378.00,2392.00,222520.00,Alphavantage
2019-07-24,2390.00,2422.00,2370.00,2390.00,387295.00,Alphavantage
2019-07-23,2448.00,2448.00,2380.00,2390.00,523998.00,Alphavantage
2019-07-22,2452.00,2458.00,2428.00,2444.00,470886.00,Alphavantage
2019-07-19,2472.00,2494.00,2448.00,2466.00,678869.00,Alphavantage
2019-07-18,2422.00,2462.00,2420.00,2448.00,1029954.00,Alphavantage
2019-07-17,2474.00,2496.00,2446.00,2476.00,238109.00,Alphavantage
2019-07-16,2454.00,2490.00,2426.00,2472.00,326124.00,Alphavantage
2019-07-15,2412.00,2454.00,2412.00,2454.00,328405.00,Alphavantage
2019-07-12,2370.00,2418.00,2352.00,2410.00,415213.00,Alphavantage
2019-07-11,2418.00,2418.00,2338.00,2354.00,470962.00,Alphavantage
2019-07-10,2398.00,2430.00,2378.00,2408.00,299456.00,Alphavantage
2019-07-09,2390.00,2406.00,2364.00,2398.00,296381.00,Alphavantage
2019-07-08,2368.00,2400.00,2346.00,2386.00,254374.00,Alphavantage
2019-07-05,2384.00,2388.00,2336.00,2368.00,384876.00,Alphavantage
2019-07-04,2364.00,2386.00,2352.00,2386.00,167855.00,Alphavantage
2019-07-03,2330.00,2376.00,2314.00,2374.00,282315.00,Alphavantage
2019-07-02,2314.00,2330.00,2274.00,2330.00,602825.00,Alphavantage
2019-07-01,2308.00,2328.00,2288.00,2302.00,622745.00,Alphavantage
2019-06-28,2304.00,2324.00,2286.00,2298.00,423112.00,Alphavantage
2019-06-27,2286.00,2300.00,2274.00,2296.00,485375.00,Alphavantage
2019-06-26,2268.00,2298.00,2254.00,2286.00,270629.00,Alphavantage
2019-06-25,2290.00,2290.00,2258.00,2286.00,369781.00,Alphavantage
2019-06-24,2246.00,2310.00,2244.00,2298.00,353573.00,Alphavantage
2019-06-21,2298.00,2326.00,2236.00,2236.00,1051710.00,Alphavantage
2019-06-20,2286.00,2300.00,2268.00,2294.00,250171.00,Alphavantage
2019-06-19,2272.00,2286.00,2230.00,2274.00,299038.00,Alphavantage
2019-06-18,2280.00,2282.00,2244.00,2282.00,488313.00,Alphavantage
2019-06-17,2246.00,2292.00,2238.00,2260.00,319201.00,Alphavantage
2019-06-14,2200.00,2246.00,2200.00,2246.00,248240.00,Alphavantage
2019-06-13,2234.00,2250.00,2192.00,2200.00,419248.00,Alphavantage
2019-06-12,2216.00,2250.00,2210.00,2234.00,291795.00,Alphavantage
2019-06-11,2220.00,2224.00,2196.00,2216.00,334211.00,Alphavantage
2019-06-10,2232.00,2240.00,2192.00,2210.00,200626.00,Alphavantage
2019-06-07,2226.00,2226.00,2198.00,2222.00,562683.00,Alphavantage
2019-06-06,2214.00,2224.00,2198.00,2212.00,248617.00,Alphavantage
2019-06-05,2168.00,2236.00,2168.00,2204.00,290857.00,Alphavantage
2019-06-04,2168.00,2200.00,2122.00,2160.00,569160.00,Alphavantage
2019-06-03,2174.00,2178.00,2140.00,2156.00,501911.00,Alphavantage
2019-05-31,2148.00,2204.00,2144.00,2174.00,329530.00,Alphavantage
2019-05-30,2122.00,2160.00,2104.00,2150.00,228519.00,Alphavantage
2019-05-29,2168.00,2168.00,2098.00,2104.00,276293.00,Alphavantage
2019-05-28,2138.00,2190.00,2124.00,2170.00,326856.00,Alphavantage
2019-05-24,2106.00,2170.00,2088.00,2134.00,267919.00,Alphavantage
2019-05-23,2110.00,2110.00,2068.00,2090.00,263707.00,Alphavantage
2019-05-22,2190.00,2190.00,2094.00,2102.00,813559.00,Alphavantage
2019-05-21,2110.00,2190.00,2096.00,2180.00,417895.00,Alphavantage
2019-05-20,2044.00,2120.00,2022.00,2118.00,401825.00,Alphavantage
2019-05-17,2054.00,2054.00,1983.00,2038.00,280591.00,Alphavantage
2019-05-16,2098.00,2098.00,2006.00,2058.00,382446.00,Alphavantage
2019-05-15,2082.00,2118.00,2062.00,2074.00,611821.00,Alphavantage
2019-05-14,1945.00,2088.00,1933.00,2060.00,831123.00,Alphavantage
2019-05-13,1788.00,1798.00,1779.00,1790.00,118733.00,Alphavantage
2019-05-10,1792.00,1802.00,1785.00,1793.00,139121.00,Alphavantage
2019-05-09,1798.00,1805.00,1777.00,1785.00,124926.00,Alphavantage
2019-05-08,1817.00,1862.00,1787.00,1791.00,224536.00,Alphavantage
2019-05-07,1787.00,1834.00,1787.00,1810.00,205076.00,Alphavantage
2019-05-03,1772.00,1798.00,1759.00,1797.00,300482.00,Alphavantage
2019-05-02,1792.00,1792.00,1755.00,1768.00,193424.00,Alphavantage
2019-05-01,1795.00,1798.00,1781.00,1784.00,86325.00,Alphavantage
2019-04-30,1821.00,1821.00,1785.00,1797.00,198111.00,Alphavantage
2019-04-29,1850.00,1850.00,1807.00,1816.00,181342.00,Alphavantage
2019-04-26,1836.00,1844.00,1815.00,1844.00,169389.00,Alphavantage
2019-04-25,1839.00,1850.00,1814.00,1831.00,123920.00,Alphavantage
2019-04-24,1817.00,1866.00,1801.00,1850.00,280552.00,Alphavantage
2019-04-23,1810.00,1818.00,1786.00,1817.00,590028.00,Alphavantage
2019-04-18,1817.00,1843.00,1812.00,1813.00,159705.00,Alphavantage
2019-04-17,1865.00,1865.00,1823.00,1823.00,237493.00,Alphavantage
2019-04-16,1858.00,1871.00,1851.00,1861.00,154680.00,Alphavantage
2019-04-15,1844.00,1852.00,1834.00,1852.00,264297.00,Alphavantage
2019-04-12,1832.00,1841.00,1820.00,1841.00,182794.00,Alphavantage
2019-04-11,1832.00,1838.00,1820.00,1830.00,148745.00,Alphavantage
2019-04-10,1837.00,1837.00,1818.00,1822.00,176734.00,Alphavantage
2019-04-09,1819.00,1833.00,1813.00,1830.00,297359.00,Alphavantage
2019-04-08,1823.00,1852.00,1816.00,1837.00,230931.00,Alphavantage
2019-04-05,1854.00,1854.00,1829.00,1831.00,296901.00,Alphavantage
2019-04-04,1850.00,1865.00,1842.00,1849.00,231936.00,Alphavantage
2019-04-03,1849.00,1867.00,1842.00,1856.00,256626.00,Alphavantage
2019-04-02,1850.00,1851.00,1817.00,1848.00,285196.00,Alphavantage
2019-04-01,1838.00,1856.00,1820.00,1849.00,368376.00,Alphavantage
2019-03-29,1827.00,1839.00,1802.00,1839.00,305722.00,Alphavantage
2019-03-28,1803.00,1822.00,1803.00,1820.00,205457.00,Alphavantage
2019-03-27,1826.00,1854.00,1794.00,1800.00,240021.00,Alphavantage
2019-03-26,1795.00,1828.00,1795.00,1817.00,412065.00,Alphavantage
2019-03-25,1807.00,1825.00,1797.00,1803.00,392290.00,Alphavantage
2019-03-22,1853.00,1864.00,1814.00,1815.00,373545.00,Alphavantage
2019-03-21,1872.00,1879.00,1849.00,1855.00,341978.00,Alphavantage
2019-03-20,1856.00,1892.00,1855.00,1859.00,419819.00,Alphavantage
2019-03-19,1849.00,1861.00,1826.00,1858.00,472125.00,Alphavantage
2019-03-18,1826.00,1851.00,1811.00,1847.00,364637.00,Alphavantage
2019-03-15,1801.00,1847.00,1801.00,1826.00,681059.00,Alphavantage
2019-03-14,1773.00,1814.00,1773.00,1809.00,543768.00,Alphavantage
2019-03-13,1736.00,1777.00,1736.00,1776.00,414773.00,Alphavantage
2019-03-12,1732.00,1766.00,1720.00,1750.00,498713.00,Alphavantage
2019-03-11,1772.00,1799.00,1718.00,1730.00,515900.00,Alphavantage
2019-03-08,1792.00,1832.00,1752.00,1759.00,527986.00,Alphavantage
2019-03-07,1854.00,1854.00,1755.00,1800.00,492390.00,Alphavantage
2019-03-06,1800.00,1827.00,1788.00,1811.00,1109400.00,Alphavantage
2019-03-05,1774.00,1812.00,1770.00,1795.00,514697.00,Alphavantage
2019-03-04,1815.00,1823.00,1766.00,1793.00,398366.00,Alphavantage
2019-03-01,1805.00,1838.00,1791.00,1809.00,777172.00,Alphavantage
2019-02-28,1793.00,1797.00,1770.00,1790.00,453764.00,Alphavantage
2019-02-27,1790.00,1809.00,1774.00,1792.00,483048.00,Alphavantage
2019-02-26,1745.00,1795.00,1745.00,1780.00,280559.00,Alphavantage
2019-02-25,1801.00,1801.00,1726.00,1755.00,526115.00,Alphavantage
2019-02-22,1780.00,1817.00,1750.00,1788.00,423559.00,Alphavantage
2019-02-21,1757.00,1783.00,1733.00,1781.00,476881.00,Alphavantage
2019-02-20,1772.00,1817.00,1744.00,1756.00,656862.00,Alphavantage
2019-02-19,1643.00,1784.00,1643.00,1781.00,1184858.00,Alphavantage
2019-02-18,1575.00,1602.00,1570.00,1602.00,313192.00,Alphavantage
2019-02-15,1581.00,1585.00,1566.00,1585.00,234826.00,Alphavantage
2019-02-14,1555.00,1577.00,1541.00,1573.00,314898.00,Alphavantage
2019-02-13,1551.00,1577.00,1548.00,1554.00,870339.00,Alphavantage
2019-02-12,1555.00,1589.00,1549.00,1558.00,443340.00,Alphavantage
2019-02-11,1589.00,1589.00,1571.00,1575.00,370324.00,Alphavantage
2019-02-08,1589.00,1597.00,1573.00,1573.00,502732.00,Alphavantage
2019-02-07,1600.00,1616.00,1587.00,1588.00,303827.00,Alphavantage
2019-02-06,1610.00,1628.00,1603.00,1606.00,371151.00,Alphavantage
2019-02-05,1590.00,1611.00,1577.00,1606.00,276240.00,Alphavantage
2019-02-04,1540.00,1592.00,1540.00,1581.00,374857.00,Alphavantage
2019-02-01,1558.00,1576.00,1538.00,1546.00,600914.00,Alphavantage
2019-01-31,1567.00,1583.00,1545.00,1550.00,1338811.00,Alphavantage
2019-01-30,1558.00,1577.00,1547.00,1573.00,213438.00,Alphavantage
2019-01-29,1559.00,1580.00,1548.00,1567.00,501583.00,Alphavantage
2019-01-28,1560.00,1575.00,1543.00,1559.00,251036.00,Alphavantage
2019-01-25,1590.00,1629.00,1567.00,1567.00,510021.00,Alphavantage
2019-01-24,1578.00,1601.00,1556.00,1595.00,685745.00,Alphavantage
2019-01-23,1542.00,1574.00,1524.00,1567.00,539005.00,Alphavantage
2019-01-22,1562.00,1594.00,1545.00,1550.00,468837.00,Alphavantage
2019-01-21,1534.00,1567.00,1534.00,1560.00,288398.00,Alphavantage
2019-01-18,1490.00,1558.00,1490.00,1545.00,555733.00,Alphavantage
2019-01-17,1506.00,1523.00,1478.00,1496.00,367463.00,Alphavantage
2019-01-16,1508.00,1525.00,1493.00,1505.00,549486.00,Alphavantage
2019-01-15,1500.00,1527.00,1496.00,1505.00,648485.00,Alphavantage
2019-01-14,1500.00,1513.00,1479.00,1504.00,565725.00,Alphavantage
2019-01-11,1508.00,1516.00,1481.00,1495.00,653948.00,Alphavantage
2019-01-10,1455.00,1521.00,1450.00,1496.00,1059091.00,Alphavantage
2019-01-09,1401.00,1480.00,1401.00,1459.00,872255.00,Alphavantage
2019-01-08,1348.00,1384.00,1347.00,1367.00,387134.00,Alphavantage
2019-01-07,1337.00,1357.00,1324.00,1354.00,714772.00,Alphavantage
2019-01-04,1319.00,1332.00,1314.00,1330.00,551201.00,Alphavantage
2019-01-03,1270.00,1313.00,1265.00,1307.00,523670.00,Alphavantage
2019-01-02,1266.00,1283.00,1258.00,1268.00,349013.00,Alphavantage
2018-12-31,1272.00,1272.00,1261.00,1266.00,138320.00,Alphavantage
2018-12-28,1271.00,1273.00,1254.00,1263.00,324329.00,Alphavantage
2018-12-27,1265.00,1274.00,1250.00,1257.00,382038.00,Alphavantage
2018-12-24,1258.00,1275.00,1257.00,1260.00,134105.00,Alphavantage
2018-12-21,1278.00,1287.00,1270.00,1275.00,546164.00,Alphavantage
2018-12-20,1260.00,1285.00,1260.00,1275.00,905276.00,Alphavantage
2018-12-19,1262.00,1275.00,1262.00,1273.00,695943.00,Alphavantage
2018-12-18,1270.00,1272.00,1258.00,1264.00,683362.00,Alphavantage
2018-12-17,1318.00,1318.00,1254.00,1260.00,596738.00,Alphavantage
2018-12-14,1308.00,1317.00,1288.00,1315.00,295817.00,Alphavantage
2018-12-13,1326.00,1331.00,1310.00,1315.00,258377.00,Alphavantage
2018-12-12,1332.00,1340.00,1316.00,1322.00,507652.00,Alphavantage
2018-12-11,1344.00,1355.00,1321.00,1327.00,564793.00,Alphavantage
