date,open,high,low,close,volume
2018-10-01,63.91,63.91,58.509998,63.009998,40,null
2018-11-01,63.610001,71.760002,63.610001,71.239998,150,null
2018-12-01,72.790001,82.18,68.800003,80.669998,5560,null
2019-01-01,70.150002,76.980003,69.959999,76.43,221,null
2019-02-01,76.43,76.43,75.089996,75.089996,20,null
2019-03-01,75.089996,75.440002,72.239998,74.769997,4132,null
2019-04-01,75.129997,77.089996,74.949997,76.389999,149,null
2019-05-01,76.389999,76.389999,69.629997,72.440002,1651,null
2019-06-01,75.220001,76.699997,74.639999,75.769997,122,null
2019-07-01,77.93,79.889999,76.760002,76.760002,114,null
2019-08-01,77.809998,77.809998,77.480003,77.480003,5,null
2019-09-01,75.690002,75.970001,74.790001,75.970001,98,null
2019-09-13,6818.0,6821.0,6818.0,6815.0,73,null
