date,open,high,low,close,volume
2018-10-01,1958.199951,1961.199951,1740.800049,1804.400024,137384,null
2018-11-01,1830.0,1858.660034,1749.0,1763.199951,65225,null
2018-12-01,1786.0,1786.0,1636.599976,1674.599976,120762,null
2019-01-01,1674.599976,1800.400024,1669.599976,1783.599976,69281,null
2019-02-01,1788.400024,1843.599976,1786.400024,1830.800049,78748,null
2019-03-01,1845.599976,1868.800049,21.165001,21.165001,71632,null
2019-04-01,1835.599976,1910.199951,1835.199951,1893.800049,78426,null
2019-05-01,1903.0,1903.0,1814.0,1830.800049,90444,null
2019-06-01,1801.599976,1864.800049,1801.599976,1867.300049,100931,null
2019-07-01,1871.800049,1919.170044,1868.800049,1894.400024,131426,null
2019-08-01,1865.0,1869.73999,1770.880005,1848.5,123239,null
2019-09-01,1860.800049,1908.97998,1849.0,1907.5,24085,null
2019-09-13,1912.400024,1926.400024,1912.400024,1927.300049,509,null
