date,open,high,low,close,volume
2010-06-02,697.00,697.00,697.00,706.00,310.00,Alphavantage
2010-06-03,717.00,717.00,717.00,717.00,0.00,Alphavantage
2010-06-04,720.00,720.00,720.00,720.00,0.00,Alphavantage
2010-06-07,699.00,699.00,699.00,699.00,0.00,Alphavantage
2010-06-08,697.00,697.00,697.00,697.00,0.00,Alphavantage
2010-06-09,702.00,702.00,702.00,702.00,0.00,Alphavantage
2010-06-10,696.00,696.00,696.00,700.00,20.00,Alphavantage
2010-06-11,710.00,710.00,710.00,710.00,0.00,Alphavantage
2010-06-14,711.00,711.00,711.00,711.00,0.00,Alphavantage
2010-06-15,708.00,708.00,708.00,708.00,0.00,Alphavantage
2010-06-16,715.00,715.00,715.00,715.00,0.00,Alphavantage
2010-06-17,715.00,715.00,715.00,715.00,0.00,Alphavantage
2010-06-18,714.00,714.00,714.00,720.00,19000.00,Alphavantage
2010-06-21,725.00,725.00,725.00,725.00,0.00,Alphavantage
2010-06-22,716.00,716.00,716.00,716.00,0.00,Alphavantage
2010-06-23,701.00,701.00,701.00,698.00,1.00,Alphavantage
2010-06-24,685.00,685.00,685.00,685.00,0.00,Alphavantage
2010-06-25,682.00,682.00,682.00,682.00,0.00,Alphavantage
2010-06-28,680.00,680.00,680.00,682.00,1.00,Alphavantage
2010-06-29,682.00,682.00,682.00,682.00,0.00,Alphavantage
2010-06-30,666.00,666.00,666.00,666.00,0.00,Alphavantage
2010-07-01,639.00,639.00,639.00,641.00,1.00,Alphavantage
2010-07-02,642.00,642.00,642.00,642.00,0.00,Alphavantage
2010-07-05,641.00,641.00,641.00,641.00,0.00,Alphavantage
2010-07-06,652.00,652.00,652.00,651.00,31230.00,Alphavantage
2010-07-07,655.00,655.00,655.00,655.00,0.00,Alphavantage
2010-07-08,666.00,666.00,666.00,670.00,4231.00,Alphavantage
2010-07-09,677.00,677.00,677.00,677.00,0.00,Alphavantage
2010-07-12,682.00,682.00,682.00,682.00,0.00,Alphavantage
2010-07-13,688.00,688.00,688.00,688.00,0.00,Alphavantage
2010-07-14,685.00,685.00,685.00,685.00,0.00,Alphavantage
2010-07-15,673.00,673.00,673.00,673.00,0.00,Alphavantage
2010-07-16,669.00,669.00,669.00,669.00,0.00,Alphavantage
2010-07-19,668.00,668.00,668.00,668.00,0.00,Alphavantage
2010-07-20,667.00,667.00,667.00,667.00,0.00,Alphavantage
2010-07-21,677.00,677.00,677.00,677.00,0.00,Alphavantage
2010-07-22,674.00,674.00,674.00,684.00,2030.00,Alphavantage
2010-07-23,677.00,677.00,677.00,677.00,0.00,Alphavantage
2010-07-26,682.50,682.50,682.50,684.50,20.00,Alphavantage
2010-07-27,682.75,682.75,682.75,682.75,0.00,Alphavantage
2010-07-28,678.00,678.00,678.00,678.25,927.00,Alphavantage
2010-07-29,671.50,671.50,671.50,671.50,0.00,Alphavantage
2010-07-30,668.00,668.00,668.00,668.00,0.00,Alphavantage
2010-08-02,675.00,675.00,675.00,675.00,0.00,Alphavantage
2010-08-03,673.00,673.00,673.00,673.00,0.00,Alphavantage
2010-08-04,670.75,670.75,670.75,670.75,0.00,Alphavantage
2010-08-05,676.25,676.25,676.25,676.00,4261.00,Alphavantage
2010-08-06,678.75,678.75,668.25,663.25,28027.00,Alphavantage
2010-08-09,674.50,674.50,674.50,674.50,0.00,Alphavantage
2010-08-10,677.25,677.25,677.25,677.25,0.00,Alphavantage
2010-08-11,666.75,666.75,666.75,666.75,0.00,Alphavantage
2010-08-12,663.50,663.50,663.50,665.50,500.00,Alphavantage
2010-08-13,662.25,662.25,662.25,662.25,0.00,Alphavantage
2010-08-16,657.50,657.50,657.50,654.00,900.00,Alphavantage
2010-08-17,660.00,661.75,658.50,672.75,20000.00,Alphavantage
2010-08-18,660.00,661.75,658.50,669.25,0.00,Alphavantage
2010-08-19,666.00,666.25,666.00,655.75,20000.00,Alphavantage
2010-08-20,658.25,658.50,658.25,658.00,50000.00,Alphavantage
2010-08-23,658.25,658.50,658.25,659.00,0.00,Alphavantage
2010-08-24,658.25,658.50,658.25,653.75,0.00,Alphavantage
2010-08-25,648.75,648.75,643.50,648.50,100000.00,Alphavantage
2010-08-26,648.75,648.75,643.50,648.50,0.00,Alphavantage
2010-08-27,648.75,648.75,643.50,651.50,0.00,Alphavantage
2010-08-31,644.50,644.50,644.50,655.75,1680.00,Alphavantage
2010-09-01,655.00,655.00,655.00,667.25,1500.00,Alphavantage
2010-09-02,670.00,670.00,670.00,671.50,2030.00,Alphavantage
2010-09-03,679.00,680.00,679.00,678.50,20000.00,Alphavantage
2010-09-06,684.75,684.75,684.75,684.75,0.00,Alphavantage
2010-09-07,682.25,682.25,682.25,682.25,0.00,Alphavantage
2010-09-08,676.50,676.50,676.50,676.50,0.00,Alphavantage
2010-09-09,685.00,685.00,685.00,685.00,0.00,Alphavantage
2010-09-10,686.75,686.75,686.75,686.75,0.00,Alphavantage
2010-09-13,692.75,692.75,692.75,693.25,435.00,Alphavantage
2010-09-14,691.75,691.75,691.75,691.75,0.00,Alphavantage
2010-09-15,684.50,684.50,684.50,684.50,0.00,Alphavantage
2010-09-16,689.00,689.00,689.00,685.00,10000.00,Alphavantage
2010-09-17,691.75,691.75,691.75,686.75,350.00,Alphavantage
2010-09-20,697.50,697.50,697.50,697.50,0.00,Alphavantage
2010-09-21,698.75,698.75,698.75,698.75,0.00,Alphavantage
2010-09-22,691.75,691.75,691.75,691.75,0.00,Alphavantage
2010-09-23,690.25,690.25,690.25,690.25,0.00,Alphavantage
2010-09-24,691.50,691.50,691.50,691.50,0.00,Alphavantage
2010-09-27,696.25,696.25,696.25,690.00,650.00,Alphavantage
2010-09-28,693.00,693.00,693.00,691.75,10000.00,Alphavantage
2010-09-29,692.75,692.75,692.75,692.00,2782.00,Alphavantage
2010-09-30,698.25,698.25,698.25,694.25,30000.00,Alphavantage
2010-10-01,691.25,691.25,691.25,691.25,0.00,Alphavantage
2010-10-04,693.00,693.00,693.00,687.00,720.00,Alphavantage
2010-10-05,694.50,694.50,694.50,694.50,0.00,Alphavantage
2010-10-06,698.75,698.75,698.75,698.75,0.00,Alphavantage
2010-10-07,699.75,699.75,696.00,696.00,10080.00,Alphavantage
2010-10-08,697.00,697.00,694.00,698.50,40000.00,Alphavantage
2010-10-11,700.75,700.75,700.75,701.50,750.00,Alphavantage
2010-10-12,705.50,705.50,705.50,705.50,0.00,Alphavantage
2010-10-13,713.25,713.25,713.25,713.25,0.00,Alphavantage
2010-10-14,703.25,703.25,703.25,703.25,0.00,Alphavantage
2010-10-15,701.75,701.75,701.75,701.75,0.00,Alphavantage
2010-10-18,712.25,738.00,712.00,710.50,40117.00,Alphavantage
2010-10-19,715.75,715.75,715.75,715.25,77860.00,Alphavantage
2010-10-20,712.50,738.25,712.50,713.50,24963.00,Alphavantage
2010-10-21,724.00,724.00,722.50,721.50,8862.00,Alphavantage
2010-10-22,724.00,748.25,724.00,723.25,28287.00,Alphavantage
2010-10-25,727.75,727.75,726.00,725.25,17303.00,Alphavantage
2010-10-26,718.25,742.25,714.00,716.25,114274.00,Alphavantage
2010-10-27,715.00,715.75,713.00,714.00,16741.00,Alphavantage
2010-10-28,719.00,719.50,708.50,709.75,63610.00,Alphavantage
2010-10-29,711.50,711.50,710.50,706.75,13867.00,Alphavantage
2010-11-01,711.50,712.25,709.50,710.75,20986.00,Alphavantage
2010-11-02,713.75,715.25,712.50,713.50,14221.00,Alphavantage
2010-11-03,711.75,728.25,711.50,710.50,4526846.00,Alphavantage
2010-11-04,8.20,8.20,8.20,8.20,0.00,Alphavantage
2010-11-05,8.24,8.35,8.24,8.35,1.00,Alphavantage
2010-11-08,8.40,8.41,8.40,8.41,1.00,Alphavantage
2010-11-09,8.45,8.46,8.45,8.46,1.00,Alphavantage
2010-11-10,8.46,8.47,8.46,8.47,1.00,Alphavantage
2010-11-11,8.45,8.48,8.45,8.48,1.00,Alphavantage
2010-11-12,8.46,8.46,8.41,8.41,1.00,Alphavantage
2010-11-15,8.42,8.49,8.42,8.49,1.00,Alphavantage
2010-11-16,8.42,8.42,8.37,8.37,1.00,Alphavantage
2010-11-17,8.38,8.38,8.38,8.38,1.00,Alphavantage
2010-11-18,8.40,8.46,8.40,8.46,1.00,Alphavantage
2010-11-19,8.41,8.41,8.41,8.41,1.00,Alphavantage
2010-11-22,8.44,8.44,8.42,8.42,1.00,Alphavantage
2010-11-23,8.45,8.45,8.45,8.45,0.00,Alphavantage
2010-11-24,8.48,8.59,8.48,8.59,1.00,Alphavantage
2010-11-25,8.62,8.63,8.62,8.63,1.00,Alphavantage
2010-11-26,8.65,8.65,8.65,8.65,1.00,Alphavantage
2010-11-29,8.63,8.64,8.63,8.64,1.00,Alphavantage
2010-11-30,8.70,8.70,8.70,8.70,1.00,Alphavantage
2010-12-01,8.73,8.84,8.73,8.84,1.00,Alphavantage
2010-12-02,8.85,8.85,8.85,8.85,0.00,Alphavantage
2010-12-03,8.89,8.89,8.89,8.89,12500.00,Alphavantage
2010-12-06,8.80,8.85,8.80,8.85,1.00,Alphavantage
2010-12-07,8.84,8.87,8.84,8.87,1.00,Alphavantage
2010-12-08,8.88,8.89,8.88,8.89,1.00,Alphavantage
2010-12-09,8.93,8.95,8.93,8.95,1.00,Alphavantage
2010-12-10,8.95,8.97,8.95,8.97,1.00,Alphavantage
2010-12-13,9.03,9.03,8.93,8.93,1.00,Alphavantage
2010-12-14,8.88,8.94,8.88,8.94,1.00,Alphavantage
2010-12-15,8.93,8.96,8.93,8.96,1.00,Alphavantage
2010-12-16,8.98,9.04,8.96,9.04,12500.00,Alphavantage
