date,open,high,low,close,volume
2010-09-09,11.78,11.78,11.78,11.83,10000.00,Alphavantage
2010-09-10,11.74,11.74,11.74,11.74,0.00,Alphavantage
2010-09-13,12.03,12.03,12.03,12.03,0.00,Alphavantage
2010-09-14,11.95,12.08,11.95,12.09,25000.00,Alphavantage
2010-09-15,12.05,12.05,12.05,12.05,10000.00,Alphavantage
2010-09-16,12.01,12.03,12.01,11.95,20000.00,Alphavantage
2010-09-17,12.00,12.00,12.00,11.96,5000.00,Alphavantage
2010-09-20,12.11,12.11,12.11,12.18,5000.00,Alphavantage
2010-09-21,12.14,12.17,12.14,12.10,15000.00,Alphavantage
2010-09-22,12.19,12.19,12.19,12.19,0.00,Alphavantage
2010-09-23,12.19,12.27,12.19,12.21,278578.00,Alphavantage
2010-09-24,12.37,12.37,12.37,12.37,0.00,Alphavantage
2010-09-27,12.43,12.43,12.43,12.43,0.00,Alphavantage
2010-09-28,12.50,12.50,12.50,12.50,0.00,Alphavantage
2010-09-29,12.48,12.48,12.48,12.48,0.00,Alphavantage
2010-09-30,12.43,12.45,12.43,12.33,30000.00,Alphavantage
2010-10-01,12.40,12.40,12.40,12.40,0.00,Alphavantage
2010-10-04,12.40,12.40,12.40,12.40,0.00,Alphavantage
2010-10-05,12.58,12.58,12.58,12.58,0.00,Alphavantage
2010-10-06,12.75,12.75,12.75,12.75,0.00,Alphavantage
2010-10-07,12.83,12.83,12.83,12.73,10000.00,Alphavantage
2010-10-08,12.74,12.74,12.67,12.82,57550.00,Alphavantage
2010-10-11,12.83,12.83,12.83,12.83,0.00,Alphavantage
2010-10-12,12.77,12.77,12.77,12.69,10000.00,Alphavantage
2010-10-13,12.92,12.92,12.92,12.92,0.00,Alphavantage
2010-10-14,12.94,12.94,12.94,12.94,0.00,Alphavantage
2010-10-15,12.96,12.96,12.96,12.96,0.00,Alphavantage
2010-10-18,12.85,12.85,12.78,12.89,63700.00,Alphavantage
2010-10-19,12.69,12.69,12.69,12.70,5000.00,Alphavantage
2010-10-20,12.84,12.84,12.84,12.84,0.00,Alphavantage
2010-10-21,12.80,12.80,12.80,12.80,0.00,Alphavantage
2010-10-22,12.76,12.76,12.76,12.76,0.00,Alphavantage
2010-10-25,13.04,13.04,13.04,13.04,0.00,Alphavantage
2010-10-26,12.87,12.87,12.87,12.87,0.00,Alphavantage
2010-10-27,12.54,12.54,12.54,12.54,0.00,Alphavantage
2010-10-28,12.78,12.78,12.78,12.78,0.00,Alphavantage
2010-10-29,12.60,12.60,12.60,12.72,20000.00,Alphavantage
2010-11-01,12.95,12.95,12.95,12.95,0.00,Alphavantage
2010-11-02,13.12,13.12,13.12,13.12,0.00,Alphavantage
2010-11-03,13.14,13.14,13.14,13.17,10000.00,Alphavantage
2010-11-04,13.59,13.59,13.59,13.59,0.00,Alphavantage
2010-11-05,13.52,13.64,13.52,13.57,50175.00,Alphavantage
2010-11-08,13.41,13.41,13.41,13.53,2700000.00,Alphavantage
2010-11-09,13.53,13.55,13.53,13.56,18000.00,Alphavantage
2010-11-10,13.28,13.28,13.28,13.28,0.00,Alphavantage
2010-11-11,13.28,13.30,13.28,13.26,110900.00,Alphavantage
2010-11-12,13.14,13.14,13.14,13.14,0.00,Alphavantage
2010-11-15,13.11,13.11,13.11,13.11,0.00,Alphavantage
2010-11-16,12.78,12.78,12.78,12.78,0.00,Alphavantage
2010-11-17,12.76,12.76,12.76,12.76,0.00,Alphavantage
2010-11-18,13.03,13.03,13.03,13.03,0.00,Alphavantage
2010-11-19,12.91,12.91,12.87,12.86,30000.00,Alphavantage
2010-11-22,12.76,12.76,12.76,12.76,0.00,Alphavantage
2010-11-23,12.38,12.38,12.38,12.38,0.00,Alphavantage
2010-11-24,12.72,12.72,12.72,12.69,6186.00,Alphavantage
2010-11-25,12.67,12.67,12.67,12.67,0.00,Alphavantage
2010-11-26,12.47,12.47,12.47,12.47,0.00,Alphavantage
2010-11-29,12.41,12.54,12.37,12.40,55000.00,Alphavantage
2010-11-30,12.42,12.42,12.42,12.42,0.00,Alphavantage
2010-12-01,12.68,12.68,12.68,12.68,0.00,Alphavantage
2010-12-02,12.97,12.97,12.97,12.97,0.00,Alphavantage
2010-12-03,12.91,12.94,12.91,13.00,195000.00,Alphavantage
2010-12-06,12.97,12.97,12.97,12.97,0.00,Alphavantage
2010-12-07,13.06,13.11,13.06,13.13,328500.00,Alphavantage
2010-12-08,12.87,12.87,12.87,12.87,0.00,Alphavantage
2010-12-09,13.02,13.02,13.02,12.98,23000.00,Alphavantage
2010-12-10,13.01,13.01,12.84,13.05,28900.00,Alphavantage
2010-12-13,13.17,13.17,13.17,13.17,0.00,Alphavantage
2010-12-14,13.18,13.18,13.18,13.24,10000.00,Alphavantage
2010-12-15,13.05,13.05,13.05,13.07,25000.00,Alphavantage
2010-12-16,13.05,13.05,13.05,12.97,0.00,Alphavantage
2010-12-17,12.97,12.97,12.97,12.95,17000.00,Alphavantage
2010-12-20,13.01,13.01,13.01,12.95,7000.00,Alphavantage
2010-12-21,13.07,13.12,13.07,13.13,100550.00,Alphavantage
2010-12-22,13.14,13.14,13.14,13.20,10000.00,Alphavantage
2010-12-23,13.17,13.17,13.17,13.18,6100.00,Alphavantage
2010-12-24,13.18,13.18,13.18,13.18,0.00,Alphavantage
2010-12-29,13.35,13.35,13.35,13.35,0.00,Alphavantage
2010-12-30,13.35,13.35,13.35,13.35,0.00,Alphavantage
2010-12-31,854.00,861.00,854.00,859.00,569.00,Alphavantage
2011-01-04,13.39,13.42,13.37,13.27,120500.00,Alphavantage
2011-01-05,13.29,13.29,13.29,13.27,7000.00,Alphavantage
2011-01-06,13.17,13.17,13.17,13.17,0.00,Alphavantage
2011-01-07,13.15,13.15,13.15,13.13,1000.00,Alphavantage
2011-01-10,13.10,13.10,13.10,13.07,15000.00,Alphavantage
2011-01-11,13.19,13.19,13.19,13.19,0.00,Alphavantage
2011-01-12,13.32,13.32,13.32,13.32,0.00,Alphavantage
2011-01-13,13.42,13.42,13.42,13.42,0.00,Alphavantage
2011-01-14,13.32,13.32,13.32,13.32,0.00,Alphavantage
2011-01-17,13.30,13.30,13.30,13.31,10000.00,Alphavantage
2011-01-18,13.45,13.45,13.45,13.45,0.00,Alphavantage
2011-01-19,13.54,13.54,13.54,13.39,10000.00,Alphavantage
2011-01-20,13.05,13.05,13.05,13.05,0.00,Alphavantage
2011-01-21,13.14,13.14,13.14,13.14,0.00,Alphavantage
2011-01-24,13.28,13.28,13.28,13.28,0.00,Alphavantage
2011-01-25,13.10,13.10,13.10,13.10,0.00,Alphavantage
2011-01-26,13.25,13.25,13.25,13.25,0.00,Alphavantage
2011-01-27,13.22,13.22,13.22,13.22,0.00,Alphavantage
2011-01-28,13.23,13.25,13.23,13.11,57000.00,Alphavantage
2011-01-31,13.12,13.12,13.12,13.12,0.00,Alphavantage
2011-02-01,13.22,13.22,13.22,13.34,14000.00,Alphavantage
2011-02-02,13.36,13.38,13.36,13.36,28000.00,Alphavantage
2011-02-03,13.41,13.41,13.41,13.41,0.00,Alphavantage
2011-02-04,13.51,13.51,13.51,13.51,0.00,Alphavantage
2011-02-07,13.53,13.54,13.50,13.58,58500.00,Alphavantage
2011-02-08,13.56,13.56,13.56,13.56,0.00,Alphavantage
2011-02-09,13.38,13.38,13.38,13.38,0.00,Alphavantage
2011-02-10,13.33,13.33,13.33,13.33,0.00,Alphavantage
2011-02-11,13.33,13.33,13.33,13.30,6000.00,Alphavantage
2011-02-14,13.37,13.37,13.37,13.38,5000.00,Alphavantage
2011-02-15,13.30,13.30,13.30,13.30,0.00,Alphavantage
2011-02-16,13.37,13.37,13.37,13.37,0.00,Alphavantage
2011-02-17,13.42,13.42,13.42,13.46,10913.00,Alphavantage
2011-02-18,13.50,13.50,13.50,13.50,0.00,Alphavantage
2011-02-21,13.39,13.39,13.39,13.37,109.00,Alphavantage
2011-02-22,13.17,13.21,13.16,13.16,6632.00,Alphavantage
2011-02-23,13.08,13.08,13.08,13.08,0.00,Alphavantage
2011-02-24,13.06,13.06,13.06,13.06,0.00,Alphavantage
2011-02-25,13.32,13.32,13.32,13.32,0.00,Alphavantage
2011-02-28,13.39,13.39,13.39,13.39,0.00,Alphavantage
2011-03-01,13.32,13.32,13.32,13.32,0.00,Alphavantage
2011-03-02,13.30,13.30,13.30,13.30,0.00,Alphavantage
2011-03-03,13.30,13.34,13.30,13.32,29000.00,Alphavantage
2011-03-04,13.46,13.46,13.46,13.38,5751.00,Alphavantage
2011-03-07,13.37,13.37,13.37,13.35,1313.00,Alphavantage
2011-03-08,13.37,13.37,13.37,13.37,0.00,Alphavantage
2011-03-09,13.27,13.27,13.27,13.27,0.00,Alphavantage
2011-03-10,13.03,13.03,13.03,13.00,14000.00,Alphavantage
2011-03-11,12.90,12.90,12.90,12.90,0.00,Alphavantage
2011-03-14,12.96,12.96,12.96,12.82,50000.00,Alphavantage
2011-03-15,12.48,12.48,12.48,12.48,0.00,Alphavantage
2011-03-16,12.43,12.43,12.43,12.39,7000.00,Alphavantage
2011-03-17,12.39,12.43,12.39,12.43,126000.00,Alphavantage
2011-03-18,12.50,12.63,12.50,12.62,150000.00,Alphavantage
2011-03-21,12.93,12.93,12.93,12.93,0.00,Alphavantage
2011-03-22,12.98,12.98,12.98,12.94,2000.00,Alphavantage
2011-03-23,12.99,12.99,12.99,12.99,0.00,Alphavantage
2011-03-24,13.23,13.23,13.23,13.23,0.00,Alphavantage
2011-03-25,13.29,13.29,13.29,13.29,0.00,Alphavantage
2011-03-28,13.30,13.30,13.30,13.30,0.00,Alphavantage
2011-03-29,13.37,13.37,13.37,13.37,0.00,Alphavantage
2011-03-30,13.56,13.56,13.56,13.55,7000.00,Alphavantage
