date,open,high,low,close,volume
2019-10-02,2145.63,2145.63,2102.50,2098.50,6902.00,Alphavantage
2019-10-01,26.68,26.68,26.36,26.36,3177.00,Alphavantage
2019-09-30,26.65,26.65,26.59,26.59,3938.00,Alphavantage
2019-09-13,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-08-30,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-08-29,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-06-21,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-06-20,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-06-19,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-31,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-30,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-29,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-28,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-24,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-23,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-22,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-21,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-20,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-17,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-16,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-15,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-14,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-13,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-10,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-09,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-08,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-07,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-03,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-02,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-05-01,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-30,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-29,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-26,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-25,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-24,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-23,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-18,20.54,20.54,20.54,20.54,0.00,Alphavantage
2019-04-17,20.54,20.54,20.54,20.54,0.00,Alphavantage
