date,open,high,low,close,volume
2015-08-17,15.27,15.36,15.20,15.32,7040.00,Alphavantage
2015-08-18,23.72,23.72,23.72,23.73,243.00,Alphavantage
2015-09-04,14.23,14.32,14.23,14.25,1384.00,Alphavantage
2015-09-14,14.54,14.61,14.48,14.55,5287.00,Alphavantage
2015-09-15,14.48,14.60,14.47,14.57,1826.00,Alphavantage
2015-09-21,14.64,14.64,14.60,14.65,432.00,Alphavantage
2015-09-25,14.95,15.02,14.89,14.99,7902.00,Alphavantage
2015-10-01,15.21,15.21,14.95,14.96,430.00,Alphavantage
2015-10-13,15.28,15.29,15.16,15.24,1414.00,Alphavantage
2015-10-21,15.28,15.33,15.21,15.29,3521.00,Alphavantage
2015-11-09,22.70,22.70,22.70,22.70,0.00,Alphavantage
2015-11-23,15.37,15.41,15.37,15.43,414.00,Alphavantage
2015-11-24,15.41,15.42,15.41,15.45,780.00,Alphavantage
2015-11-30,15.29,15.32,15.27,15.27,7598.00,Alphavantage
2015-12-08,22.90,22.90,22.90,23.00,5.00,Alphavantage
2015-12-11,14.79,15.02,14.73,14.77,2433.00,Alphavantage
2015-12-15,22.68,22.68,22.68,22.68,0.00,Alphavantage
2015-12-22,23.01,23.01,23.01,23.01,0.00,Alphavantage
2016-01-05,22.80,22.80,22.77,22.74,10195.00,Alphavantage
2016-01-06,15.31,15.43,15.28,15.38,7635.00,Alphavantage
2016-01-07,15.26,15.32,15.26,15.37,803.00,Alphavantage
2016-01-08,15.11,15.25,15.04,15.04,66139.00,Alphavantage
2016-01-12,15.02,15.28,15.02,15.20,427.00,Alphavantage
2016-01-15,21.39,21.39,21.39,21.23,3000.00,Alphavantage
2016-01-18,21.33,21.33,21.33,21.33,0.00,Alphavantage
2016-01-19,15.29,15.31,15.19,15.27,10063.00,Alphavantage
2016-01-21,21.28,21.28,21.28,21.28,5730.00,Alphavantage
2016-01-25,21.25,21.25,21.25,21.27,12757.00,Alphavantage
2016-01-28,15.17,15.21,15.09,14.99,1610.00,Alphavantage
2016-02-02,21.90,21.90,21.90,21.90,0.00,Alphavantage
2016-02-09,15.12,15.15,15.07,15.09,18770.00,Alphavantage
2016-02-11,21.64,21.67,21.64,21.47,11500.00,Alphavantage
2016-02-16,15.48,15.69,15.48,15.63,12611.00,Alphavantage
2016-02-18,15.68,15.76,15.63,15.64,28502.00,Alphavantage
2016-02-19,15.85,15.95,15.81,15.84,6430.00,Alphavantage
2016-02-22,16.27,16.42,16.25,16.43,1052.00,Alphavantage
2016-02-23,22.86,22.86,16.23,16.23,1049.00,Alphavantage
2016-02-24,16.36,16.46,16.34,16.31,1514.00,Alphavantage
2016-02-25,23.00,23.00,23.00,23.01,628.00,Alphavantage
2016-03-02,16.82,16.94,16.80,16.85,163.00,Alphavantage
2016-03-03,16.85,16.89,16.82,16.76,4961.00,Alphavantage
2016-03-23,17.48,17.52,17.47,17.48,4248.00,Alphavantage
2016-03-29,17.28,17.28,17.01,17.11,20127.00,Alphavantage
2016-03-30,17.46,17.46,17.35,17.45,21974.00,Alphavantage
2016-03-31,24.91,24.91,24.91,24.93,51000.00,Alphavantage
2016-04-04,17.39,17.43,17.29,17.28,3263.00,Alphavantage
2016-04-05,17.27,17.34,17.21,17.32,9719.00,Alphavantage
2016-04-06,24.70,24.70,17.42,17.52,216750.00,Alphavantage
2016-04-07,24.64,24.64,24.64,24.65,200.00,Alphavantage
2016-04-08,17.70,17.77,17.69,17.72,13651.00,Alphavantage
2016-04-11,17.71,17.79,17.65,17.67,2677.00,Alphavantage
2016-04-12,17.66,17.81,17.63,17.80,189561.00,Alphavantage
2016-04-13,17.96,25.60,17.88,25.58,209760.00,Alphavantage
2016-04-14,17.95,18.04,17.94,18.02,19840.00,Alphavantage
2016-04-15,17.95,17.97,17.93,17.95,23796.00,Alphavantage
2016-04-19,25.93,25.94,25.92,25.94,101305.00,Alphavantage
2016-04-20,25.98,25.98,17.93,18.09,316856.00,Alphavantage
2016-04-21,17.97,18.01,17.85,17.96,7613.00,Alphavantage
2016-04-22,17.91,17.96,17.80,17.90,8250.00,Alphavantage
2016-04-25,17.82,17.89,17.77,17.77,7999.00,Alphavantage
2016-04-26,17.77,17.87,17.73,17.77,26578.00,Alphavantage
2016-04-27,25.73,25.73,25.73,25.73,0.00,Alphavantage
2016-04-28,25.83,25.83,25.78,25.95,14300.00,Alphavantage
2016-04-29,17.52,17.59,17.40,17.44,227803.00,Alphavantage
2016-05-03,17.50,17.64,17.50,17.54,2227.00,Alphavantage
2016-05-04,17.61,17.61,17.51,17.52,8733.00,Alphavantage
2016-05-05,17.57,17.63,17.51,17.50,77586.00,Alphavantage
2016-05-06,17.38,17.38,17.27,17.36,30390.00,Alphavantage
2016-05-09,25.13,25.13,25.13,25.13,0.00,Alphavantage
2016-05-10,17.57,17.62,17.53,17.59,1784.00,Alphavantage
2016-05-11,17.38,17.41,17.36,17.38,8258.00,Alphavantage
2016-05-12,17.16,17.18,16.99,16.99,9222.00,Alphavantage
2016-05-13,17.08,17.10,17.00,17.11,27049.00,Alphavantage
2016-05-17,17.05,17.06,17.00,17.02,31714.00,Alphavantage
2016-05-18,16.75,17.00,16.75,16.75,11237.00,Alphavantage
