date,open,high,low,close,volume
2008-01-02,9812.00,9812.00,9812.00,9798.00,1144.00,Alphavantage
2008-01-03,9845.00,9848.00,9845.00,9848.00,1390.00,Alphavantage
2008-01-04,9840.00,9840.00,9840.00,9872.00,1672.00,Alphavantage
2008-01-07,9830.00,9830.00,9830.00,9832.00,1177.00,Alphavantage
2008-01-08,9806.00,9806.00,9806.00,9833.00,20750.00,Alphavantage
2008-01-09,9896.00,9896.00,9896.00,9898.00,2365.00,Alphavantage
2008-01-10,9882.00,9882.00,9882.00,9939.00,1102.00,Alphavantage
2008-01-11,9988.00,9988.00,9988.00,9965.00,1275.00,Alphavantage
2008-01-14,10005.00,10048.00,10005.00,10044.00,18938.00,Alphavantage
2008-01-15,10017.00,10017.00,10017.00,9982.00,180.00,Alphavantage
2008-01-16,10006.00,10006.00,10006.00,9894.00,1833.00,Alphavantage
2008-01-17,9865.00,9865.00,9865.00,9849.00,2208.00,Alphavantage
2008-01-18,9906.00,9906.00,9906.00,9938.00,1758.00,Alphavantage
2008-01-21,9898.00,9898.00,9898.00,9868.00,3084.00,Alphavantage
2008-01-22,9902.00,9902.00,9856.00,9917.00,2993.00,Alphavantage
2008-01-23,9944.00,9944.00,9944.00,9953.00,2182.00,Alphavantage
2008-01-24,9949.00,9949.00,9949.00,9914.00,2172.00,Alphavantage
2008-01-25,9842.00,9842.00,9842.00,9854.00,549.00,Alphavantage
2008-01-28,9870.00,9870.00,9870.00,9880.00,70.00,Alphavantage
2008-01-29,9868.00,9868.00,9868.00,9864.00,55.00,Alphavantage
2008-01-30,9865.00,9865.00,9865.00,9874.00,219.00,Alphavantage
2008-01-31,9932.00,9932.00,9932.00,9915.00,229.00,Alphavantage
2008-02-01,9930.00,9930.00,9930.00,10026.00,267.00,Alphavantage
2008-02-04,9978.00,9978.00,9978.00,9972.00,308.00,Alphavantage
2008-02-05,9927.00,9927.00,9927.00,9939.00,678.00,Alphavantage
2008-02-06,9955.00,9955.00,9955.00,9958.00,3362.00,Alphavantage
2008-02-07,10000.00,10000.00,10000.00,9981.00,774.00,Alphavantage
2008-02-08,9922.00,9922.00,9922.00,9956.00,729.00,Alphavantage
2008-02-11,9956.00,9956.00,9956.00,9956.00,0.00,Alphavantage
2008-02-12,9953.00,9953.00,9953.00,9934.00,241.00,Alphavantage
2008-02-13,9923.00,9923.00,9923.00,9923.00,380.00,Alphavantage
2008-02-14,9902.00,9902.00,9902.00,9905.00,290.00,Alphavantage
2008-02-15,9999.00,9999.00,9999.00,9999.00,0.00,Alphavantage
2008-02-18,10018.00,10018.00,10018.00,10020.00,23.00,Alphavantage
2008-02-19,10070.00,10070.00,10070.00,10089.00,862.00,Alphavantage
2008-02-20,10082.00,10082.00,10082.00,10082.00,0.00,Alphavantage
2008-02-21,10053.00,10053.00,10053.00,10053.00,0.00,Alphavantage
2008-02-22,10043.00,10043.00,10043.00,10045.00,880.00,Alphavantage
2008-02-25,10056.00,10056.00,10056.00,10052.00,27.00,Alphavantage
2008-02-26,10050.00,10050.00,10050.00,10046.00,602.00,Alphavantage
2008-02-27,9893.00,9893.00,9893.00,9956.00,1922.00,Alphavantage
2008-02-28,9999.00,9999.00,9999.00,10028.00,1109.00,Alphavantage
2008-02-29,10058.00,10058.00,10058.00,10054.00,200.00,Alphavantage
2008-03-03,10082.00,10082.00,10082.00,10054.00,252.00,Alphavantage
2008-03-04,10079.00,10079.00,10079.00,10066.00,105.00,Alphavantage
