date,open,high,low,close,volume
2015-08-04,15120.00,15120.00,15104.00,15108.00,9130.00,Alphavantage
2015-08-17,15119.00,15119.00,15119.00,15118.00,20000.00,Alphavantage
2015-08-18,15099.00,15099.00,15099.00,15094.00,20000.00,Alphavantage
2015-08-25,10906.00,10906.00,10906.00,10906.00,0.00,Alphavantage
2015-09-07,15075.00,15075.00,15075.00,15074.00,4.00,Alphavantage
2015-11-02,15268.00,15268.00,15268.00,15268.00,0.00,Alphavantage
2015-12-07,11009.00,11009.00,10973.00,11031.00,54.00,Alphavantage
2016-01-18,15310.00,15310.00,15300.00,15301.00,8900.00,Alphavantage
2016-06-08,15614.00,15614.00,15614.00,15613.00,7992.00,Alphavantage
2017-06-23,15607.00,15607.00,15607.00,15607.00,0.00,Alphavantage
2017-07-10,13616.00,13616.00,13616.00,13616.00,0.00,Alphavantage
2018-05-16,13754.00,13754.00,13754.00,13754.00,0.00,Alphavantage
2018-05-23,13754.00,13754.00,13754.00,13754.00,0.00,Alphavantage
2019-09-12,14763.00,14763.00,14763.00,14596.00,339.00,null
2019-09-17,14539.00,14539.00,14539.00,14539.00,0.00,Alphavantage
2019-09-18,14573.00,14573.00,14573.00,14573.00,0.00,Alphavantage
2019-09-19,14547.00,14547.00,14547.00,14547.00,0.00,Alphavantage
2019-09-20,14463.50,14463.50,14463.50,14463.50,0.00,Alphavantage
