date,open,high,low,close,volume
2018-10-01,1905.599976,1909.599976,1770.400024,1823.800049,622403,null
2018-11-01,1811.400024,1855.0,1798.400024,1824.699951,365609,null
2018-12-01,1859.400024,1859.400024,17.139999,17.444,961451,null
2019-01-01,1746.800049,1807.800049,1719.400024,1773.400024,577865,null
2019-02-01,1789.0,1824.599976,1771.800049,1806.199951,796982,null
2019-03-01,1818.599976,1878.400024,1788.199951,1837.800049,608449,null
2019-04-01,1846.0,1956.400024,1846.0,1921.199951,705050,null
2019-05-01,1925.199951,1928.599976,1819.400024,1845.0,657452,null
2019-06-01,1836.800049,1916.599976,1822.599976,1862.400024,522392,null
2019-07-01,1883.0,1929.199951,1868.0,1879.300049,476502,null
2019-08-01,1896.199951,1900.199951,1783.400024,1835.599976,689726,null
2019-09-01,1836.599976,1902.5,1834.400024,1900.0,249942,null
2019-09-13,1903.599976,1908.800049,1896.800049,1898.0,8989,null
