date,open,high,low,close,volume
2008-01-02,999.00,1004.00,999.00,1005.50,187769.00,Alphavantage
2008-01-03,1006.50,1006.50,1006.50,1004.50,106181.00,Alphavantage
2008-01-04,1005.00,1005.00,1005.00,1008.00,97988.00,Alphavantage
2008-01-07,1006.00,1006.00,1006.00,1007.00,18392.00,Alphavantage
2008-01-08,1006.00,1006.00,996.00,1004.00,151612.00,Alphavantage
2008-01-09,1006.00,1007.50,1006.00,1007.50,37493.00,Alphavantage
2008-01-10,1008.00,1008.00,1008.00,1007.00,19749.00,Alphavantage
2008-01-11,1006.50,1006.50,1003.50,1002.00,355474.00,Alphavantage
2008-01-14,1005.00,1005.00,1005.00,1003.00,231165.00,Alphavantage
2008-01-15,1018.00,1018.00,1004.00,1006.50,85047.00,Alphavantage
2008-01-16,1009.50,1011.00,1008.00,1009.00,165324.00,Alphavantage
2008-01-17,1008.50,1008.50,1007.50,1007.50,400679.00,Alphavantage
2008-01-18,1006.00,1006.00,1005.50,1006.00,38367.00,Alphavantage
2008-01-21,1010.00,1010.00,1010.00,1011.50,19075.00,Alphavantage
2008-01-22,1018.00,1018.00,1003.50,1002.50,210980.00,Alphavantage
2008-01-23,1003.50,1010.00,1003.50,1007.00,67351.00,Alphavantage
2008-01-24,1002.00,1002.00,1002.00,998.50,93317.00,Alphavantage
2008-01-25,1000.50,1001.50,1000.50,999.00,33039.00,Alphavantage
2008-01-28,1004.00,1004.50,1004.00,1003.00,79206.00,Alphavantage
2008-01-29,1002.00,1002.00,1002.00,996.00,90111.00,Alphavantage
2008-01-30,998.00,998.00,998.00,999.00,62568.00,Alphavantage
2008-01-31,1006.00,1006.00,1006.00,991.50,11468.00,Alphavantage
2008-02-01,1004.50,1004.50,1004.50,1005.50,22054.00,Alphavantage
2008-02-04,1004.00,1004.00,1001.50,1003.00,77897.00,Alphavantage
2008-02-05,1002.00,1004.50,1002.00,1008.00,238515.00,Alphavantage
2008-02-06,1005.00,1005.00,1005.00,1004.50,130447.00,Alphavantage
2008-02-07,1004.50,1004.50,1004.50,1006.50,138039.00,Alphavantage
2008-02-08,1000.50,1006.00,1000.50,1007.50,95613.00,Alphavantage
2008-02-11,1004.00,1004.00,1004.00,1002.50,25388.00,Alphavantage
