date,open,high,low,close,volume
2012-08-24,2608.00,2620.00,2608.00,2608.00,3942.00,Alphavantage
2012-08-28,2582.00,2582.00,2582.00,2579.00,2410.00,Alphavantage
2012-08-29,2591.00,2591.00,2591.00,2591.00,0.00,Alphavantage
2012-08-30,2551.00,2551.00,2551.00,2551.00,0.00,Alphavantage
2012-08-31,2547.00,2547.00,2547.00,2547.00,0.00,Alphavantage
2012-09-03,2512.00,2512.00,2512.00,2512.00,0.00,Alphavantage
2012-09-04,2498.00,2498.00,2498.00,2493.00,792.00,Alphavantage
2012-09-05,2480.00,2480.00,2480.00,2482.00,2928.00,Alphavantage
2012-09-06,2520.00,2520.00,2520.00,2527.00,2532.00,Alphavantage
2012-09-07,2540.00,2540.00,2540.00,2535.00,600.00,Alphavantage
2012-09-10,2547.00,2547.00,2547.00,2547.00,3052.00,Alphavantage
2012-09-11,2539.00,2539.00,2539.00,2538.00,2452.00,Alphavantage
2012-09-12,2565.00,2565.00,2565.00,2565.00,0.00,Alphavantage
2012-09-13,2567.00,2567.00,2567.00,2567.00,0.00,Alphavantage
2012-09-14,2620.00,2656.00,2620.00,2646.00,1088.00,Alphavantage
2012-09-17,2641.00,2641.00,2641.00,2645.00,2874.00,Alphavantage
2012-09-18,2617.00,2619.00,2617.00,2633.00,2624.00,Alphavantage
2012-09-19,2646.00,2646.00,2646.00,2635.00,200.00,Alphavantage
2012-09-20,2603.00,2603.00,2603.00,2603.00,0.00,Alphavantage
2012-09-21,2623.00,2626.00,2623.00,2618.00,4498.00,Alphavantage
2012-09-24,2585.00,2585.00,2585.00,2588.00,4589.00,Alphavantage
2012-09-25,2617.00,2617.00,2617.00,2616.00,2387.00,Alphavantage
2012-09-26,2576.00,2576.00,2576.00,2569.00,152.00,Alphavantage
2012-09-27,2588.00,2588.00,2588.00,2588.00,0.00,Alphavantage
2012-09-28,2546.00,2546.00,2546.00,2546.00,0.00,Alphavantage
2012-10-01,2563.00,2563.00,2563.00,2563.00,0.00,Alphavantage
2012-10-02,2546.00,2546.00,2546.00,2546.00,0.00,Alphavantage
2012-10-03,2547.00,2547.00,2547.00,2547.00,0.00,Alphavantage
2012-10-04,2566.00,2566.00,2566.00,2566.00,0.00,Alphavantage
