date,open,high,low,close,volume
2008-05-16,13.54,13.54,13.54,13.42,37.00,Alphavantage
2008-05-19,13.69,13.69,13.69,13.69,0.00,Alphavantage
2008-05-20,13.14,13.14,13.14,13.14,0.00,Alphavantage
2008-05-21,13.29,13.29,13.29,13.17,196.00,Alphavantage
2008-05-22,13.08,13.08,13.08,13.08,0.00,Alphavantage
2008-05-23,12.79,12.79,12.79,12.79,0.00,Alphavantage
2008-05-27,12.79,12.79,12.79,12.79,0.00,Alphavantage
2008-05-28,12.75,12.75,12.75,12.75,0.00,Alphavantage
2008-05-29,12.91,12.91,12.91,12.92,667.00,Alphavantage
2008-05-30,12.86,12.86,12.86,12.80,1667.00,Alphavantage
2008-06-02,12.75,12.75,12.75,12.75,0.00,Alphavantage
2008-06-03,12.88,12.88,12.88,12.88,0.00,Alphavantage
2008-06-04,12.95,12.95,12.95,12.95,0.00,Alphavantage
2008-06-05,13.05,13.05,13.05,13.05,1304.00,Alphavantage
2008-06-06,12.76,12.76,12.76,12.70,1605.00,Alphavantage
2008-06-09,12.63,12.63,12.63,12.63,0.00,Alphavantage
2008-06-10,12.44,12.44,12.44,12.44,0.00,Alphavantage
2008-06-11,12.19,12.19,12.19,12.19,0.00,Alphavantage
2008-06-12,12.31,12.31,12.31,12.31,0.00,Alphavantage
2008-06-13,12.26,12.26,12.26,12.26,0.00,Alphavantage
2008-06-16,12.09,12.09,12.09,12.09,0.00,Alphavantage
2008-06-17,12.28,12.28,12.28,12.28,0.00,Alphavantage
2008-06-18,12.36,12.36,12.36,12.16,1308.00,Alphavantage
2008-06-19,12.11,12.11,12.11,12.11,0.00,Alphavantage
2008-06-20,11.96,11.96,11.96,11.86,919.00,Alphavantage
2008-06-23,11.82,11.82,11.82,11.82,0.00,Alphavantage
2008-06-24,11.70,11.70,11.70,11.70,0.00,Alphavantage
2008-06-25,11.90,11.90,11.90,11.90,0.00,Alphavantage
2008-06-26,11.53,11.53,11.53,11.53,0.00,Alphavantage
2008-06-27,11.33,11.33,11.33,11.33,0.00,Alphavantage
2008-06-30,11.32,11.32,11.32,11.32,0.00,Alphavantage
2008-07-01,11.02,11.02,11.02,11.02,0.00,Alphavantage
2008-07-02,11.02,11.02,11.02,11.02,0.00,Alphavantage
2008-07-03,11.04,11.04,11.04,11.04,0.00,Alphavantage
2008-07-04,10.83,10.83,10.83,10.83,0.00,Alphavantage
2008-07-07,11.01,11.01,11.01,11.01,0.00,Alphavantage
2008-07-08,10.85,10.85,10.85,10.85,0.00,Alphavantage
2008-07-09,10.96,10.96,10.96,10.96,0.00,Alphavantage
2008-07-10,10.94,10.94,10.94,10.94,0.00,Alphavantage
2008-07-11,10.82,10.82,10.82,10.82,0.00,Alphavantage
2008-07-14,10.89,10.89,10.89,10.89,0.00,Alphavantage
2008-07-15,10.55,10.55,10.55,10.55,0.00,Alphavantage
2008-07-16,10.66,10.66,10.66,10.66,0.00,Alphavantage
2008-07-17,10.70,10.70,10.70,10.70,0.00,Alphavantage
2008-07-18,10.69,10.69,10.69,10.69,0.00,Alphavantage
2008-07-21,10.77,10.77,10.77,10.77,0.00,Alphavantage
2008-07-22,10.83,10.83,10.83,10.83,0.00,Alphavantage
2008-07-23,11.08,11.08,11.08,11.08,0.00,Alphavantage
2008-07-24,11.04,11.04,11.04,11.04,0.00,Alphavantage
2008-07-25,11.12,11.12,11.12,11.12,0.00,Alphavantage
2008-07-28,11.03,11.03,11.03,11.03,0.00,Alphavantage
2008-07-29,11.00,11.00,11.00,11.00,0.00,Alphavantage
2008-07-30,11.06,11.06,11.06,11.06,0.00,Alphavantage
2008-07-31,10.88,10.88,10.88,10.88,0.00,Alphavantage
2008-08-01,10.80,10.80,10.80,10.76,1088.00,Alphavantage
2008-08-04,10.59,10.69,10.59,10.59,0.00,Alphavantage
2008-08-05,10.70,10.70,10.70,10.70,0.00,Alphavantage
2008-08-06,10.82,10.82,10.82,10.82,0.00,Alphavantage
2008-08-07,10.69,10.69,10.69,10.69,0.00,Alphavantage
2008-08-08,10.92,10.92,10.92,10.92,0.00,Alphavantage
2008-08-11,10.92,10.92,10.92,10.92,0.00,Alphavantage
2008-08-12,10.87,10.87,10.87,10.87,0.00,Alphavantage
2008-08-13,10.95,10.95,10.95,10.95,0.00,Alphavantage
2008-08-14,11.11,11.11,11.11,11.11,0.00,Alphavantage
2008-08-15,11.15,11.15,11.15,11.04,912.00,Alphavantage
2008-08-18,10.88,10.89,10.88,10.83,5744.00,Alphavantage
2008-08-19,10.64,10.64,10.64,10.64,0.00,Alphavantage
2008-08-20,10.86,10.86,10.86,10.86,0.00,Alphavantage
2008-08-21,10.63,10.63,10.63,10.63,0.00,Alphavantage
2008-08-22,10.59,10.59,10.59,10.77,5298.00,Alphavantage
2008-08-26,10.64,10.64,10.64,10.60,5000.00,Alphavantage
2008-08-27,10.71,10.71,10.71,10.75,2892.00,Alphavantage
2008-08-28,10.79,10.79,10.79,10.79,0.00,Alphavantage
2008-08-29,10.80,10.80,10.80,10.80,0.00,Alphavantage
2008-09-01,10.65,10.65,10.65,10.67,1772.00,Alphavantage
2008-09-02,10.60,10.60,10.60,10.60,0.00,Alphavantage
2008-09-03,10.43,10.43,10.43,10.43,0.00,Alphavantage
2008-09-04,10.26,10.26,10.26,10.19,1824.00,Alphavantage
2008-09-05,10.18,10.18,10.18,10.09,1863.00,Alphavantage
2008-09-08,10.46,10.46,10.46,10.46,0.00,Alphavantage
2008-09-09,10.22,10.22,10.22,10.22,0.00,Alphavantage
2008-09-10,10.38,10.38,10.38,10.31,1777.00,Alphavantage
2008-09-11,10.14,10.14,10.14,10.14,0.00,Alphavantage
2008-09-12,10.09,10.09,10.09,10.05,1550.00,Alphavantage
2008-09-15,9.68,9.68,9.68,9.68,0.00,Alphavantage
2008-09-16,9.31,9.31,9.31,9.31,0.00,Alphavantage
2008-09-17,9.03,9.03,9.03,8.94,1569.00,Alphavantage
