date,open,high,low,close,volume
2006-12-15,68.87,68.87,68.87,68.72,29.00,Alphavantage
2006-12-18,68.68,68.68,68.68,68.68,0.00,Alphavantage
2006-12-19,67.94,67.94,67.94,67.94,0.00,Alphavantage
2006-12-20,67.84,67.84,67.84,67.84,0.00,Alphavantage
2006-12-21,68.01,68.01,68.01,68.07,12294.00,Alphavantage
2006-12-22,67.81,67.81,67.81,67.81,0.00,Alphavantage
2006-12-27,68.03,68.03,68.03,67.70,14323.00,Alphavantage
2006-12-28,67.31,67.31,67.31,67.31,0.00,Alphavantage
2006-12-29,68.03,68.03,68.03,67.45,0.00,Alphavantage
2007-01-02,67.20,67.20,67.20,67.20,0.00,Alphavantage
2007-01-03,68.06,68.06,68.06,68.06,0.00,Alphavantage
2007-01-04,68.43,68.43,68.43,68.43,0.00,Alphavantage
2007-01-05,68.68,68.68,68.68,68.68,0.00,Alphavantage
2007-01-08,68.55,68.55,68.55,68.34,5029.00,Alphavantage
2007-01-09,68.24,68.24,68.24,68.24,0.00,Alphavantage
2007-01-10,68.42,68.42,68.42,68.42,0.00,Alphavantage
2007-01-11,67.97,67.97,67.97,67.97,0.00,Alphavantage
2007-01-12,67.10,67.10,67.10,67.10,0.00,Alphavantage
2007-01-15,66.82,66.82,66.82,66.82,0.00,Alphavantage
2007-01-16,67.02,67.02,67.02,67.02,0.00,Alphavantage
2007-01-17,66.80,66.80,66.80,66.80,0.00,Alphavantage
2007-01-18,66.61,66.61,66.61,66.61,0.00,Alphavantage
2007-01-19,66.62,66.62,66.62,66.62,0.00,Alphavantage
2007-01-22,66.79,66.79,66.79,66.79,0.00,Alphavantage
2007-01-23,66.46,66.46,66.46,66.45,2189.00,Alphavantage
2007-01-24,67.17,67.17,67.17,67.17,0.00,Alphavantage
2007-01-25,66.95,66.95,66.95,66.95,0.00,Alphavantage
2007-01-26,67.26,67.26,67.26,67.26,0.00,Alphavantage
2007-01-29,67.23,67.23,67.23,67.23,0.00,Alphavantage
2007-01-30,67.20,67.20,67.20,67.20,0.00,Alphavantage
2007-01-31,67.32,67.32,67.32,67.32,0.00,Alphavantage
2007-02-01,67.17,67.17,67.17,67.17,0.00,Alphavantage
2007-02-02,67.23,67.23,67.23,67.23,0.00,Alphavantage
2007-02-05,67.59,67.59,67.59,67.59,0.00,Alphavantage
2007-02-06,67.21,67.21,67.21,67.21,0.00,Alphavantage
2007-02-07,67.42,67.42,67.42,67.42,0.00,Alphavantage
2007-02-08,67.80,67.80,67.80,67.80,0.00,Alphavantage
