date,open,high,low,close,volume
2018-10-01,580.099976,592.5,559.099976,578.400024,4945579,null
2018-11-01,582.599976,600.200012,547.700012,548.599976,4444817,null
2018-12-01,551.700012,556.099976,522.900024,530.400024,4992384,null
2019-01-01,530.400024,585.099976,522.5,576.799988,5238349,null
2019-02-01,578.099976,586.099976,567.0,582.5,5105359,null
2019-03-01,584.099976,597.0,577.599976,586.450012,4454076,null
2019-04-01,590.0,598.5,583.0,589.200012,4314293,null
2019-05-01,596.200012,596.200012,7.734,7.734,3718714,null
2019-06-01,561.200012,575.0,557.900024,567.950012,4353787,null
2019-07-01,574.200012,586.700012,551.771973,552.25,4108651,null
2019-08-01,547.700012,559.192017,526.200012,558.049988,3700571,null
2019-09-01,562.599976,575.099976,556.521973,575.099976,1037120,null
2019-09-13,567.099976,580.748108,567.099976,579.849976,91906,null
