date,open,high,low,close,volume
2014-09-16,100.45,100.53,100.45,100.53,50.00,Alphavantage
2014-09-17,99.53,99.53,99.37,99.53,1.00,Alphavantage
2014-09-18,100.62,100.62,99.64,100.62,1.00,Alphavantage
2014-09-19,101.46,101.46,100.12,101.46,1.00,Alphavantage
2014-09-22,101.58,101.58,101.48,101.58,1.00,Alphavantage
2014-09-23,100.86,101.49,100.86,100.86,1.00,Alphavantage
2014-09-24,102.40,102.40,101.30,102.40,1.00,Alphavantage
2014-09-25,102.40,102.40,102.40,102.40,0.00,Alphavantage
2014-09-26,102.65,103.26,102.47,103.26,282.00,Alphavantage
2014-09-29,103.26,103.31,103.11,103.11,33.00,Alphavantage
2014-09-30,103.15,103.15,102.42,103.15,1.00,Alphavantage
2014-10-01,101.83,102.29,101.83,101.83,1.00,Alphavantage
2014-10-02,98.71,100.44,98.71,98.71,1.00,Alphavantage
2014-10-03,100.39,101.60,100.29,101.60,5140.00,Alphavantage
2014-10-06,100.92,101.58,100.92,100.92,1.00,Alphavantage
2014-10-07,100.21,101.26,100.21,100.31,149.00,Alphavantage
2014-10-08,100.14,100.14,98.95,98.95,226.00,Alphavantage
2014-10-09,97.87,98.65,97.87,97.98,794.00,Alphavantage
2014-10-10,96.91,97.99,96.91,96.91,1.00,Alphavantage
2014-10-13,97.16,97.16,96.18,96.18,226.00,Alphavantage
2014-10-14,96.23,96.23,95.72,96.23,1.00,Alphavantage
2014-10-15,95.91,97.09,93.84,93.84,6837.00,Alphavantage
2014-10-16,94.71,94.71,94.17,94.17,996.00,Alphavantage
2014-10-17,94.69,94.69,93.40,94.69,108863.00,Alphavantage
2014-10-20,96.18,96.35,96.12,96.32,222.00,Alphavantage
2014-10-21,94.86,96.65,94.68,96.65,996.00,Alphavantage
2014-10-22,97.87,98.37,97.42,98.37,56.00,Alphavantage
2014-10-23,98.52,98.52,97.84,98.52,1.00,Alphavantage
2014-10-24,98.15,98.15,97.83,98.15,1.00,Alphavantage
2014-10-27,98.04,98.49,98.04,98.04,1.00,Alphavantage
2014-10-28,97.97,98.33,97.97,97.97,139376.00,Alphavantage
2014-10-29,97.97,97.97,97.97,97.97,0.00,Alphavantage
2014-10-30,100.24,100.66,100.18,100.18,2857.00,Alphavantage
2014-10-31,104.12,106.17,104.12,106.09,59.00,Alphavantage
2014-11-03,106.77,107.21,106.75,106.77,2215.00,Alphavantage
2014-11-04,103.80,104.18,102.96,103.40,24143.00,Alphavantage
2014-11-05,14616.10,14616.10,14616.10,14616.10,0.00,Alphavantage
2014-11-06,14616.10,14616.10,14536.40,14616.10,1.00,Alphavantage
2014-11-07,14557.30,14612.00,14557.30,14557.30,1.00,Alphavantage
2014-11-10,14680.00,14680.00,14503.50,14680.00,1.00,Alphavantage
2014-11-11,14887.80,14887.80,14831.80,14887.80,1.00,Alphavantage
2014-11-12,14739.40,14739.40,14726.70,14739.40,1.00,Alphavantage
2014-11-13,14921.40,14943.70,14921.40,14921.40,1.00,Alphavantage
2014-11-14,15009.80,15018.00,15009.80,15009.80,1.00,Alphavantage
2014-11-17,14727.80,14727.80,14704.40,14727.80,1.00,Alphavantage
2014-11-18,14908.70,14965.90,14908.70,14965.90,59.00,Alphavantage
2014-11-19,14997.50,15029.80,14997.50,15029.70,107.00,Alphavantage
2014-11-20,14963.00,14963.00,14945.30,14963.00,1.00,Alphavantage
2014-11-21,15115.20,15115.20,14948.60,15060.10,54.00,Alphavantage
2014-11-24,15060.10,15060.10,15060.10,15060.10,0.00,Alphavantage
2014-11-25,15060.10,15060.10,15060.10,15060.10,0.00,Alphavantage
2014-11-26,15060.10,15060.10,15060.10,15060.10,0.00,Alphavantage
2014-11-27,15060.10,15060.10,15060.10,15060.10,0.00,Alphavantage
2014-11-28,15053.40,15053.40,15053.40,15053.40,1.00,Alphavantage
2014-12-01,15053.40,15053.40,15053.40,15053.40,0.00,Alphavantage
2014-12-02,15053.40,15053.40,15053.40,15053.40,0.00,Alphavantage
2014-12-03,15053.40,15053.40,15053.40,15053.40,0.00,Alphavantage
2014-12-04,15053.40,15053.40,15053.40,15053.40,0.00,Alphavantage
2014-12-05,15450.20,15450.20,15450.20,15450.20,3000.00,Alphavantage
2014-12-08,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-09,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-10,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-11,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-12,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-15,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-16,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-17,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-18,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-19,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-22,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-23,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-24,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-29,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-30,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2014-12-31,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-02,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-05,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-06,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-07,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-08,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-09,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-12,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-13,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-14,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-15,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-16,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-19,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-20,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-21,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-22,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-23,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-26,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-27,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-28,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-29,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-01-30,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-02,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-03,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-04,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-05,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-06,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-09,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-10,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-11,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-12,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-13,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-16,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-17,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-18,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-19,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-20,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-23,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-24,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
2015-02-25,15450.20,15450.20,15450.20,15450.20,0.00,Alphavantage
