date,open,high,low,close,volume
2012-01-13,95.14,95.14,95.14,95.32,7500.00,Alphavantage
2012-01-16,95.77,95.77,95.77,95.77,0.00,Alphavantage
2012-01-17,95.86,95.86,95.86,95.86,0.00,Alphavantage
2012-01-18,95.92,95.92,95.92,95.92,0.00,Alphavantage
2012-01-19,95.67,95.67,95.67,95.67,0.00,Alphavantage
2012-01-20,95.64,95.64,95.64,95.64,0.00,Alphavantage
2012-01-23,95.22,95.22,95.22,95.22,0.00,Alphavantage
2012-01-24,95.19,95.19,95.19,95.19,0.00,Alphavantage
2012-01-25,95.08,95.08,95.08,95.08,0.00,Alphavantage
2012-01-26,95.44,95.44,95.44,95.44,0.00,Alphavantage
2012-01-27,95.01,95.01,95.01,95.01,0.00,Alphavantage
2012-01-30,94.86,94.86,94.86,94.86,0.00,Alphavantage
2012-01-31,95.48,95.48,95.48,95.48,0.00,Alphavantage
2012-02-01,96.53,96.53,96.53,96.53,0.00,Alphavantage
2012-02-02,96.08,96.08,96.08,96.08,0.00,Alphavantage
2012-02-03,97.39,97.39,97.39,97.39,0.00,Alphavantage
2012-02-06,97.44,97.44,97.44,97.44,0.00,Alphavantage
2012-02-07,97.35,97.35,97.35,97.35,0.00,Alphavantage
2012-02-08,96.70,96.70,96.70,96.70,0.00,Alphavantage
2012-02-09,96.53,96.53,96.53,96.53,0.00,Alphavantage
2012-02-10,96.72,96.72,96.72,96.72,0.00,Alphavantage
2012-02-13,97.04,97.04,97.04,97.04,0.00,Alphavantage
2012-02-14,97.52,97.52,97.52,97.52,0.00,Alphavantage
2012-02-15,98.11,98.11,98.11,98.11,0.00,Alphavantage
2012-02-16,98.47,98.47,98.47,98.47,0.00,Alphavantage
2012-02-17,98.59,98.59,98.59,98.59,0.00,Alphavantage
2012-02-20,98.58,98.58,98.58,98.58,0.00,Alphavantage
2012-02-21,98.09,98.09,98.09,98.09,0.00,Alphavantage
2012-02-22,97.68,97.68,97.68,97.68,0.00,Alphavantage
2012-02-23,97.48,97.48,97.48,97.48,0.00,Alphavantage
2012-02-24,97.25,97.25,97.25,97.25,0.00,Alphavantage
2012-02-27,97.56,97.56,97.56,97.56,0.00,Alphavantage
2012-02-28,97.49,97.49,97.49,97.49,0.00,Alphavantage
2012-02-29,97.65,97.65,97.65,97.65,0.00,Alphavantage
2012-03-01,98.28,98.28,98.28,98.28,0.00,Alphavantage
2012-03-02,98.48,98.48,98.48,98.48,0.00,Alphavantage
2012-03-05,98.37,98.37,98.37,98.37,0.00,Alphavantage
2012-03-06,97.22,97.22,97.22,97.22,0.00,Alphavantage
2012-03-07,97.58,97.58,97.58,97.58,0.00,Alphavantage
2012-03-08,98.09,98.09,98.09,98.09,0.00,Alphavantage
2012-03-09,98.83,98.83,98.83,98.83,0.00,Alphavantage
2012-03-12,98.94,98.94,98.94,98.94,0.00,Alphavantage
2012-03-13,100.00,100.00,100.00,100.00,0.00,Alphavantage
2012-03-14,99.94,99.94,99.94,99.94,0.00,Alphavantage
2012-03-15,99.56,99.56,99.56,99.56,0.00,Alphavantage
2012-03-16,99.66,99.66,99.66,99.66,0.00,Alphavantage
2012-03-19,99.55,99.55,99.55,99.55,0.00,Alphavantage
2012-03-20,99.44,99.44,99.44,99.44,0.00,Alphavantage
2012-03-21,99.88,99.88,99.88,99.88,0.00,Alphavantage
2012-03-22,99.17,99.17,99.17,99.17,0.00,Alphavantage
2012-03-23,99.17,99.17,99.17,99.17,0.00,Alphavantage
2012-03-26,99.92,99.92,99.92,99.92,0.00,Alphavantage
2012-03-27,99.92,99.92,99.92,99.92,0.00,Alphavantage
2012-03-28,99.14,99.14,99.14,99.14,0.00,Alphavantage
2012-03-29,98.50,98.50,98.50,98.50,0.00,Alphavantage
2012-03-30,98.50,98.50,98.50,98.50,0.00,Alphavantage
2012-04-02,98.50,98.50,98.50,98.50,0.00,Alphavantage
2012-04-03,98.50,98.50,98.50,98.50,0.00,Alphavantage
2012-04-04,98.53,98.53,98.53,98.53,0.00,Alphavantage
2012-04-05,98.61,98.61,98.61,98.61,0.00,Alphavantage
2012-04-10,97.84,97.84,97.84,97.84,0.00,Alphavantage
2012-04-11,97.77,97.77,97.77,97.77,0.00,Alphavantage
2012-04-12,98.54,98.54,98.54,98.54,0.00,Alphavantage
2012-04-13,97.64,97.64,97.64,97.64,0.00,Alphavantage
2012-04-16,98.45,98.45,98.45,98.45,0.00,Alphavantage
2012-04-17,99.18,99.18,99.18,99.18,0.00,Alphavantage
2012-04-18,99.18,99.18,99.18,99.18,0.00,Alphavantage
2012-04-19,99.16,99.16,99.16,99.16,0.00,Alphavantage
2012-04-20,99.16,99.16,99.16,99.16,0.00,Alphavantage
2012-04-23,98.11,98.11,98.11,98.11,0.00,Alphavantage
2012-04-24,98.79,98.79,98.79,98.79,0.00,Alphavantage
2012-04-25,99.13,99.13,99.13,99.13,0.00,Alphavantage
2012-04-26,99.13,99.13,99.13,99.13,0.00,Alphavantage
2012-04-27,99.70,99.70,99.70,99.70,0.00,Alphavantage
2012-04-30,99.81,99.81,99.81,99.81,0.00,Alphavantage
2012-05-01,99.81,99.81,99.81,99.81,0.00,Alphavantage
2012-05-02,100.22,100.22,100.22,100.22,0.00,Alphavantage
2012-05-03,100.56,100.56,100.56,100.56,0.00,Alphavantage
2012-05-04,99.84,99.84,99.84,99.84,0.00,Alphavantage
2012-05-08,99.84,99.84,99.84,99.84,0.00,Alphavantage
2012-05-09,99.84,99.84,99.84,99.84,0.00,Alphavantage
2012-05-10,99.84,99.84,99.84,99.84,0.00,Alphavantage
2012-05-11,99.84,99.84,99.84,99.84,0.00,Alphavantage
2012-05-14,99.39,99.39,99.39,99.39,0.00,Alphavantage
2012-05-15,99.15,99.15,99.15,99.15,0.00,Alphavantage
2012-05-16,99.15,99.15,99.15,99.15,0.00,Alphavantage
2012-05-17,97.81,97.81,97.81,97.81,0.00,Alphavantage
2012-05-18,97.19,97.19,97.19,97.19,0.00,Alphavantage
2012-05-21,97.54,97.54,97.54,97.54,0.00,Alphavantage
2012-05-22,97.54,97.54,97.54,97.54,0.00,Alphavantage
2012-05-23,97.42,97.42,97.42,97.42,0.00,Alphavantage
2012-05-24,98.60,98.60,98.60,98.60,0.00,Alphavantage
2012-05-25,98.60,98.60,98.60,98.60,0.00,Alphavantage
2012-05-29,99.17,99.17,99.17,99.17,0.00,Alphavantage
2012-05-30,99.17,99.17,99.17,99.17,0.00,Alphavantage
2012-05-31,98.26,98.26,98.26,98.26,0.00,Alphavantage
2012-06-01,97.51,97.51,97.51,97.51,0.00,Alphavantage
2012-06-06,98.05,98.05,98.05,98.05,0.00,Alphavantage
2012-06-07,98.69,98.69,98.69,98.69,0.00,Alphavantage
2012-06-08,99.30,99.30,99.30,99.30,0.00,Alphavantage
2012-06-11,99.45,99.45,99.45,99.45,0.00,Alphavantage
2012-06-12,100.38,100.38,100.38,100.38,0.00,Alphavantage
2012-06-13,100.27,100.27,100.27,100.27,0.00,Alphavantage
2012-06-14,100.50,100.50,100.50,100.50,0.00,Alphavantage
2012-06-15,100.19,100.19,100.19,100.19,0.00,Alphavantage
2012-06-18,100.75,100.75,100.75,100.75,0.00,Alphavantage
2012-06-19,101.77,101.77,101.77,101.77,0.00,Alphavantage
2012-06-20,101.69,101.69,101.69,101.69,0.00,Alphavantage
2012-06-21,101.86,101.86,101.86,101.86,0.00,Alphavantage
2012-06-22,101.66,101.66,101.66,101.66,0.00,Alphavantage
2012-06-25,101.08,101.08,101.08,101.08,0.00,Alphavantage
2012-06-26,101.31,101.31,101.31,101.31,0.00,Alphavantage
2012-06-27,102.06,102.06,102.06,102.06,0.00,Alphavantage
2012-06-28,102.06,102.06,102.06,102.06,0.00,Alphavantage
2012-06-29,102.06,102.06,102.06,102.06,0.00,Alphavantage
2012-07-02,104.21,104.21,104.21,104.21,0.00,Alphavantage
2012-07-03,104.84,104.84,104.84,104.84,0.00,Alphavantage
2012-07-04,104.84,104.84,104.84,104.84,0.00,Alphavantage
2012-07-05,105.23,105.23,105.23,105.23,0.00,Alphavantage
2012-07-06,105.27,105.27,105.27,105.27,0.00,Alphavantage
2012-07-09,105.14,105.14,105.14,105.14,0.00,Alphavantage
2012-07-10,105.86,105.86,105.86,105.86,0.00,Alphavantage
2012-07-11,105.80,105.80,105.80,105.80,0.00,Alphavantage
2012-07-12,105.06,105.06,105.06,105.06,0.00,Alphavantage
2012-07-13,106.33,106.33,106.33,106.33,0.00,Alphavantage
2012-07-16,106.59,106.59,106.59,106.59,0.00,Alphavantage
2012-07-17,106.47,106.47,106.47,106.47,0.00,Alphavantage
2012-07-18,107.44,107.44,107.44,107.44,0.00,Alphavantage
2012-07-19,108.33,108.33,108.33,108.33,0.00,Alphavantage
2012-07-20,107.50,107.50,107.50,107.50,0.00,Alphavantage
2012-07-23,105.59,105.59,105.59,105.59,0.00,Alphavantage
