date,open,high,low,close,volume
2017-12-05,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-12-04,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-12-01,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-11-30,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-11-29,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-11-28,19.03,19.03,19.03,19.03,0.00,Alphavantage
2017-11-27,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-11-24,14.31,14.31,14.31,14.31,0.00,Alphavantage
2017-11-22,14.29,14.29,14.29,14.29,0.00,Alphavantage
2017-11-21,14.32,14.32,14.32,14.32,0.00,Alphavantage
2017-11-20,19.41,19.41,19.41,19.41,0.00,Alphavantage
2017-11-17,14.56,14.58,14.56,14.69,12.00,Alphavantage
2017-11-16,14.70,14.70,14.70,14.70,0.00,Alphavantage
2017-11-14,19.23,19.23,19.23,19.23,0.00,Alphavantage
2017-11-13,14.54,14.54,14.54,14.54,0.00,Alphavantage
2017-11-10,14.44,14.44,14.44,14.44,0.00,Alphavantage
2017-11-09,14.51,14.51,14.51,14.51,0.00,Alphavantage
2017-11-08,14.23,14.23,14.23,14.23,0.00,Alphavantage
2017-11-07,14.02,14.02,14.02,14.02,0.00,Alphavantage
2017-11-02,20.20,20.20,20.20,20.20,0.00,Alphavantage
2017-10-30,15.56,15.56,15.56,15.56,0.00,Alphavantage
2017-10-27,15.84,15.84,15.84,15.84,0.00,Alphavantage
2017-10-26,20.77,20.77,20.77,20.77,0.00,Alphavantage
2017-10-25,20.73,20.73,20.73,20.73,0.00,Alphavantage
2017-10-24,15.86,15.86,15.86,15.86,0.00,Alphavantage
2017-10-23,15.96,15.96,15.96,15.83,61.00,Alphavantage
2017-10-20,20.85,20.85,20.85,20.85,0.00,Alphavantage
2017-10-19,20.89,20.89,20.89,20.89,0.00,Alphavantage
2017-10-18,15.87,15.87,15.87,15.87,0.00,Alphavantage
2017-10-17,20.91,20.91,20.91,20.91,0.00,Alphavantage
2017-10-16,15.68,15.68,15.68,15.68,0.00,Alphavantage
2017-10-13,15.69,15.69,15.69,15.69,0.00,Alphavantage
2017-10-12,15.87,15.87,15.87,15.87,0.00,Alphavantage
2017-10-11,15.88,15.88,15.88,15.88,0.00,Alphavantage
2017-10-10,21.18,21.18,21.18,21.18,0.00,Alphavantage
2017-10-09,21.45,21.45,21.45,21.45,0.00,Alphavantage
2017-10-05,21.40,21.40,21.40,21.40,0.00,Alphavantage
2017-10-04,16.09,16.09,16.09,16.09,0.00,Alphavantage
2017-10-03,21.25,21.25,21.25,21.25,0.00,Alphavantage
2017-10-02,21.23,21.23,21.23,21.23,0.00,Alphavantage
2017-09-29,15.59,15.59,15.59,15.59,0.00,Alphavantage
2017-09-28,20.98,20.98,20.98,20.98,0.00,Alphavantage
2017-09-27,20.87,20.87,20.87,20.87,0.00,Alphavantage
2017-09-26,15.48,15.48,15.48,15.48,0.00,Alphavantage
2017-09-25,15.55,15.55,15.55,15.55,0.00,Alphavantage
2017-09-22,21.37,21.37,21.37,21.37,0.00,Alphavantage
2017-09-21,21.37,21.37,21.37,21.37,0.00,Alphavantage
2017-09-20,21.55,21.55,21.55,21.55,0.00,Alphavantage
2017-09-19,21.69,21.69,21.69,21.69,0.00,Alphavantage
2017-09-18,21.79,21.79,21.79,21.79,0.00,Alphavantage
2017-09-15,15.82,15.82,15.82,15.82,0.00,Alphavantage
2017-09-14,16.00,16.00,16.00,16.00,0.00,Alphavantage
2017-09-13,21.39,21.39,21.39,21.39,0.00,Alphavantage
2017-09-12,21.45,21.45,21.45,21.45,0.00,Alphavantage
2017-09-11,16.30,16.30,16.30,16.30,0.00,Alphavantage
2017-09-08,21.04,21.04,21.04,21.04,0.00,Alphavantage
2017-09-07,20.99,20.99,20.99,20.99,0.00,Alphavantage
2017-09-06,20.86,20.86,20.86,20.86,0.00,Alphavantage
2017-09-05,20.85,20.85,20.85,20.85,0.00,Alphavantage
2017-09-04,20.75,20.75,20.75,20.75,0.00,Alphavantage
2017-09-01,20.80,20.80,20.80,20.80,0.00,Alphavantage
2017-08-31,20.70,20.70,20.70,20.70,0.00,Alphavantage
2017-08-30,16.13,16.13,16.13,16.13,0.00,Alphavantage
2017-08-29,20.83,20.83,20.83,20.83,0.00,Alphavantage
2017-08-25,20.71,20.71,20.71,20.71,0.00,Alphavantage
2017-08-24,20.64,20.64,20.64,20.64,0.00,Alphavantage
2017-08-23,20.69,20.69,20.69,20.69,0.00,Alphavantage
2017-08-22,16.10,16.10,16.10,16.10,0.00,Alphavantage
2017-08-21,20.58,20.58,20.58,20.58,0.00,Alphavantage
2017-08-18,15.90,15.90,15.90,15.90,0.00,Alphavantage
2017-08-17,20.45,20.45,20.45,20.45,0.00,Alphavantage
2017-08-16,20.46,20.46,20.46,20.46,0.00,Alphavantage
2017-08-15,20.46,20.46,20.46,20.46,0.00,Alphavantage
2017-08-14,20.39,20.39,20.39,20.39,0.00,Alphavantage
2017-08-11,20.16,20.16,20.16,20.16,0.00,Alphavantage
2017-08-10,20.09,20.09,20.09,20.09,0.00,Alphavantage
2017-08-09,15.29,15.29,15.29,15.45,70.00,Alphavantage
2017-08-08,20.11,20.11,20.11,20.11,0.00,Alphavantage
2017-08-07,15.28,15.28,15.28,15.28,0.00,Alphavantage
2017-08-04,19.73,19.73,19.73,19.73,0.00,Alphavantage
2017-08-02,14.96,14.96,14.96,14.96,0.00,Alphavantage
2017-08-01,19.84,19.84,19.84,19.84,0.00,Alphavantage
2017-07-31,19.83,19.83,19.83,19.83,0.00,Alphavantage
2017-07-28,19.95,19.95,19.95,19.95,0.00,Alphavantage
2017-07-27,20.05,20.05,20.05,20.05,0.00,Alphavantage
2017-07-26,19.98,19.98,19.98,19.98,0.00,Alphavantage
2017-07-25,20.01,20.01,20.01,20.01,0.00,Alphavantage
2017-07-24,19.85,19.85,19.85,19.85,0.00,Alphavantage
2017-07-21,19.30,19.30,19.30,19.30,0.00,Alphavantage
2017-07-20,14.90,14.90,14.90,14.90,0.00,Alphavantage
2017-07-19,19.23,19.23,19.23,19.23,0.00,Alphavantage
2017-07-18,14.79,14.79,14.79,14.79,0.00,Alphavantage
2017-07-17,14.67,14.67,14.67,14.67,0.00,Alphavantage
2017-07-14,19.09,19.09,19.09,19.09,0.00,Alphavantage
2017-07-13,19.32,19.32,19.32,19.11,5000.00,Alphavantage
2017-07-12,14.79,14.79,14.79,14.87,56972.00,Alphavantage
2017-07-10,18.72,18.72,18.72,18.84,5000.00,Alphavantage
2017-07-07,14.45,14.45,14.45,14.45,0.00,Alphavantage
2017-07-06,18.72,18.72,18.72,18.72,0.00,Alphavantage
2017-07-05,14.49,14.49,14.49,14.49,0.00,Alphavantage
2017-07-04,18.62,18.62,18.62,18.62,0.00,Alphavantage
2017-07-03,18.57,18.57,18.57,18.57,0.00,Alphavantage
2017-06-30,14.35,14.35,14.35,14.35,0.00,Alphavantage
2017-06-28,18.83,18.83,18.83,18.83,0.00,Alphavantage
2017-06-27,19.03,19.03,19.03,19.03,74.00,Alphavantage
2017-06-23,18.83,18.83,18.83,18.83,0.00,Alphavantage
2017-06-22,14.92,14.92,14.92,14.92,0.00,Alphavantage
2017-06-21,14.95,14.95,14.95,14.95,0.00,Alphavantage
2017-06-20,19.15,19.15,19.15,19.15,0.00,Alphavantage
2017-06-19,19.06,19.06,19.06,19.06,0.00,Alphavantage
2017-06-16,14.46,14.46,14.46,14.46,0.00,Alphavantage
2017-06-15,18.56,18.56,18.56,18.56,0.00,Alphavantage
2017-06-14,18.47,18.47,18.47,18.47,0.00,Alphavantage
2017-06-13,14.44,14.44,14.44,14.44,0.00,Alphavantage
2017-06-12,14.50,14.50,14.50,14.50,0.00,Alphavantage
2017-06-09,18.47,18.47,18.47,18.47,0.00,Alphavantage
2017-06-08,14.24,14.24,14.24,14.24,0.00,Alphavantage
2017-06-07,18.44,18.44,18.44,18.44,0.00,Alphavantage
2017-06-06,14.41,14.41,14.41,14.41,0.00,Alphavantage
2017-06-05,14.36,14.36,14.36,14.36,0.00,Alphavantage
2017-06-02,14.56,14.56,14.56,14.56,0.00,Alphavantage
2017-06-01,18.74,18.74,18.74,18.74,0.00,Alphavantage
2017-05-31,14.45,14.45,14.45,14.45,0.00,Alphavantage
2017-05-30,18.60,18.60,18.60,18.60,0.00,Alphavantage
2017-05-26,14.56,14.56,14.56,14.56,0.00,Alphavantage
2017-05-25,18.66,18.66,18.66,18.66,0.00,Alphavantage
2017-05-23,18.76,18.76,18.76,18.76,0.00,Alphavantage
2017-05-22,18.77,18.77,18.77,18.77,0.00,Alphavantage
2017-05-19,14.46,14.46,14.46,14.46,0.00,Alphavantage
2017-05-18,14.46,14.46,14.46,14.46,0.00,Alphavantage
2017-05-17,14.52,14.52,14.52,14.52,0.00,Alphavantage
2017-05-16,18.81,18.81,18.81,18.71,5000.00,Alphavantage
2017-05-15,14.53,14.53,14.53,14.53,0.00,Alphavantage
2017-05-12,14.44,14.44,14.44,14.44,0.00,Alphavantage
2017-05-11,18.50,18.50,18.50,18.50,0.00,Alphavantage
2017-05-10,14.32,14.32,14.32,14.32,0.00,Alphavantage
2017-05-09,14.15,14.15,14.15,14.15,0.00,Alphavantage
2017-05-08,18.41,18.41,18.41,18.41,0.00,Alphavantage
2017-05-05,18.62,18.62,18.62,18.62,0.00,Alphavantage
2017-05-04,18.57,18.57,18.57,18.57,0.00,Alphavantage
2017-05-03,18.75,18.75,18.75,18.75,0.00,Alphavantage
2017-05-02,14.57,14.57,14.57,14.57,0.00,Alphavantage
2017-04-28,14.52,14.52,14.52,14.52,0.00,Alphavantage
2017-04-27,18.78,18.78,18.78,18.78,0.00,Alphavantage
2017-04-26,14.60,14.60,14.60,14.60,0.00,Alphavantage
