date,open,high,low,close,volume
2018-10-01,13502.0,13502.0,12206.0,12666.0,32873,null
2018-11-01,12614.0,12704.0,12348.0,12529.0,24605,null
2018-12-01,12788.0,12788.0,118.197998,120.129997,81941,null
2019-01-01,12025.0,12490.0,11978.0,12380.0,47276,null
2019-02-01,12472.0,12848.0,12412.0,12680.0,41194,null
2019-03-01,12802.0,13204.0,12662.0,13020.0,25585,null
2019-04-01,13084.0,13574.0,13084.0,13503.0,93054,null
2019-05-01,13538.0,13544.0,13008.0,13205.0,41604,null
2019-06-01,13162.0,13986.0,13162.0,14003.0,19822,null
2019-07-01,14124.0,14540.0,14074.0,14276.0,27200,null
2019-08-01,14332.0,14390.0,13616.0,13943.0,46194,null
2019-09-01,14112.0,14254.0,14014.0,14261.0,6187,null
2019-09-12,14254.0,14254.0,14254.0,14212.0,210,null
