date,open,high,low,close,volume
2018-10-01,14141.0,14209.200195,12870.0,13271.0,258,null
2018-11-01,13113.0,13227.0,12941.0,13153.0,732,null
2018-12-01,13411.0,13411.0,12396.0,12619.0,2124,null
2019-01-01,12619.0,12978.0,12512.0,12910.0,3820,null
2019-02-01,13052.0,13374.0,12892.0,13262.0,993,null
2019-03-01,13370.0,13804.0,13272.0,13576.0,500,null
2019-04-01,13627.0,14316.0,13627.0,14272.0,19586,null
2019-05-01,14298.0,14336.0,13656.0,13909.0,32268,null
2019-06-01,14039.0,14970.0,14039.0,14970.0,10,null
2019-07-01,15042.0,15320.0,15026.0,15182.0,4937,null
2019-08-01,15206.0,15206.0,14489.0,14861.0,988,null
2019-09-01,15011.0,15092.0,14894.0,15085.0,5078,null
2019-09-12,15170.0,15170.0,15170.0,15211.0,840,null
