date,open,high,low,close,volume
2009-11-12,51.11,51.11,51.11,50.48,100.00,Alphavantage
2009-11-13,30.46,30.46,30.46,30.46,0.00,Alphavantage
2009-11-16,30.50,30.50,30.50,30.50,0.00,Alphavantage
2009-11-17,50.84,50.84,50.84,50.61,330.00,Alphavantage
2009-11-19,50.42,50.42,50.42,50.42,0.00,Alphavantage
2009-11-20,50.33,50.33,50.33,50.33,0.00,Alphavantage
2009-11-23,51.03,51.03,51.03,51.03,0.00,Alphavantage
2009-11-25,51.06,51.06,51.06,51.06,0.00,Alphavantage
2009-11-26,50.35,50.35,50.35,50.35,0.00,Alphavantage
2009-11-30,50.05,50.05,50.05,50.05,0.00,Alphavantage
2009-12-04,50.21,50.21,50.21,50.21,0.00,Alphavantage
2009-12-08,49.34,49.34,49.34,49.34,0.00,Alphavantage
2009-12-09,49.65,49.65,49.65,49.30,3000.00,Alphavantage
2009-12-10,49.47,49.47,49.47,49.47,0.00,Alphavantage
2009-12-11,49.28,49.28,49.28,49.28,0.00,Alphavantage
2009-12-15,48.91,48.91,48.91,48.91,0.00,Alphavantage
2009-12-16,49.26,49.26,49.26,49.55,3009.00,Alphavantage
2009-12-17,48.47,48.47,48.47,48.47,0.00,Alphavantage
2009-12-18,48.64,48.64,48.64,48.64,0.00,Alphavantage
2009-12-21,49.26,48.70,48.70,48.51,855.00,Alphavantage
2009-12-22,48.42,48.42,48.42,48.41,352.00,Alphavantage
2009-12-23,48.86,48.86,48.86,48.86,0.00,Alphavantage
2009-12-24,49.05,49.05,49.05,49.12,500.00,Alphavantage
2009-12-29,49.38,49.38,49.38,49.03,635.00,Alphavantage
2009-12-31,49.48,49.48,49.48,49.50,292.00,Alphavantage
2010-01-04,50.07,50.07,50.07,49.89,325.00,Alphavantage
2010-01-06,49.99,49.99,49.99,50.10,876.00,Alphavantage
2010-01-08,50.10,50.10,50.10,50.02,340.00,Alphavantage
2010-01-11,50.77,50.77,50.71,50.72,795.00,Alphavantage
2010-01-12,50.24,50.24,50.24,50.55,270.00,Alphavantage
2010-01-13,50.38,50.38,50.38,50.38,0.00,Alphavantage
2010-01-18,30.82,30.82,30.82,30.82,0.00,Alphavantage
2010-01-20,49.31,49.31,49.31,49.31,0.00,Alphavantage
2010-01-22,49.08,49.08,49.08,49.20,400.00,Alphavantage
2010-01-25,30.18,30.18,30.18,30.18,0.00,Alphavantage
2010-01-26,48.73,48.73,48.73,48.73,0.00,Alphavantage
2010-01-27,48.63,48.63,48.63,48.63,0.00,Alphavantage
2010-01-28,48.34,48.34,48.34,48.34,0.00,Alphavantage
2010-01-29,48.07,48.07,48.07,48.07,0.00,Alphavantage
2010-02-01,30.45,30.45,30.45,30.45,0.00,Alphavantage
2010-02-02,48.74,48.74,48.74,48.74,0.00,Alphavantage
2010-02-03,48.61,48.61,48.61,48.61,0.00,Alphavantage
2010-02-04,48.03,48.03,48.03,47.78,300.00,Alphavantage
2010-02-05,30.35,30.35,30.35,30.35,0.00,Alphavantage
2010-02-08,30.61,30.61,30.61,30.61,0.00,Alphavantage
2010-02-09,47.88,47.88,47.88,48.06,3150.00,Alphavantage
2010-02-10,48.13,48.13,48.13,48.13,0.00,Alphavantage
2010-02-11,48.08,48.08,48.08,48.08,0.00,Alphavantage
2010-02-12,48.15,48.15,48.15,48.15,0.00,Alphavantage
2010-02-15,48.11,48.11,48.11,48.11,0.00,Alphavantage
2010-02-16,48.45,48.45,48.45,48.58,420.00,Alphavantage
2010-02-17,48.36,48.36,48.36,48.36,0.00,Alphavantage
2010-02-18,47.96,47.96,47.96,47.96,0.00,Alphavantage
2010-02-19,47.66,47.66,47.66,47.66,0.00,Alphavantage
2010-02-22,48.20,48.20,48.20,48.20,0.00,Alphavantage
2010-02-23,48.04,48.04,48.04,48.04,0.00,Alphavantage
2010-02-24,48.09,48.09,48.09,48.14,455.00,Alphavantage
2010-02-25,47.66,47.66,47.66,47.66,0.00,Alphavantage
2010-02-26,48.18,48.18,48.18,48.30,700.00,Alphavantage
2010-03-01,48.30,48.30,48.30,47.87,2992.00,Alphavantage
2010-03-02,47.72,47.72,47.69,47.92,2880.00,Alphavantage
2010-03-03,48.03,48.51,48.02,48.54,3914.00,Alphavantage
2010-03-04,48.43,48.43,48.43,47.97,1140.00,Alphavantage
2010-03-05,48.38,48.38,48.38,48.38,0.00,Alphavantage
2010-03-08,48.31,48.31,48.31,48.31,0.00,Alphavantage
2010-03-09,48.18,48.19,48.18,48.16,1264.00,Alphavantage
2010-03-10,48.11,48.60,48.11,48.61,1720.00,Alphavantage
2010-03-11,48.57,48.57,48.57,48.57,0.00,Alphavantage
2010-03-12,48.89,48.89,48.89,48.89,0.00,Alphavantage
2010-03-15,48.72,48.74,48.55,48.60,9390.00,Alphavantage
2010-03-16,48.94,48.94,48.94,48.94,0.00,Alphavantage
2010-03-17,49.11,49.11,49.11,49.11,0.00,Alphavantage
2010-03-18,48.80,48.80,48.80,48.55,31.00,Alphavantage
2010-03-19,48.58,48.58,48.55,48.35,11027.00,Alphavantage
2010-03-22,48.03,48.03,48.03,48.03,0.00,Alphavantage
2010-03-23,48.03,48.03,48.03,48.03,0.00,Alphavantage
2010-03-24,47.31,47.31,47.31,47.31,0.00,Alphavantage
2010-03-25,47.05,47.05,47.05,47.05,0.00,Alphavantage
2010-03-26,47.23,47.23,47.23,47.23,0.00,Alphavantage
2010-03-29,47.62,47.62,47.62,47.67,335.00,Alphavantage
2010-03-30,47.59,47.59,47.59,47.59,0.00,Alphavantage
2010-03-31,47.84,47.84,47.84,48.01,164.00,Alphavantage
2010-04-01,48.21,48.21,48.21,48.21,0.00,Alphavantage
2010-04-06,47.66,47.66,47.66,47.67,300.00,Alphavantage
2010-04-07,47.75,47.75,47.75,47.75,0.00,Alphavantage
2010-04-08,47.86,47.86,47.86,47.86,0.00,Alphavantage
2010-04-09,48.29,48.29,48.29,48.29,0.00,Alphavantage
2010-04-12,48.43,48.43,48.43,48.43,0.00,Alphavantage
2010-04-13,48.48,48.48,48.48,48.48,0.00,Alphavantage
2010-04-14,48.78,48.78,48.78,48.78,0.00,Alphavantage
2010-04-15,48.54,48.54,48.54,48.66,6000.00,Alphavantage
2010-04-16,48.38,48.38,48.38,48.38,0.00,Alphavantage
2010-04-19,48.14,48.14,48.14,48.14,0.00,Alphavantage
2010-04-20,48.33,48.33,48.33,48.33,0.00,Alphavantage
2010-04-21,48.27,48.27,48.27,48.27,0.00,Alphavantage
2010-04-22,48.01,48.01,48.01,48.01,0.00,Alphavantage
2010-04-23,48.33,48.33,48.33,48.33,0.00,Alphavantage
2010-04-26,48.56,48.56,48.56,48.56,0.00,Alphavantage
2010-04-27,48.23,48.23,48.23,48.23,0.00,Alphavantage
2010-04-28,47.89,47.89,47.89,47.72,1000.00,Alphavantage
2010-04-29,48.19,48.19,48.19,48.19,0.00,Alphavantage
2010-04-30,48.34,48.34,48.34,48.34,0.00,Alphavantage
2010-05-04,47.45,47.45,47.45,47.45,0.00,Alphavantage
2010-05-05,47.16,47.16,47.16,47.16,0.00,Alphavantage
2010-05-06,46.26,46.26,46.26,46.26,0.00,Alphavantage
2010-05-07,45.47,45.47,45.47,45.47,0.00,Alphavantage
2010-05-10,46.59,46.59,46.59,46.59,0.00,Alphavantage
2010-05-11,46.33,46.33,46.33,46.33,0.00,Alphavantage
2010-05-12,46.35,46.35,46.35,46.35,0.00,Alphavantage
2010-05-13,46.28,46.28,46.28,46.28,0.00,Alphavantage
2010-05-14,45.80,45.80,45.80,45.80,0.00,Alphavantage
2010-05-17,45.59,45.59,45.59,45.60,200.00,Alphavantage
2010-05-18,45.49,45.49,45.49,45.49,0.00,Alphavantage
2010-05-19,44.43,44.43,44.43,44.43,0.00,Alphavantage
2010-05-20,43.73,43.73,43.73,43.73,0.00,Alphavantage
2010-05-21,44.24,44.24,44.24,44.24,0.00,Alphavantage
2010-05-24,44.05,44.05,44.05,44.05,0.00,Alphavantage
2010-05-25,43.02,43.02,43.02,43.02,0.00,Alphavantage
2010-05-26,43.62,43.62,43.62,43.62,0.00,Alphavantage
2010-05-27,44.19,44.19,44.19,44.19,0.00,Alphavantage
2010-05-28,44.60,44.60,44.60,44.09,442.00,Alphavantage
2010-06-01,44.39,44.39,44.39,44.39,0.00,Alphavantage
2010-06-02,44.11,44.11,44.11,43.86,100.00,Alphavantage
2010-06-03,44.15,44.15,44.15,44.15,0.00,Alphavantage
2010-06-04,43.37,43.37,43.37,43.37,0.00,Alphavantage
2010-06-07,42.72,42.72,42.72,42.72,0.00,Alphavantage
2010-06-08,42.80,42.80,42.80,42.80,0.00,Alphavantage
2010-06-09,43.54,43.54,43.54,43.54,0.00,Alphavantage
2010-06-10,43.67,43.67,43.67,43.97,200.00,Alphavantage
2010-06-11,44.15,44.15,44.15,44.00,350.00,Alphavantage
2010-06-14,44.77,44.77,44.77,44.77,0.00,Alphavantage
2010-06-15,44.85,44.85,44.85,44.85,0.00,Alphavantage
2010-06-16,44.49,44.49,44.49,44.66,100.00,Alphavantage
2010-06-17,44.83,44.83,44.83,44.83,0.00,Alphavantage
2010-06-18,44.75,44.75,44.75,44.75,0.00,Alphavantage
2010-06-21,44.95,44.95,44.95,44.95,0.00,Alphavantage
2010-06-22,44.26,44.26,44.26,44.26,0.00,Alphavantage
2010-06-23,43.77,43.77,43.77,43.77,0.00,Alphavantage
2010-06-24,43.98,43.98,43.98,43.98,0.00,Alphavantage
2010-06-25,44.13,44.13,44.13,44.13,0.00,Alphavantage
2010-06-28,44.53,44.53,44.53,44.53,0.00,Alphavantage
2010-06-29,44.01,44.01,44.01,44.01,0.00,Alphavantage
2010-06-30,44.05,44.05,44.05,44.05,0.00,Alphavantage
