date,open,high,low,close,volume
2018-10-01,1149.800049,1152.199951,1059.199951,1099.0,82009,null
2018-11-01,1098.199951,1102.400024,1071.400024,1076.300049,48086,null
2018-12-01,1091.0,1091.0,1010.799988,1022.799988,63050,null
2019-01-01,1022.799988,1069.0,1014.0,1063.599976,86868,null
2019-02-01,1068.199951,1105.599976,1064.0,1087.300049,40460,null
2019-03-01,1092.400024,1114.400024,1082.199951,1094.900024,131923,null
2019-04-01,1104.599976,1137.400024,1101.400024,1118.199951,34644,null
2019-05-01,1113.199951,1117.0,1067.0,1068.199951,118272,null
2019-06-01,1065.579956,1108.599976,1065.579956,1089.400024,32775,null
2019-07-01,1100.0,1124.719971,1096.160034,1111.699951,85844,null
2019-08-01,1109.0,1109.0,1029.0,1050.300049,167186,null
2019-09-01,1065.140015,1093.369995,1058.800049,1086.800049,16373,null
2019-09-13,1097.599976,1097.599976,1097.599976,1098.599976,3963,null
