date,open,high,low,close,volume
2009-11-26,50.32,50.32,50.32,50.24,2000.00,Alphavantage
2009-11-27,30.55,30.55,30.55,30.55,0.00,Alphavantage
2009-11-30,49.90,49.90,49.90,50.14,4200.00,Alphavantage
2009-12-01,49.52,49.55,49.52,49.45,20000.00,Alphavantage
2009-12-02,49.36,49.36,49.36,49.36,0.00,Alphavantage
2009-12-03,29.71,29.71,29.71,29.71,0.00,Alphavantage
2009-12-04,49.91,49.91,49.91,49.91,0.00,Alphavantage
2009-12-09,50.30,50.30,50.30,50.30,0.00,Alphavantage
2009-12-11,50.12,50.12,50.12,50.12,0.00,Alphavantage
2009-12-15,50.31,50.31,50.31,50.31,0.00,Alphavantage
2009-12-16,50.70,50.70,50.70,50.70,0.00,Alphavantage
2009-12-17,51.38,51.38,51.38,51.38,0.00,Alphavantage
2009-12-21,49.49,51.60,51.55,51.63,1249.00,Alphavantage
2009-12-23,51.79,51.79,51.79,51.79,0.00,Alphavantage
2009-12-24,51.50,51.50,51.50,51.46,240.00,Alphavantage
2009-12-30,50.89,50.89,50.89,50.89,0.00,Alphavantage
2009-12-31,50.57,50.57,50.57,50.56,5000.00,Alphavantage
2010-01-05,49.76,49.76,49.76,49.78,3000.00,Alphavantage
2010-01-06,49.43,49.43,49.43,49.43,0.00,Alphavantage
2010-01-07,49.49,49.49,49.49,49.45,333.00,Alphavantage
2010-01-08,49.33,49.33,49.33,49.33,0.00,Alphavantage
2010-01-11,48.79,48.79,48.67,48.84,8200.00,Alphavantage
2010-01-12,49.22,49.22,49.03,49.05,28576.00,Alphavantage
2010-01-13,49.14,49.27,49.12,49.23,13000.00,Alphavantage
2010-01-15,49.14,49.14,49.14,49.14,300.00,Alphavantage
2010-01-18,48.96,48.96,48.96,48.96,0.00,Alphavantage
2010-01-20,49.72,49.72,49.72,49.89,22000.00,Alphavantage
2010-01-21,49.70,49.70,49.70,50.07,8000.00,Alphavantage
2010-01-22,49.97,49.97,49.97,49.97,0.00,Alphavantage
2010-01-25,50.17,50.17,50.17,50.17,0.00,Alphavantage
2010-01-28,50.60,50.60,50.60,50.60,0.00,Alphavantage
2010-01-29,50.98,50.98,50.98,50.98,0.00,Alphavantage
2010-02-01,50.93,50.93,50.93,50.93,0.00,Alphavantage
2010-02-02,51.19,51.19,51.19,51.19,0.00,Alphavantage
2010-02-03,51.21,51.21,51.21,51.21,0.00,Alphavantage
2010-02-04,51.42,51.42,51.41,52.12,225.00,Alphavantage
2010-02-05,52.35,52.35,52.31,52.37,3149.00,Alphavantage
2010-02-08,52.04,52.04,51.91,51.98,111347.00,Alphavantage
2010-02-09,51.67,51.67,51.67,51.67,0.00,Alphavantage
2010-02-10,51.72,51.72,51.72,51.72,0.00,Alphavantage
2010-02-11,50.87,50.87,50.87,50.87,0.00,Alphavantage
2010-02-12,51.42,51.42,51.42,51.14,90.00,Alphavantage
2010-02-15,50.74,50.74,50.74,50.74,0.00,Alphavantage
2010-02-16,50.22,50.22,50.22,50.16,155.00,Alphavantage
2010-02-17,50.01,50.01,50.01,50.21,30.00,Alphavantage
2010-02-18,50.17,50.17,50.17,50.17,0.00,Alphavantage
2010-02-19,50.38,50.38,50.38,50.38,0.00,Alphavantage
2010-02-22,50.16,50.16,50.16,50.16,0.00,Alphavantage
2010-02-23,49.78,50.43,49.78,50.45,4535.00,Alphavantage
2010-02-24,50.45,50.45,50.45,50.45,0.00,Alphavantage
2010-02-25,51.14,51.14,51.14,51.14,0.00,Alphavantage
2010-02-26,50.26,50.26,50.26,50.26,0.00,Alphavantage
2010-03-01,50.06,50.06,50.06,50.06,0.00,Alphavantage
2010-03-02,49.85,49.85,49.85,49.85,0.00,Alphavantage
2010-03-03,49.80,49.80,49.80,49.60,200.00,Alphavantage
2010-03-04,50.08,50.08,50.08,50.08,0.00,Alphavantage
2010-03-05,49.61,49.61,49.61,49.61,0.00,Alphavantage
2010-03-08,49.52,49.52,49.52,49.52,0.00,Alphavantage
2010-03-09,49.63,49.63,49.63,49.32,1000.00,Alphavantage
2010-03-10,49.02,49.02,49.02,49.02,0.00,Alphavantage
2010-03-11,49.13,49.13,49.13,49.13,0.00,Alphavantage
2010-03-12,49.06,49.06,49.06,49.06,0.00,Alphavantage
2010-03-15,49.31,49.31,49.31,49.31,0.00,Alphavantage
2010-03-16,49.09,49.09,49.09,49.13,1059.00,Alphavantage
2010-03-17,48.67,48.67,48.67,48.67,0.00,Alphavantage
2010-03-18,48.81,48.81,48.81,48.81,0.00,Alphavantage
2010-03-19,49.06,49.06,49.06,49.06,0.00,Alphavantage
2010-03-22,49.34,49.34,49.34,49.00,151.00,Alphavantage
2010-03-23,48.92,48.92,48.92,48.92,0.00,Alphavantage
2010-03-24,49.25,49.31,49.25,49.42,15535.00,Alphavantage
2010-03-25,49.20,49.20,49.20,49.17,2993.00,Alphavantage
2010-03-26,49.41,49.66,49.41,49.70,1689.00,Alphavantage
2010-03-29,49.00,49.00,49.00,49.00,0.00,Alphavantage
2010-03-30,48.85,48.85,48.85,48.85,0.00,Alphavantage
2010-03-31,48.83,48.83,48.83,48.95,513.00,Alphavantage
2010-04-01,48.73,48.73,48.73,48.64,135.00,Alphavantage
2010-04-06,48.40,48.40,48.40,48.40,0.00,Alphavantage
2010-04-07,48.26,48.36,48.24,48.30,2621.00,Alphavantage
2010-04-08,48.35,48.35,48.35,48.35,0.00,Alphavantage
2010-04-09,48.09,48.09,48.09,47.95,130.00,Alphavantage
2010-04-12,48.19,48.19,48.19,48.19,0.00,Alphavantage
2010-04-13,48.25,48.35,48.25,48.30,1676.00,Alphavantage
2010-04-14,47.84,47.84,47.84,47.84,0.00,Alphavantage
2010-04-15,47.94,47.94,47.94,47.94,0.00,Alphavantage
2010-04-16,48.29,48.29,48.29,48.29,0.00,Alphavantage
2010-04-19,48.64,48.64,48.64,48.64,0.00,Alphavantage
2010-04-20,48.04,48.04,48.04,48.04,0.00,Alphavantage
2010-04-21,47.89,48.01,47.87,48.25,7100.00,Alphavantage
2010-04-22,48.38,48.38,48.08,48.34,1590.00,Alphavantage
2010-04-23,48.37,48.37,48.37,48.43,3200.00,Alphavantage
2010-04-26,48.03,48.03,48.02,48.14,755.00,Alphavantage
2010-04-27,48.43,48.43,48.41,48.54,1200.00,Alphavantage
2010-04-28,48.63,48.63,48.44,48.44,8667.00,Alphavantage
2010-04-29,48.16,48.16,48.16,48.16,0.00,Alphavantage
2010-04-30,47.99,47.99,47.99,47.95,1079.00,Alphavantage
2010-05-04,49.05,49.05,48.64,48.98,11686.00,Alphavantage
2010-05-05,49.05,49.05,49.05,49.22,500.00,Alphavantage
2010-05-06,49.68,49.68,49.68,49.68,312.00,Alphavantage
2010-05-07,50.19,50.13,50.01,50.30,0.00,Alphavantage
2010-05-10,49.25,49.25,49.25,49.48,52.00,Alphavantage
2010-05-11,49.61,49.61,49.61,49.61,0.00,Alphavantage
2010-05-12,49.93,49.93,49.93,49.90,6100.00,Alphavantage
2010-05-13,49.56,49.56,49.56,49.34,74.00,Alphavantage
2010-05-14,49.98,49.98,49.90,50.11,165.00,Alphavantage
2010-05-17,50.60,50.60,50.60,50.77,165.00,Alphavantage
2010-05-18,50.87,50.87,50.76,50.83,159989.00,Alphavantage
2010-05-19,52.25,52.77,52.25,52.92,2405.00,Alphavantage
2010-05-20,53.30,54.29,53.30,53.74,193685.00,Alphavantage
2010-05-21,53.52,53.52,53.32,53.49,2042.00,Alphavantage
2010-05-24,53.15,53.15,53.04,53.26,1168.00,Alphavantage
2010-05-25,54.40,54.74,54.30,54.31,2299.00,Alphavantage
2010-05-26,53.21,53.21,53.15,53.36,31042.00,Alphavantage
2010-05-27,52.98,52.99,52.30,52.27,682221.00,Alphavantage
2010-05-28,52.19,52.19,52.19,52.19,0.00,Alphavantage
2010-06-01,52.66,53.12,52.66,52.58,654.00,Alphavantage
2010-06-02,53.20,53.20,53.17,52.96,278.00,Alphavantage
2010-06-03,52.07,52.07,52.07,52.41,287.00,Alphavantage
2010-06-04,53.45,53.45,53.20,53.39,500.00,Alphavantage
2010-06-07,54.13,54.25,53.88,54.06,1268.00,Alphavantage
2010-06-08,53.78,53.78,53.78,53.78,0.00,Alphavantage
2010-06-09,53.58,53.58,52.98,52.83,9408.00,Alphavantage
2010-06-10,51.99,51.99,51.99,51.99,0.00,Alphavantage
2010-06-11,51.94,51.94,51.94,51.93,125.00,Alphavantage
2010-06-14,51.31,51.31,50.77,50.82,357067.00,Alphavantage
2010-06-15,51.47,51.56,51.02,51.17,31162.00,Alphavantage
2010-06-16,50.92,50.92,50.91,50.83,495.00,Alphavantage
2010-06-17,50.71,50.71,50.71,50.88,1000.00,Alphavantage
2010-06-18,50.49,50.49,50.49,50.55,259.00,Alphavantage
2010-06-21,49.78,49.78,49.78,49.78,9785.00,Alphavantage
2010-06-22,50.07,50.13,50.07,49.93,8880.00,Alphavantage
2010-06-23,50.43,50.43,50.43,50.55,11670.00,Alphavantage
2010-06-24,50.77,50.77,50.77,50.65,1000.00,Alphavantage
2010-06-25,50.61,50.61,50.61,50.61,0.00,Alphavantage
2010-06-28,50.18,50.18,50.18,50.18,0.00,Alphavantage
2010-06-29,51.31,51.31,51.31,51.43,368350.00,Alphavantage
2010-06-30,51.31,51.31,51.31,51.74,3500.00,Alphavantage
2010-07-01,52.29,52.29,52.29,52.29,0.00,Alphavantage
2010-07-02,51.75,51.75,51.75,51.89,53.00,Alphavantage
2010-07-05,52.26,52.26,52.26,52.26,0.00,Alphavantage
2010-07-06,51.55,51.55,51.34,51.24,3366.00,Alphavantage
2010-07-07,51.01,51.01,51.01,51.01,0.00,Alphavantage
2010-07-08,50.15,50.15,50.15,50.15,0.00,Alphavantage
2010-07-09,49.96,49.96,49.96,49.96,0.00,Alphavantage
2010-07-12,50.09,50.09,50.09,50.07,68.00,Alphavantage
2010-07-13,50.01,50.05,50.01,49.53,31885.00,Alphavantage
2010-07-14,49.50,49.50,49.50,49.32,500.00,Alphavantage
2010-07-15,49.70,49.70,49.70,49.70,0.00,Alphavantage
2010-07-16,50.09,50.09,50.09,50.14,80.00,Alphavantage
2010-07-19,50.30,50.30,50.26,50.26,3991.00,Alphavantage
2010-07-20,49.64,49.64,49.64,49.64,0.00,Alphavantage
2010-07-21,49.54,49.54,49.54,49.54,0.00,Alphavantage
2010-07-22,48.84,48.84,48.84,48.84,0.00,Alphavantage
2010-07-23,48.83,48.83,48.83,48.77,368350.00,Alphavantage
2010-07-26,48.46,48.46,48.46,48.46,0.00,Alphavantage
2010-07-27,48.33,48.33,48.33,48.33,0.00,Alphavantage
2010-07-28,48.65,48.65,48.65,48.80,52.00,Alphavantage
2010-07-29,48.46,48.46,48.46,48.46,0.00,Alphavantage
2010-07-30,48.15,48.15,48.15,48.15,0.00,Alphavantage
2010-08-02,47.80,47.80,47.69,47.61,32896.00,Alphavantage
2010-08-03,47.61,47.61,47.61,47.61,0.00,Alphavantage
2010-08-04,47.53,47.53,47.53,47.53,0.00,Alphavantage
2010-08-05,47.62,47.62,47.62,47.65,100.00,Alphavantage
2010-08-06,47.57,47.57,47.57,47.47,80.00,Alphavantage
2010-08-09,47.44,47.44,47.44,47.44,0.00,Alphavantage
2010-08-10,47.83,47.83,47.83,47.83,0.00,Alphavantage
2010-08-11,48.14,48.14,48.09,48.29,200.00,Alphavantage
2010-08-12,48.46,48.46,48.46,48.46,0.00,Alphavantage
2010-08-13,48.37,48.37,48.34,48.54,1103.00,Alphavantage
2010-08-16,48.51,48.51,48.51,48.41,465.00,Alphavantage
2010-08-17,48.51,48.51,48.51,47.93,0.00,Alphavantage
2010-08-18,48.51,48.51,48.51,48.28,0.00,Alphavantage
2010-08-19,48.51,48.51,48.51,48.47,0.00,Alphavantage
2010-08-20,48.51,48.51,48.51,48.84,0.00,Alphavantage
2010-08-23,48.51,48.51,48.51,48.56,0.00,Alphavantage
2010-08-24,48.82,49.16,48.82,48.95,625.00,Alphavantage
2010-08-25,48.82,49.16,48.82,49.27,0.00,Alphavantage
2010-08-26,48.82,49.16,48.82,48.82,0.00,Alphavantage
2010-08-27,48.82,49.16,48.82,48.28,0.00,Alphavantage
2010-08-31,48.69,48.69,48.69,48.62,22.00,Alphavantage
2010-09-01,48.69,48.69,48.69,47.60,0.00,Alphavantage
2010-09-02,47.49,47.49,47.49,47.53,22.00,Alphavantage
2010-09-03,47.49,47.49,47.49,47.28,0.00,Alphavantage
2010-09-06,47.21,47.21,47.21,47.21,0.00,Alphavantage
2010-09-07,47.33,47.33,47.33,47.33,0.00,Alphavantage
2010-09-08,47.33,47.33,47.33,47.05,0.00,Alphavantage
2010-09-09,46.65,46.65,46.65,46.65,0.00,Alphavantage
2010-09-10,46.67,46.67,46.67,46.67,0.00,Alphavantage
2010-09-13,46.33,46.33,46.32,46.20,1066.00,Alphavantage
2010-09-14,46.31,46.31,46.31,45.85,10.00,Alphavantage
2010-09-15,45.96,45.96,45.96,45.96,0.00,Alphavantage
