date,open,high,low,close,volume
2019-09-20,3758.00,3758.00,3758.00,3758.00,0.00,Alphavantage
2019-09-19,3758.00,3758.00,3758.00,3758.00,0.00,Alphavantage
2019-09-18,3758.00,3758.00,3758.00,3758.00,0.00,Alphavantage
2019-09-17,3758.00,3758.00,3758.00,3758.00,0.00,Alphavantage
2019-07-26,3748.00,3748.00,3748.00,3748.00,0.00,Alphavantage
2019-05-15,3633.00,3633.00,3633.00,3633.00,0.00,Alphavantage
2019-05-14,3620.50,3620.50,3620.50,3620.50,0.00,Alphavantage
2019-05-13,3599.50,3599.50,3599.50,3599.50,0.00,Alphavantage
2019-05-10,3595.50,3595.50,3595.50,3595.50,0.00,Alphavantage
2019-05-09,3603.50,3603.50,3603.50,3603.50,0.00,Alphavantage
2019-05-08,3623.00,3623.00,3623.00,3623.00,0.00,Alphavantage
2019-05-07,3627.00,3627.00,3627.00,3627.00,0.00,Alphavantage
2019-05-03,3581.00,3581.00,3581.00,3581.00,0.00,Alphavantage
2019-05-02,3618.50,3618.50,3618.50,3618.50,0.00,Alphavantage
2019-05-01,3585.50,3585.50,3585.50,3585.50,0.00,Alphavantage
2019-04-30,3622.00,3622.00,3622.00,3622.00,0.00,Alphavantage
2019-04-29,3651.00,3651.00,3651.00,3651.00,0.00,Alphavantage
2019-04-26,3643.00,3643.00,3643.00,3643.00,0.00,Alphavantage
2019-04-25,3655.00,3655.00,3655.00,3655.00,0.00,Alphavantage
2019-04-24,3636.00,3636.00,3636.00,3636.00,0.00,Alphavantage
2019-04-23,3653.00,3653.00,3653.00,3653.00,0.00,Alphavantage
2019-04-18,3602.50,3602.50,3602.50,3602.50,0.00,Alphavantage
2019-04-17,3574.00,3574.00,3574.00,3574.00,0.00,Alphavantage
2019-04-16,3561.50,3561.50,3561.50,3561.50,0.00,Alphavantage
2019-04-15,3536.50,3536.50,3536.50,3536.50,0.00,Alphavantage
2019-04-12,3526.00,3526.00,3526.00,3526.00,0.00,Alphavantage
2019-04-11,3543.00,3543.00,3543.00,3543.00,0.00,Alphavantage
2019-04-10,3536.50,3536.50,3536.50,3536.50,0.00,Alphavantage
2019-04-09,3537.00,3537.00,3537.00,3537.00,0.00,Alphavantage
