date,open,high,low,close,volume
2008-08-12,99.52,99.52,99.52,99.66,50.00,Alphavantage
2008-08-13,127.38,127.38,127.38,127.38,0.00,Alphavantage
2008-08-14,101.55,101.55,101.55,101.20,100.00,Alphavantage
2008-08-15,127.62,127.62,127.62,127.65,24.00,Alphavantage
2008-08-18,127.70,127.70,127.70,127.70,0.00,Alphavantage
2008-08-19,127.49,127.49,127.49,127.49,0.00,Alphavantage
2008-08-20,127.59,127.59,127.59,127.59,0.00,Alphavantage
2008-08-21,127.33,127.33,127.33,127.33,0.00,Alphavantage
2008-08-22,127.05,127.05,127.05,127.05,0.00,Alphavantage
2008-08-26,127.57,127.57,127.57,127.57,0.00,Alphavantage
2008-08-27,127.19,127.19,127.19,127.19,0.00,Alphavantage
2008-08-28,127.18,127.18,127.18,127.18,0.00,Alphavantage
2008-08-29,127.23,127.23,127.23,127.23,0.00,Alphavantage
2008-09-02,103.51,103.51,103.51,103.70,74.00,Alphavantage
2008-09-03,103.87,103.87,103.87,103.72,87.00,Alphavantage
2008-09-04,127.71,127.71,127.71,127.71,0.00,Alphavantage
2008-09-05,103.45,103.45,103.45,103.23,562.00,Alphavantage
2008-09-08,127.84,127.84,127.84,127.84,0.00,Alphavantage
2008-09-09,127.74,127.74,127.74,127.74,0.00,Alphavantage
2008-09-10,127.50,127.75,127.50,127.50,0.00,Alphavantage
2008-09-11,127.28,127.28,127.28,127.28,0.00,Alphavantage
2008-09-12,126.74,126.99,126.74,126.74,0.00,Alphavantage
2008-09-15,127.03,127.03,127.03,127.03,0.00,Alphavantage
2008-09-16,130.75,130.75,130.75,130.75,0.00,Alphavantage
2008-09-17,130.00,130.00,130.00,130.00,0.00,Alphavantage
2008-09-18,130.00,130.00,130.00,130.00,0.00,Alphavantage
2008-09-19,125.50,125.50,125.50,125.50,0.00,Alphavantage
2008-09-22,100.16,100.16,100.16,98.88,520.00,Alphavantage
2008-09-23,100.25,101.75,100.19,99.63,619.00,Alphavantage
2008-09-24,125.52,125.52,125.52,125.52,0.00,Alphavantage
2008-09-25,99.82,99.82,99.82,100.28,448.00,Alphavantage
2008-09-26,126.34,126.34,126.26,126.53,0.00,Alphavantage
2008-09-29,127.36,127.36,127.36,127.36,0.00,Alphavantage
2008-09-30,100.50,100.50,100.20,101.50,2050.00,Alphavantage
2008-10-01,100.54,100.54,100.54,100.42,2030.00,Alphavantage
2008-10-02,100.14,100.14,100.14,100.10,2030.00,Alphavantage
2008-10-03,127.63,127.63,127.63,127.63,0.00,Alphavantage
2008-10-06,99.20,100.15,99.20,99.76,1309.00,Alphavantage
2008-10-07,128.21,128.21,128.21,128.24,424.00,Alphavantage
2008-10-08,128.09,128.09,128.09,128.09,0.00,Alphavantage
2008-10-09,100.55,100.70,100.55,101.12,5294.00,Alphavantage
2008-10-10,127.24,127.24,127.24,127.24,0.00,Alphavantage
2008-10-13,126.95,126.95,126.95,126.95,0.00,Alphavantage
2008-10-14,126.84,126.84,126.84,126.84,0.00,Alphavantage
2008-10-15,98.55,98.71,98.71,98.84,7701.00,Alphavantage
2008-10-16,127.66,127.66,127.66,127.66,0.00,Alphavantage
2008-10-17,127.66,127.66,127.66,127.66,0.00,Alphavantage
2008-10-20,127.75,127.75,127.75,127.75,0.00,Alphavantage
2008-10-21,127.97,127.97,127.97,127.97,0.00,Alphavantage
2008-10-22,101.41,101.50,101.41,102.07,153.00,Alphavantage
2008-10-23,129.11,129.11,129.11,128.98,2524.00,Alphavantage
2008-10-24,129.08,129.08,129.08,129.08,0.00,Alphavantage
2008-10-27,103.98,103.98,103.98,103.79,2560.00,Alphavantage
2008-10-28,129.24,129.24,129.24,129.24,0.00,Alphavantage
2008-10-29,129.31,129.31,129.31,129.31,0.00,Alphavantage
2008-10-30,101.27,101.27,101.27,102.25,120.00,Alphavantage
2008-10-31,128.86,128.86,128.86,128.86,0.00,Alphavantage
2008-11-03,129.05,129.05,129.05,129.05,0.00,Alphavantage
2008-11-04,129.06,129.06,129.06,129.06,0.00,Alphavantage
2008-11-05,129.26,129.26,129.26,129.26,0.00,Alphavantage
2008-11-06,105.26,105.27,105.26,104.25,948.00,Alphavantage
2008-11-07,104.73,105.54,104.73,105.54,7500.00,Alphavantage
2008-11-10,106.70,106.70,106.70,106.10,2546.00,Alphavantage
2008-11-11,106.90,106.90,106.90,106.14,2550.00,Alphavantage
2008-11-12,106.75,108.74,106.75,109.34,5188.00,Alphavantage
2008-11-13,110.37,110.37,110.37,110.26,5192.00,Alphavantage
2008-11-14,112.24,112.24,112.24,111.32,5150.00,Alphavantage
2008-11-17,131.00,131.00,131.00,130.19,7385.00,Alphavantage
2008-11-18,130.02,130.02,130.02,130.02,0.00,Alphavantage
2008-11-19,109.90,109.92,109.90,109.01,420.00,Alphavantage
2008-11-20,131.08,131.08,131.08,131.08,0.00,Alphavantage
2008-11-21,109.90,109.92,109.90,111.03,0.00,Alphavantage
2008-11-24,111.22,111.40,111.22,109.75,305.00,Alphavantage
2008-11-25,131.11,131.11,131.11,131.11,0.00,Alphavantage
2008-11-26,111.56,111.56,110.94,110.95,3309.00,Alphavantage
2008-11-28,129.25,129.25,129.25,129.25,0.00,Alphavantage
2008-12-01,111.74,111.74,111.74,112.21,203.00,Alphavantage
2008-12-02,132.60,132.60,132.60,132.60,0.00,Alphavantage
2008-12-03,114.44,114.44,114.34,112.26,153.00,Alphavantage
2008-12-04,132.31,132.31,132.31,132.31,0.00,Alphavantage
2008-12-05,114.56,114.56,114.56,115.26,230.00,Alphavantage
2008-12-08,113.94,114.60,113.94,115.00,223.00,Alphavantage
2008-12-09,131.30,131.30,131.30,131.30,0.00,Alphavantage
2008-12-10,115.88,115.97,115.88,115.15,294.00,Alphavantage
2008-12-11,130.85,132.16,130.85,130.85,0.00,Alphavantage
2008-12-12,131.08,131.08,131.08,131.08,0.00,Alphavantage
2008-12-15,118.47,118.63,117.36,117.29,396.00,Alphavantage
2008-12-16,117.90,118.47,117.90,116.00,400.00,Alphavantage
2008-12-17,122.69,123.02,122.69,123.09,420.00,Alphavantage
2008-12-18,125.01,125.55,125.01,125.56,595.00,Alphavantage
2008-12-19,124.51,124.51,123.51,123.53,184.00,Alphavantage
2008-12-22,125.49,125.63,125.49,130.00,185.00,Alphavantage
2008-12-23,130.10,130.10,130.10,130.10,0.00,Alphavantage
2008-12-24,125.92,125.92,124.20,124.21,4364.00,Alphavantage
2008-12-29,127.35,129.60,127.30,125.39,13391.00,Alphavantage
2008-12-30,130.84,132.48,130.84,130.84,0.00,Alphavantage
2008-12-31,131.87,131.87,131.18,131.87,0.00,Alphavantage
2009-01-02,127.78,127.78,127.78,127.03,6404.00,Alphavantage
2009-01-05,123.75,126.61,123.75,122.93,166.00,Alphavantage
2009-01-06,120.14,120.14,120.10,119.34,75.00,Alphavantage
2009-01-07,120.80,120.80,120.80,118.39,88.00,Alphavantage
2009-01-08,118.60,118.60,118.60,119.83,102.00,Alphavantage
2009-01-09,132.57,132.57,132.02,132.69,19000.00,Alphavantage
2009-01-12,118.10,118.93,117.70,119.03,442.00,Alphavantage
2009-01-13,120.92,120.92,120.87,120.29,251.00,Alphavantage
2009-01-14,120.23,120.23,120.23,119.71,192.00,Alphavantage
2009-01-15,133.09,133.09,133.09,132.58,400.00,Alphavantage
2009-01-16,132.71,132.71,132.71,132.71,0.00,Alphavantage
2009-01-20,123.81,123.88,123.00,122.70,247.00,Alphavantage
2009-01-21,124.86,124.86,124.86,124.49,168.00,Alphavantage
2009-01-22,132.46,132.46,132.46,132.46,0.00,Alphavantage
2009-01-23,125.51,125.51,125.51,120.85,153.00,Alphavantage
2009-01-26,123.22,124.82,123.22,124.05,213.00,Alphavantage
2009-01-27,123.52,123.52,123.52,122.38,2640.00,Alphavantage
2009-01-28,132.26,132.26,132.26,132.26,0.00,Alphavantage
2009-01-29,121.18,121.18,121.18,120.24,177.00,Alphavantage
2009-01-30,118.95,118.95,118.68,117.03,238.00,Alphavantage
2009-02-02,117.88,117.88,117.88,119.13,193.00,Alphavantage
2009-02-03,119.09,119.09,119.09,118.81,198.00,Alphavantage
2009-02-04,125.58,125.58,125.58,125.58,0.00,Alphavantage
2009-02-05,115.72,115.78,115.41,115.41,640.00,Alphavantage
2009-02-06,131.47,131.47,131.47,131.47,0.00,Alphavantage
2009-02-09,115.16,115.16,114.98,115.08,182.00,Alphavantage
2009-02-10,131.78,131.78,131.78,131.78,0.00,Alphavantage
2009-02-11,118.60,118.60,118.60,118.98,167.00,Alphavantage
2009-02-12,120.01,120.10,119.93,119.59,812.00,Alphavantage
2009-02-17,133.02,133.02,133.02,133.02,0.00,Alphavantage
2009-02-18,120.01,120.10,119.93,116.97,0.00,Alphavantage
2009-02-19,116.69,116.78,116.69,117.31,350.00,Alphavantage
2009-02-20,117.46,117.46,116.79,117.10,272.00,Alphavantage
2009-02-23,116.72,116.72,116.72,115.88,300.00,Alphavantage
2009-02-24,132.34,132.34,132.34,132.34,0.00,Alphavantage
2009-02-25,133.10,133.10,133.10,132.91,15150.00,Alphavantage
2009-02-26,118.08,118.08,118.08,117.90,165.00,Alphavantage
2009-02-27,132.79,132.79,132.79,132.40,0.00,Alphavantage
2009-03-02,132.94,132.94,132.94,132.94,0.00,Alphavantage
2009-03-03,132.91,132.91,132.91,132.92,30000.00,Alphavantage
2009-03-04,132.77,132.77,132.77,132.77,0.00,Alphavantage
2009-03-05,133.15,133.15,133.15,133.15,0.00,Alphavantage
2009-03-06,133.31,133.31,133.31,133.31,0.00,Alphavantage
2009-03-09,121.64,121.70,121.64,121.90,654.00,Alphavantage
2009-03-10,132.92,132.92,132.92,132.92,385.00,Alphavantage
2009-03-11,132.60,132.60,132.60,132.60,0.00,Alphavantage
2009-03-12,123.46,123.46,123.46,123.18,7.00,Alphavantage
2009-03-13,122.77,122.77,122.77,122.35,48.00,Alphavantage
2009-03-16,121.76,122.48,121.47,122.41,237.00,Alphavantage
2009-03-17,132.45,132.45,132.45,132.45,0.00,Alphavantage
2009-03-18,132.45,132.45,132.45,132.45,0.00,Alphavantage
2009-03-19,132.45,132.45,132.45,132.45,0.00,Alphavantage
2009-03-20,125.30,125.30,125.30,124.97,55.00,Alphavantage
2009-03-23,123.95,124.02,123.95,124.35,172.00,Alphavantage
2009-03-24,132.40,132.40,132.40,132.40,0.00,Alphavantage
2009-03-25,132.40,132.40,132.40,132.40,0.00,Alphavantage
2009-03-26,132.56,132.56,132.56,132.56,0.00,Alphavantage
2009-03-27,132.87,132.87,132.87,132.87,0.00,Alphavantage
2009-03-30,133.18,133.18,133.18,133.18,0.00,Alphavantage
2009-03-31,133.27,133.27,133.27,133.27,0.00,Alphavantage
2009-04-01,133.19,133.19,133.19,133.19,0.00,Alphavantage
2009-04-02,132.47,132.47,132.47,132.47,0.00,Alphavantage
2009-04-03,120.15,120.15,120.15,119.90,16.00,Alphavantage
2009-04-06,132.01,132.01,132.01,132.01,0.00,Alphavantage
2009-04-07,132.54,132.54,132.54,132.30,500.00,Alphavantage
2009-04-08,132.36,132.36,132.36,132.36,0.00,Alphavantage
2009-04-09,132.24,132.24,132.24,132.24,0.00,Alphavantage
2009-04-14,132.58,132.58,132.58,132.58,0.00,Alphavantage
2009-04-15,116.91,116.95,116.91,116.90,130.00,Alphavantage
2009-04-16,132.91,132.91,132.91,132.91,0.00,Alphavantage
2009-04-17,133.12,133.12,132.92,132.55,1475.00,Alphavantage
2009-04-20,132.95,132.95,132.95,132.95,0.00,Alphavantage
2009-04-21,118.14,118.14,118.14,117.64,8.00,Alphavantage
2009-04-22,132.80,132.80,132.80,132.80,0.00,Alphavantage
2009-04-23,132.96,132.96,132.96,132.96,0.00,Alphavantage
2009-04-24,133.05,133.05,133.05,133.05,0.00,Alphavantage
2009-04-27,119.57,119.77,119.57,119.19,45.00,Alphavantage
2009-04-28,133.63,133.63,133.63,133.41,320.00,Alphavantage
2009-04-29,133.70,133.70,133.70,133.70,0.00,Alphavantage
2009-04-30,133.51,133.51,133.51,133.51,0.00,Alphavantage
2009-05-01,118.72,118.72,118.72,118.94,27.00,Alphavantage
2009-05-05,133.59,133.59,133.59,133.54,2029.00,Alphavantage
2009-05-06,133.78,133.78,133.78,133.78,0.00,Alphavantage
2009-05-07,133.46,133.46,133.46,133.46,0.00,Alphavantage
2009-05-08,119.48,119.48,119.48,119.70,15.00,Alphavantage
2009-05-11,121.28,121.28,121.28,120.90,41.00,Alphavantage
2009-05-12,134.50,134.50,134.50,134.43,0.00,Alphavantage
2009-05-13,121.13,121.37,121.13,121.10,256.00,Alphavantage
2009-05-14,134.89,134.89,134.89,134.89,0.00,Alphavantage
2009-05-15,120.18,120.79,120.18,119.94,378.00,Alphavantage
2009-05-18,134.86,134.86,134.86,135.14,24.00,Alphavantage
2009-05-19,118.19,118.78,118.19,118.37,684.00,Alphavantage
2009-05-20,118.72,119.32,118.71,118.24,134.00,Alphavantage
2009-05-21,118.71,118.90,118.37,118.08,410.00,Alphavantage
2009-05-22,119.32,119.40,119.32,118.60,16.00,Alphavantage
2009-05-26,118.46,118.47,118.20,117.95,63.00,Alphavantage
2009-05-27,116.60,117.99,116.60,116.65,873.00,Alphavantage
2009-05-28,116.80,117.18,116.80,117.49,70.00,Alphavantage
2009-05-29,117.45,117.45,117.34,117.77,509.00,Alphavantage
2009-06-01,133.91,133.91,133.91,133.91,0.00,Alphavantage
2009-06-02,134.35,134.35,134.35,134.35,0.00,Alphavantage
2009-06-03,115.62,115.62,115.62,116.39,4.00,Alphavantage
2009-06-04,116.70,116.70,116.70,117.33,20.00,Alphavantage
2009-06-05,118.49,118.49,118.49,116.59,10.00,Alphavantage
2009-06-08,117.26,117.26,117.26,116.17,17.00,Alphavantage
2009-06-09,115.61,115.61,115.60,115.35,14.00,Alphavantage
2009-06-10,114.70,115.08,114.70,114.56,459.00,Alphavantage
2009-06-11,133.47,133.47,133.47,133.47,0.00,Alphavantage
2009-06-12,113.84,113.84,113.80,113.57,100.00,Alphavantage
2009-06-15,113.85,113.85,113.85,113.56,6.00,Alphavantage
2009-06-16,134.07,134.53,134.07,134.07,0.00,Alphavantage
2009-06-17,114.83,114.83,114.83,114.48,16.00,Alphavantage
2009-06-18,134.18,134.64,134.18,134.18,0.00,Alphavantage
2009-06-19,134.40,134.87,134.40,134.40,0.00,Alphavantage
2009-06-22,113.16,113.16,113.16,114.35,1.00,Alphavantage
2009-06-23,134.53,135.00,134.53,134.53,0.00,Alphavantage
2009-06-24,132.27,132.73,132.27,132.27,0.00,Alphavantage
2009-06-25,132.43,132.89,132.43,132.43,0.00,Alphavantage
2009-06-26,132.53,132.99,132.53,132.53,0.00,Alphavantage
2009-06-29,132.36,132.82,132.36,132.36,0.00,Alphavantage
2009-06-30,133.41,133.41,133.41,132.97,70.00,Alphavantage
2009-07-01,132.62,133.08,132.62,132.62,0.00,Alphavantage
2009-07-02,132.45,132.45,132.45,133.41,246.00,Alphavantage
2009-07-06,114.92,114.92,114.84,114.81,100.00,Alphavantage
2009-07-07,115.18,115.18,115.18,115.49,179.00,Alphavantage
2009-07-08,133.59,134.05,133.59,133.59,0.00,Alphavantage
2009-07-09,133.55,134.01,133.55,133.55,0.00,Alphavantage
2009-07-10,133.62,134.08,133.62,133.62,0.00,Alphavantage
2009-07-13,133.50,133.96,133.50,133.50,0.00,Alphavantage
2009-07-14,114.84,114.86,114.84,114.58,6.00,Alphavantage
2009-07-15,114.12,114.12,114.12,114.60,40.00,Alphavantage
2009-07-16,133.60,134.06,133.60,133.60,0.00,Alphavantage
2009-07-17,133.55,134.01,133.55,133.55,0.00,Alphavantage
2009-07-20,133.62,134.08,133.62,133.62,0.00,Alphavantage
2009-07-21,134.04,134.50,134.04,134.04,0.00,Alphavantage
2009-07-22,134.13,134.60,134.13,134.13,0.00,Alphavantage
2009-07-23,115.46,115.54,115.46,115.68,207.00,Alphavantage
2009-07-24,115.76,116.62,115.76,116.20,241.00,Alphavantage
2009-07-27,134.04,134.50,134.04,134.04,0.00,Alphavantage
2009-07-28,134.76,134.76,134.76,134.72,70.00,Alphavantage
2009-07-29,116.66,116.66,116.66,115.64,342.00,Alphavantage
2009-07-30,134.81,135.28,134.81,134.81,0.00,Alphavantage
2009-07-31,135.67,136.19,135.67,135.67,0.00,Alphavantage
2009-08-03,135.46,135.98,135.46,135.46,0.00,Alphavantage
2009-08-04,135.33,135.33,135.33,135.58,2029.00,Alphavantage
2009-08-05,135.32,135.84,135.32,135.32,0.00,Alphavantage
2009-08-06,135.29,135.87,135.29,135.29,0.00,Alphavantage
2009-08-07,115.29,115.29,115.21,114.97,42.00,Alphavantage
2009-08-10,115.70,115.70,115.70,116.19,3858.00,Alphavantage
2009-08-11,135.11,135.11,135.11,135.70,200.00,Alphavantage
2009-08-12,135.64,136.16,135.64,135.64,0.00,Alphavantage
2009-08-13,135.88,136.40,135.88,135.88,0.00,Alphavantage
2009-08-14,136.40,136.93,136.40,136.40,0.00,Alphavantage
2009-08-17,118.19,118.19,118.19,118.01,169.00,Alphavantage
2009-08-18,116.83,116.83,116.83,116.51,48.00,Alphavantage
