date,open,high,low,close,volume
2012-06-19,126.70,126.70,126.70,126.06,9.00,Alphavantage
2012-06-20,125.53,125.53,125.53,125.53,0.00,Alphavantage
2012-06-21,126.24,126.24,126.24,126.24,0.00,Alphavantage
2012-06-22,125.81,125.81,125.81,125.81,0.00,Alphavantage
2012-06-25,126.61,126.61,126.61,126.61,0.00,Alphavantage
2012-06-26,126.28,126.28,126.28,126.21,1100.00,Alphavantage
2012-06-27,125.71,125.71,125.71,125.73,1349.00,Alphavantage
2012-06-28,126.01,126.01,126.01,126.01,0.00,Alphavantage
2012-06-29,125.59,125.59,125.59,125.59,0.00,Alphavantage
2012-07-02,125.91,125.91,125.91,125.91,0.00,Alphavantage
2012-07-03,125.64,125.64,125.64,125.64,0.00,Alphavantage
2012-07-04,126.32,126.32,126.32,126.32,0.00,Alphavantage
2012-07-05,126.84,126.84,126.84,126.84,0.00,Alphavantage
2012-07-06,127.43,127.43,127.43,127.43,0.00,Alphavantage
2012-07-09,127.40,127.40,127.40,127.40,0.00,Alphavantage
2012-07-10,127.49,127.49,127.49,127.49,0.00,Alphavantage
2012-07-11,127.76,127.76,127.76,127.76,0.00,Alphavantage
2012-07-12,128.01,128.01,128.01,128.01,0.00,Alphavantage
2012-07-13,128.01,128.01,128.01,128.01,0.00,Alphavantage
2012-07-16,128.16,128.16,128.16,128.16,0.00,Alphavantage
2012-07-17,128.26,128.26,128.26,128.26,0.00,Alphavantage
2012-07-18,128.51,128.51,128.51,128.51,0.00,Alphavantage
2012-07-19,128.39,128.39,128.39,128.39,0.00,Alphavantage
2012-07-20,128.73,128.73,128.73,128.73,0.00,Alphavantage
2012-07-23,128.84,128.84,128.56,128.59,5002.00,Alphavantage
2012-07-24,128.05,128.05,128.05,128.05,0.00,Alphavantage
2012-07-25,127.86,127.92,127.74,127.87,5182.00,Alphavantage
2012-07-26,127.54,127.54,127.54,127.54,0.00,Alphavantage
2012-07-27,127.01,127.01,127.01,127.01,0.00,Alphavantage
2012-07-30,127.22,127.22,127.22,127.22,0.00,Alphavantage
2012-07-31,127.42,128.10,127.42,128.11,9092.00,Alphavantage
2012-08-01,127.39,127.39,127.39,127.39,0.00,Alphavantage
2012-08-02,128.31,128.31,128.31,128.35,2501.00,Alphavantage
2012-08-03,127.12,127.12,127.12,127.12,0.00,Alphavantage
2012-08-06,127.22,127.22,127.22,127.22,0.00,Alphavantage
2012-08-07,126.67,126.67,126.67,126.67,0.00,Alphavantage
2012-08-08,126.97,126.97,126.97,126.97,0.00,Alphavantage
2012-08-09,126.89,126.89,126.89,126.89,0.00,Alphavantage
2012-08-10,127.30,127.38,127.30,127.37,17992.00,Alphavantage
2012-08-13,127.22,127.22,127.22,127.22,0.00,Alphavantage
2012-08-14,126.72,126.72,126.72,126.72,0.00,Alphavantage
2012-08-15,126.08,126.08,126.08,126.08,0.00,Alphavantage
2012-08-16,126.33,126.33,126.33,126.33,0.00,Alphavantage
2012-08-17,126.72,126.72,126.72,126.72,0.00,Alphavantage
2012-08-20,126.56,126.56,126.56,126.56,0.00,Alphavantage
2012-08-21,126.09,126.09,126.09,126.09,0.00,Alphavantage
2012-08-22,126.94,126.94,126.94,126.94,0.00,Alphavantage
2012-08-23,127.50,127.50,127.50,127.50,0.00,Alphavantage
2012-08-24,127.54,127.54,127.54,127.54,0.00,Alphavantage
2012-08-28,127.72,127.72,127.72,127.72,0.00,Alphavantage
2012-08-29,127.51,127.51,127.51,127.51,0.00,Alphavantage
2012-08-30,127.93,127.93,127.93,127.93,0.00,Alphavantage
2012-08-31,127.83,127.83,127.83,127.83,0.00,Alphavantage
2012-09-03,127.57,127.57,127.57,127.57,0.00,Alphavantage
2012-09-04,127.51,127.51,127.51,127.51,0.00,Alphavantage
2012-09-05,127.34,127.34,127.34,126.94,250.00,Alphavantage
2012-09-06,126.21,126.21,126.21,126.21,0.00,Alphavantage
2012-09-07,126.45,126.45,126.45,126.45,0.00,Alphavantage
2012-09-10,126.09,126.09,126.09,126.09,0.00,Alphavantage
2012-09-11,126.15,126.15,126.15,126.15,0.00,Alphavantage
2012-09-12,125.55,125.55,125.55,125.55,0.00,Alphavantage
2012-09-13,125.99,125.99,125.99,125.99,0.00,Alphavantage
2012-09-14,125.03,125.03,125.03,125.02,2501.00,Alphavantage
2012-09-17,125.32,125.32,125.32,125.32,0.00,Alphavantage
2012-09-18,125.60,125.60,125.60,125.60,0.00,Alphavantage
2012-09-19,125.71,125.71,125.71,125.71,0.00,Alphavantage
2012-09-20,126.10,126.10,126.10,126.10,0.00,Alphavantage
2012-09-21,125.94,125.94,125.94,125.94,0.00,Alphavantage
2012-09-24,126.12,126.12,126.12,126.12,0.00,Alphavantage
2012-09-25,125.97,125.97,125.97,125.97,0.00,Alphavantage
2012-09-26,126.88,126.88,126.88,126.88,0.00,Alphavantage
2012-09-27,126.99,126.99,126.99,126.99,0.00,Alphavantage
2012-09-28,127.16,127.16,127.16,127.11,2501.00,Alphavantage
2012-10-01,126.86,126.86,126.86,126.86,0.00,Alphavantage
2012-10-02,126.77,126.77,126.77,126.77,0.00,Alphavantage
2012-10-03,126.94,126.94,126.94,126.94,0.00,Alphavantage
2012-10-04,126.95,126.95,126.95,126.95,0.00,Alphavantage
2012-10-05,126.35,126.35,126.35,126.35,0.00,Alphavantage
2012-10-08,126.78,126.78,126.78,126.78,0.00,Alphavantage
2012-10-09,126.79,126.79,126.79,126.79,0.00,Alphavantage
2012-10-10,126.73,126.73,126.73,126.73,0.00,Alphavantage
2012-10-11,126.62,126.62,126.62,126.62,0.00,Alphavantage
2012-10-12,127.01,127.01,127.01,127.01,0.00,Alphavantage
2012-10-15,126.82,126.82,126.82,126.82,0.00,Alphavantage
2012-10-16,126.32,126.32,126.32,126.32,0.00,Alphavantage
2012-10-17,125.63,125.63,125.63,125.63,0.00,Alphavantage
2012-10-18,125.67,125.67,125.67,125.67,0.00,Alphavantage
2012-10-19,125.66,125.66,125.66,125.88,9.00,Alphavantage
2012-10-22,125.77,125.77,125.77,125.77,0.00,Alphavantage
2012-10-23,126.01,126.01,126.01,126.01,0.00,Alphavantage
2012-10-24,126.07,126.07,126.07,126.07,0.00,Alphavantage
2012-10-25,126.02,126.02,126.02,126.05,74.00,Alphavantage
2012-10-26,126.32,126.32,126.32,126.32,0.00,Alphavantage
2012-10-29,126.98,126.98,126.98,126.98,0.00,Alphavantage
2012-10-30,126.82,126.82,126.82,126.82,0.00,Alphavantage
2012-10-31,127.00,127.00,127.00,127.00,0.00,Alphavantage
2012-11-01,127.04,127.04,127.04,127.04,0.00,Alphavantage
2012-11-02,127.20,127.20,127.20,127.20,0.00,Alphavantage
2012-11-05,127.38,127.38,127.38,127.38,0.00,Alphavantage
2012-11-06,127.34,127.34,127.34,127.34,0.00,Alphavantage
2012-11-07,127.75,127.75,127.75,127.75,0.00,Alphavantage
2012-11-08,127.80,127.80,127.80,127.80,0.00,Alphavantage
2012-11-09,127.92,127.92,127.92,127.92,0.00,Alphavantage
2012-11-12,127.92,127.92,127.92,127.92,0.00,Alphavantage
2012-11-13,127.87,127.87,127.87,127.87,0.00,Alphavantage
2012-11-14,127.84,127.84,127.84,127.84,0.00,Alphavantage
2012-11-15,127.79,127.79,127.79,127.79,0.00,Alphavantage
2012-11-16,127.94,127.94,127.94,127.94,0.00,Alphavantage
2012-11-19,127.71,127.71,127.71,127.71,0.00,Alphavantage
2012-11-20,127.30,127.30,127.30,127.30,0.00,Alphavantage
2012-11-21,126.60,126.60,126.60,126.60,0.00,Alphavantage
2012-11-22,126.60,126.60,126.60,126.60,0.00,Alphavantage
2012-11-23,126.53,126.53,126.53,126.53,0.00,Alphavantage
2012-11-26,126.78,126.78,126.78,126.78,0.00,Alphavantage
2012-11-27,126.62,126.62,126.62,126.62,0.00,Alphavantage
2012-11-28,127.10,127.10,127.10,127.10,0.00,Alphavantage
2012-11-29,127.06,127.06,127.06,127.06,0.00,Alphavantage
2012-11-30,126.99,126.99,126.99,126.99,0.00,Alphavantage
2012-12-03,126.78,126.78,126.78,126.78,0.00,Alphavantage
2012-12-04,126.92,126.92,126.92,126.92,0.00,Alphavantage
2012-12-05,127.36,127.36,127.36,127.36,0.00,Alphavantage
2012-12-06,127.53,127.55,127.53,127.67,261.00,Alphavantage
2012-12-07,127.59,127.59,127.59,127.59,0.00,Alphavantage
2012-12-10,127.58,127.58,127.58,127.58,0.00,Alphavantage
2012-12-11,127.50,127.50,127.50,127.50,0.00,Alphavantage
2012-12-12,127.42,127.42,127.42,127.42,0.00,Alphavantage
2012-12-13,127.38,127.38,127.38,127.38,0.00,Alphavantage
2012-12-14,127.38,127.38,127.38,127.38,0.00,Alphavantage
2012-12-17,127.25,127.25,127.25,127.25,0.00,Alphavantage
