date,open,high,low,close,volume
2008-02-18,51.52,51.52,51.52,51.18,57.00,Alphavantage
2008-02-19,51.90,51.90,51.90,51.56,69.00,Alphavantage
2008-02-20,51.60,51.60,51.60,51.60,0.00,Alphavantage
2008-02-21,51.60,51.60,51.60,51.60,0.00,Alphavantage
2008-02-22,51.60,51.60,51.60,51.60,0.00,Alphavantage
2008-02-25,51.50,51.50,51.50,51.00,23.00,Alphavantage
2008-02-26,51.00,51.00,51.00,51.00,0.00,Alphavantage
2008-02-27,51.00,51.00,51.00,51.00,0.00,Alphavantage
2008-02-28,51.20,51.20,51.20,50.90,68.00,Alphavantage
2008-02-29,51.00,51.00,51.00,51.20,125.00,Alphavantage
2008-03-03,51.20,51.20,51.20,51.20,0.00,Alphavantage
2008-03-04,51.20,51.20,51.20,51.20,0.00,Alphavantage
2008-03-05,52.00,52.00,52.00,51.10,50.00,Alphavantage
2008-03-06,51.50,51.50,51.50,50.80,9.00,Alphavantage
2008-03-07,50.80,50.80,50.80,50.50,196.00,Alphavantage
2008-03-10,50.60,50.60,50.20,50.60,159.00,Alphavantage
2008-03-11,50.60,50.60,50.60,50.60,0.00,Alphavantage
2008-03-12,50.60,50.60,50.60,50.60,0.00,Alphavantage
2008-03-13,50.60,50.60,50.60,50.60,0.00,Alphavantage
2008-03-14,50.50,50.50,50.30,50.30,202.00,Alphavantage
2008-03-17,50.90,50.90,50.90,49.90,25.00,Alphavantage
2008-03-18,50.20,50.20,50.20,50.00,79.00,Alphavantage
2008-03-19,50.00,50.00,50.00,50.00,0.00,Alphavantage
2008-03-20,51.20,51.20,51.20,51.00,38.00,Alphavantage
2008-03-25,50.90,50.90,50.30,50.50,848.00,Alphavantage
2008-03-26,50.60,50.60,50.60,50.10,829.00,Alphavantage
2008-03-27,50.10,50.10,50.10,50.10,0.00,Alphavantage
2008-03-28,50.60,50.60,50.00,50.50,852.00,Alphavantage
2008-03-31,50.70,50.70,50.70,50.60,768.00,Alphavantage
2008-04-01,50.90,51.00,50.90,50.90,943.00,Alphavantage
