date,open,high,low,close,volume
2011-04-14,17.96,17.96,17.86,17.98,5865.00,Alphavantage
2011-04-15,18.20,18.20,18.20,18.20,0.00,Alphavantage
2011-04-18,18.27,18.27,18.27,18.42,130.00,Alphavantage
2011-04-19,18.31,18.31,18.31,18.31,0.00,Alphavantage
2011-04-20,18.35,18.35,18.35,18.35,0.00,Alphavantage
2011-04-21,18.15,18.15,18.15,18.15,0.00,Alphavantage
2011-04-26,18.20,18.20,18.20,18.22,1000.00,Alphavantage
2011-04-27,18.25,18.25,18.25,18.23,330.00,Alphavantage
2011-04-28,18.45,18.45,18.45,18.45,0.00,Alphavantage
2011-05-03,18.77,18.77,18.77,18.68,1200.00,Alphavantage
2011-05-04,18.42,18.42,18.42,18.42,0.00,Alphavantage
2011-05-05,18.09,18.09,18.09,18.09,0.00,Alphavantage
2011-05-06,18.20,18.20,18.20,18.20,0.00,Alphavantage
2011-05-09,18.46,18.46,18.46,18.46,0.00,Alphavantage
2011-05-10,18.53,18.53,18.53,18.53,0.00,Alphavantage
2011-05-11,18.34,18.34,18.34,18.34,0.00,Alphavantage
2011-05-12,18.34,18.34,18.34,18.34,0.00,Alphavantage
2011-05-13,18.60,18.60,18.60,18.55,2018.00,Alphavantage
2011-05-16,18.48,18.48,18.48,18.48,0.00,Alphavantage
2011-05-17,18.20,18.20,18.20,18.20,0.00,Alphavantage
2011-05-18,18.52,18.52,18.52,18.52,0.00,Alphavantage
2011-05-19,18.41,18.41,18.41,18.41,0.00,Alphavantage
2011-05-20,18.45,18.45,18.45,18.66,107.00,Alphavantage
2011-05-23,18.89,18.89,18.67,18.77,3146.00,Alphavantage
2011-05-24,18.84,18.84,18.84,18.84,0.00,Alphavantage
2011-05-25,18.77,18.77,18.77,18.77,0.00,Alphavantage
2011-05-26,18.75,18.75,18.75,18.61,182.00,Alphavantage
2011-05-27,18.65,18.65,18.61,18.61,2236.00,Alphavantage
2011-05-31,18.67,18.68,18.65,18.70,1037.00,Alphavantage
2011-06-01,18.88,18.88,18.88,18.88,0.00,Alphavantage
2011-06-02,18.64,18.64,18.64,18.64,0.00,Alphavantage
2011-06-03,18.99,18.99,18.99,18.79,7000.00,Alphavantage
2011-06-06,18.84,18.84,18.84,18.96,1080.00,Alphavantage
2011-06-07,18.88,18.90,18.88,18.70,7061.00,Alphavantage
2011-06-08,18.73,18.84,18.73,18.77,3495.00,Alphavantage
2011-06-09,18.70,18.70,18.70,18.86,71.00,Alphavantage
2011-06-10,18.81,19.01,18.81,18.89,9397.00,Alphavantage
2011-06-13,18.89,18.89,18.77,18.70,117.00,Alphavantage
2011-06-14,18.60,18.60,18.52,18.55,758.00,Alphavantage
2011-06-15,18.61,18.70,18.61,18.82,838.00,Alphavantage
2011-06-16,18.94,18.94,18.94,18.95,2000.00,Alphavantage
2011-06-17,18.95,18.95,18.93,19.02,10696.00,Alphavantage
2011-06-20,18.98,18.98,18.98,18.98,0.00,Alphavantage
2011-06-21,19.07,19.09,19.07,19.05,2628.00,Alphavantage
2011-06-22,19.14,19.14,19.14,19.30,3300.00,Alphavantage
2011-06-23,19.27,19.31,19.26,19.26,24319.00,Alphavantage
2011-06-24,18.88,18.91,18.88,18.87,6203.00,Alphavantage
2011-06-27,18.66,18.66,18.66,18.74,3300.00,Alphavantage
2011-06-28,18.75,18.75,18.75,18.75,0.00,Alphavantage
2011-06-29,18.84,18.84,18.81,18.81,3450.00,Alphavantage
2011-06-30,18.87,18.89,18.76,18.76,27035.00,Alphavantage
2011-07-01,18.63,18.63,18.49,18.49,4586.00,Alphavantage
2011-07-04,18.60,18.63,18.55,18.60,12630.00,Alphavantage
2011-07-05,18.60,18.62,18.60,18.74,32366.00,Alphavantage
2011-07-06,18.92,19.08,18.92,19.15,1460.00,Alphavantage
2011-07-07,19.15,19.15,19.10,19.12,487.00,Alphavantage
2011-07-08,19.13,19.24,19.13,19.24,21787.00,Alphavantage
2011-07-11,19.38,19.53,19.35,19.40,6584.00,Alphavantage
2011-07-12,19.56,19.58,19.50,19.46,33506.00,Alphavantage
2011-07-13,19.68,19.83,19.68,19.69,33697.00,Alphavantage
2011-07-14,19.65,19.78,19.65,19.67,8298.00,Alphavantage
2011-07-15,19.57,19.73,19.54,19.68,42993.00,Alphavantage
2011-07-18,19.84,20.07,19.83,20.03,34025.00,Alphavantage
2011-07-19,19.96,19.99,19.77,19.88,6694.00,Alphavantage
2011-07-20,19.79,19.80,19.67,19.76,6175.00,Alphavantage
2011-07-21,19.79,19.82,19.63,19.62,11848.00,Alphavantage
2011-07-22,19.49,19.66,19.41,19.66,7983.00,Alphavantage
2011-07-25,19.83,19.95,19.83,19.82,5348.00,Alphavantage
2011-07-26,19.72,19.72,19.64,19.66,1006.00,Alphavantage
2011-07-27,19.77,19.82,19.77,19.75,5368.00,Alphavantage
2011-07-28,19.79,19.82,19.65,19.64,7897.00,Alphavantage
2011-07-29,19.75,19.92,19.75,19.75,3329.00,Alphavantage
2011-08-01,19.68,19.72,19.58,19.99,8768.00,Alphavantage
2011-08-02,20.17,20.17,19.92,20.11,2770.00,Alphavantage
2011-08-03,20.48,20.50,20.33,20.32,9915.00,Alphavantage
2011-08-04,20.33,20.59,20.29,20.55,21572.00,Alphavantage
2011-08-05,20.39,20.50,20.30,20.27,22175.00,Alphavantage
2011-08-08,20.74,20.91,20.68,20.91,41605.00,Alphavantage
2011-08-09,21.47,21.74,21.19,21.38,102562.00,Alphavantage
2011-08-10,21.41,22.07,21.41,22.01,18156.00,Alphavantage
2011-08-11,22.14,22.27,21.58,21.66,35093.00,Alphavantage
2011-08-12,21.74,21.75,21.20,21.25,25800.00,Alphavantage
2011-08-15,21.43,21.47,21.22,21.27,19610.00,Alphavantage
2011-08-16,21.75,21.80,21.69,21.67,7433.00,Alphavantage
2011-08-17,21.81,21.89,21.51,21.54,9508.00,Alphavantage
2011-08-18,21.78,22.19,21.71,22.11,19306.00,Alphavantage
2011-08-19,22.65,22.77,22.17,22.36,43958.00,Alphavantage
2011-08-22,22.86,23.01,22.63,22.95,23681.00,Alphavantage
2011-08-23,22.99,22.99,22.60,22.78,10561.00,Alphavantage
2011-08-24,22.35,22.45,21.59,21.68,12871.00,Alphavantage
2011-08-25,21.18,21.55,20.81,21.30,99110.00,Alphavantage
2011-08-26,21.73,22.06,21.71,21.85,8000.00,Alphavantage
2011-08-30,21.80,22.55,21.80,22.44,9420.00,Alphavantage
2011-08-31,22.38,22.51,22.29,22.44,10589.00,Alphavantage
2011-09-01,22.56,22.61,22.41,22.54,41967.00,Alphavantage
2011-09-02,22.88,23.15,22.69,23.09,33010.00,Alphavantage
2011-09-05,23.38,23.63,23.34,23.58,33458.00,Alphavantage
2011-09-06,23.55,23.81,23.20,23.42,47839.00,Alphavantage
2011-09-07,22.93,23.13,22.50,22.72,28825.00,Alphavantage
2011-09-08,23.02,23.26,22.98,23.11,21510.00,Alphavantage
2011-09-09,23.49,23.56,22.89,23.35,21044.00,Alphavantage
2011-09-12,23.23,23.38,23.10,23.14,8634.00,Alphavantage
2011-09-13,23.12,23.12,22.91,23.10,1388.00,Alphavantage
2011-09-14,23.17,23.17,23.00,23.06,43176.00,Alphavantage
2011-09-15,22.96,22.97,22.45,22.48,42515.00,Alphavantage
2011-09-16,22.54,22.63,22.37,22.86,20521.00,Alphavantage
2011-09-19,23.12,23.20,23.06,22.77,16861.00,Alphavantage
2011-09-20,22.75,23.00,22.66,22.93,9716.00,Alphavantage
2011-09-21,23.08,23.14,23.01,23.02,3240.00,Alphavantage
2011-09-22,22.91,22.95,22.52,22.52,10869.00,Alphavantage
2011-09-23,22.28,22.58,21.62,21.68,29681.00,Alphavantage
2011-09-26,20.74,21.02,20.25,20.73,65731.00,Alphavantage
2011-09-27,21.20,21.57,21.09,21.11,62756.00,Alphavantage
2011-09-28,21.05,21.15,21.01,20.96,1284.00,Alphavantage
2011-09-29,20.79,20.79,20.63,20.67,11998.00,Alphavantage
