date,open,high,low,close,volume
2018-10-01,16660.400391,16660.400391,15734.5,16080.5,933,null
2018-11-01,15982.0,16278.0,15929.0,16214.5,2254,null
2018-12-01,16389.0,16398.5,15495.0,15690.0,2159,null
2019-01-01,15690.0,16245.0,15500.0,16153.5,1395,null
2019-02-01,16297.200195,16697.0,210.490005,217.770004,1678,null
2019-03-01,16442.5,16994.099609,16442.5,16925.0,704,null
2019-04-01,16945.0,17147.0,16882.0,16956.5,1132,null
2019-05-01,17027.800781,17321.900391,16532.0,16941.0,907,null
2019-06-01,17015.5,17714.0,17015.5,17662.0,284,null
2019-07-01,17809.0,18285.900391,17809.0,18071.0,423,null
2019-08-01,18177.5,18177.5,17432.5,17715.5,112,null
2019-09-01,17881.5,17919.0,17736.0,17948.5,38,null
2019-09-13,17943.0,17943.0,17943.0,17852.0,27,null
