date,open,high,low,close,volume
2006-11-14,12.83,12.83,12.75,12.75,2440,Alphavantage
2006-11-21,12.88,12.88,12.88,12.88,73,Alphavantage
2006-11-23,12.93,12.93,12.93,12.93,2205,Alphavantage
2006-11-24,12.94,12.94,12.94,12.94,300,Alphavantage
2006-11-27,13.17,13.17,13.17,13.17,1500,Alphavantage
2006-11-28,13.03,13.03,13.01,13.01,20180,Alphavantage
2006-11-29,13.14,13.17,13.14,13.17,40000,Alphavantage
2006-11-30,13.22,13.22,13.22,13.22,37795,Alphavantage
2006-12-01,13.27,13.34,13.27,13.34,43000,Alphavantage
2006-12-05,13.34,13.39,13.34,13.39,40000,Alphavantage
2006-12-06,13.14,13.14,13.14,13.14,2205,Alphavantage
2006-12-07,12.95,12.95,12.95,12.95,20000,Alphavantage
2006-12-18,12.5,12.5,12.47,12.47,440,Alphavantage
2006-12-20,12.12,12.12,12.08,12.08,40000,Alphavantage
2006-12-27,12.37,12.37,12.35,12.35,20100,Alphavantage
2007-01-02,12.36,12.41,12.36,12.41,60000,Alphavantage
2007-01-04,12.15,12.15,12.15,12.15,160,Alphavantage
2007-01-09,12.1,12.1,12.1,12.1,320,Alphavantage
2007-01-10,12.11,12.11,12.11,12.11,160,Alphavantage
2007-01-12,12.23,12.23,12.23,12.23,20000,Alphavantage
2007-01-18,12.62,12.62,12.62,12.62,140,Alphavantage
2007-01-22,12.58,12.71,12.58,12.71,24645,Alphavantage
2007-01-23,12.86,12.86,12.86,12.86,380,Alphavantage
2007-01-24,12.76,12.76,12.76,12.76,300,Alphavantage
2007-01-30,12.87,12.87,12.87,12.87,170,Alphavantage
2007-02-02,13.25,13.25,12.9,12.98,1313,Alphavantage
2007-02-05,13.09,13.09,13.09,13.09,150,Alphavantage
2007-02-06,13.2,13.29,13.2,13.29,20380,Alphavantage
2007-02-09,13.48,13.48,13.48,13.48,20000,Alphavantage
2007-02-19,13.53,13.53,13.53,13.53,50,Alphavantage
2007-02-21,13.25,13.25,13.25,13.25,150,Alphavantage
2007-02-23,13.8,13.8,13.8,13.8,3000,Alphavantage
2007-02-27,13.98,14.03,13.98,14.03,460,Alphavantage
2007-02-28,13.45,13.45,13.43,13.43,40000,Alphavantage
2007-03-01,13.53,13.53,13.53,13.53,10,Alphavantage
2007-03-02,13.11,13.11,13.06,13.06,350,Alphavantage
2007-03-05,12.3,12.3,12.3,12.3,111,Alphavantage
2007-03-08,12.59,12.59,12.57,12.57,780,Alphavantage
2007-03-09,12.36,12.36,12.36,12.36,10000,Alphavantage
2007-03-14,12.25,12.25,12.25,12.25,410,Alphavantage
2007-03-16,12.37,12.37,12.37,12.37,495,Alphavantage
2007-03-19,12.48,12.48,12.48,12.48,17,Alphavantage
2007-03-22,12.7,12.7,12.7,12.7,7000,Alphavantage
2007-04-03,12.6,12.6,12.6,12.6,20000,Alphavantage
2007-04-05,12.83,12.83,12.83,12.83,400,Alphavantage
2007-04-10,13.06,13.11,13.04,13.1,40971,Alphavantage
2007-04-11,13.13,13.13,13.07,13.07,10000,Alphavantage
2007-04-12,13.02,13.02,13.02,13.02,77,Alphavantage
2007-04-13,13.06,13.07,13.06,13.07,40000,Alphavantage
2007-04-17,13.06,13.06,13.06,13.06,20000,Alphavantage
2007-04-18,12.89,12.89,12.89,12.89,220,Alphavantage
2007-04-19,12.72,12.72,12.55,12.55,1410,Alphavantage
2007-04-23,12.9,12.9,12.9,12.9,1000,Alphavantage
2007-04-24,12.93,13.06,12.93,13.06,418,Alphavantage
2007-04-27,12.28,12.28,12.28,12.28,500,Alphavantage
2007-04-30,12.46,12.46,12.43,12.43,32000,Alphavantage
2007-05-02,12.35,12.35,12.18,12.25,33685,Alphavantage
2007-05-03,12.36,12.36,12.36,12.36,46500,Alphavantage
2007-05-11,12.14,12.37,12.14,12.25,720,Alphavantage
2007-05-15,12.14,12.14,12.14,12.14,20000,Alphavantage
2007-05-17,11.96,11.96,11.96,11.96,1,Alphavantage
2007-05-21,12.05,12.05,12.05,12.05,25,Alphavantage
2007-05-23,12.13,12.13,12.13,12.13,150,Alphavantage
2007-05-24,12.15,12.15,12.15,12.15,240,Alphavantage
2007-05-30,12.31,12.31,12.21,12.21,2380,Alphavantage
2007-06-01,12.72,12.72,12.7,12.7,189,Alphavantage
2007-06-06,12.72,12.72,12.72,12.72,1,Alphavantage
2007-06-07,12.77,12.77,12.77,12.77,149,Alphavantage
2007-06-12,12.3,12.3,12.3,12.3,20000,Alphavantage
2007-06-14,12.4,12.4,12.4,12.4,3880,Alphavantage
2007-06-15,12.37,12.37,12.37,12.37,1620,Alphavantage
2007-06-26,11.94,11.98,11.6,11.6,1817,Alphavantage
2007-06-27,11.42,11.49,11.42,11.49,11500,Alphavantage
2007-06-28,11.63,11.63,11.63,11.63,90,Alphavantage
2007-07-04,11.62,11.62,11.62,11.62,1720,Alphavantage
2007-07-09,11.79,11.79,11.79,11.79,5900,Alphavantage
2007-07-10,11.83,11.83,11.83,11.83,20000,Alphavantage
2007-07-11,11.82,11.82,11.82,11.82,25,Alphavantage
2007-07-12,11.83,11.9,11.83,11.9,20710,Alphavantage
2007-07-16,11.97,11.97,11.83,11.83,20000,Alphavantage
2007-07-18,11.82,11.93,11.82,11.93,20100,Alphavantage
2007-07-23,12.14,12.14,12.1,12.1,817,Alphavantage
2007-07-24,12.17,12.17,12.17,12.17,20000,Alphavantage
2007-07-26,11.98,12.0,11.79,11.79,20761,Alphavantage
2007-08-01,11.7,11.7,11.7,11.7,400,Alphavantage
2007-08-03,11.94,11.94,11.85,11.85,34760,Alphavantage
2007-08-06,11.79,11.79,11.76,11.76,163,Alphavantage
2007-08-09,11.64,11.64,11.64,11.64,200,Alphavantage
2007-08-10,11.61,11.61,11.61,11.61,200,Alphavantage
2007-08-13,11.73,11.73,11.73,11.73,240,Alphavantage
2007-08-16,11.35,11.35,11.35,11.35,760,Alphavantage
2007-08-20,11.0,11.0,11.0,11.0,595,Alphavantage
2007-08-21,10.8,10.8,10.78,10.78,517,Alphavantage
2007-08-22,10.91,10.91,10.9,10.9,1300,Alphavantage
2007-09-03,11.11,11.13,11.11,11.13,80089,Alphavantage
2007-09-05,11.22,11.22,11.22,11.22,250,Alphavantage
2007-09-07,11.36,11.5,11.36,11.5,1689,Alphavantage
2007-09-10,11.4,11.4,11.4,11.4,1110,Alphavantage
2007-09-11,11.4,11.4,11.4,11.4,400,Alphavantage
2007-09-17,11.47,11.47,11.47,11.47,1000,Alphavantage
2007-09-18,11.58,11.58,11.58,11.58,500,Alphavantage
2007-09-20,11.6,11.81,11.6,11.81,1400,Alphavantage
2007-09-21,12.05,12.05,12.05,12.05,650,Alphavantage
2007-09-25,11.91,11.91,11.91,11.91,200,Alphavantage
2007-09-28,12.02,12.02,12.02,12.02,300,Alphavantage
2007-10-01,12.02,12.02,12.02,12.02,10,Alphavantage
2007-10-02,11.69,11.69,11.69,11.69,6500,Alphavantage
2007-10-11,11.99,11.99,11.99,11.99,4500,Alphavantage
2007-10-12,12.18,12.18,12.15,12.17,1400,Alphavantage
2007-10-15,12.25,12.25,12.25,12.25,300,Alphavantage
2007-10-16,12.06,12.06,12.04,12.04,409,Alphavantage
2007-10-17,11.97,11.97,11.97,11.97,125,Alphavantage
2007-10-18,11.97,11.97,11.97,11.97,2080,Alphavantage
2007-10-19,11.9,11.9,11.9,11.9,35,Alphavantage
2007-10-22,11.66,11.66,11.66,11.66,200,Alphavantage
2007-10-24,11.74,11.74,11.74,11.74,20000,Alphavantage
2007-10-29,12.41,12.41,12.36,12.36,325,Alphavantage
2007-11-02,12.23,12.23,12.23,12.23,100,Alphavantage
2007-11-05,12.45,12.45,12.45,12.45,450,Alphavantage
