date,open,high,low,close,volume
2011-10-21,25.26,25.26,25.26,25.34,4760.00,Alphavantage
2011-10-24,25.65,25.86,25.65,26.06,4360.00,Alphavantage
2011-10-25,25.66,25.66,25.66,25.66,0.00,Alphavantage
2011-10-26,25.48,25.48,25.48,25.48,0.00,Alphavantage
2011-10-27,27.14,27.14,26.80,26.89,5731.00,Alphavantage
2011-10-28,27.34,27.34,27.34,27.39,3731.00,Alphavantage
2011-10-31,26.51,26.51,26.51,26.51,0.00,Alphavantage
2011-11-01,25.12,25.12,25.12,25.12,0.00,Alphavantage
2011-11-02,26.18,26.18,26.18,26.18,0.00,Alphavantage
2011-11-03,26.82,26.82,26.82,26.82,0.00,Alphavantage
2011-11-04,26.81,26.81,26.81,26.81,0.00,Alphavantage
2011-11-07,26.70,26.70,26.70,26.70,0.00,Alphavantage
2011-11-08,26.87,26.87,26.87,26.87,0.00,Alphavantage
2011-11-09,26.57,26.57,26.57,26.57,0.00,Alphavantage
2011-11-10,26.20,26.20,26.20,26.20,0.00,Alphavantage
2011-11-11,27.06,27.06,27.06,27.06,0.00,Alphavantage
2011-11-14,26.62,26.62,26.62,26.62,0.00,Alphavantage
2011-11-15,26.39,26.39,26.39,26.39,0.00,Alphavantage
2011-11-16,26.84,26.84,26.84,26.84,0.00,Alphavantage
2011-11-17,26.25,26.25,26.25,26.25,0.00,Alphavantage
2011-11-18,25.75,25.75,25.75,25.75,0.00,Alphavantage
2011-11-21,24.61,24.61,24.61,24.61,0.00,Alphavantage
2011-11-22,24.61,24.61,24.61,24.61,0.00,Alphavantage
2011-11-23,23.90,23.90,23.90,23.90,0.00,Alphavantage
2011-11-24,23.77,23.77,23.77,23.77,0.00,Alphavantage
2011-11-25,23.69,23.76,23.69,23.86,14430.00,Alphavantage
2011-11-28,24.84,24.84,24.84,24.84,0.00,Alphavantage
2011-11-29,25.01,25.01,25.01,25.12,4210.00,Alphavantage
2011-11-30,26.30,26.30,26.30,26.30,0.00,Alphavantage
2011-12-01,26.31,26.31,26.31,26.31,0.00,Alphavantage
2011-12-02,26.82,26.82,26.82,26.59,500.00,Alphavantage
2011-12-05,26.86,26.86,26.86,26.86,0.00,Alphavantage
2011-12-06,26.65,26.65,26.65,26.39,500.00,Alphavantage
2011-12-07,26.23,26.23,26.23,26.23,0.00,Alphavantage
2011-12-08,26.24,26.24,25.64,25.65,5901.00,Alphavantage
2011-12-09,25.63,25.63,25.63,25.79,3901.00,Alphavantage
2011-12-12,25.02,25.02,25.02,25.02,0.00,Alphavantage
2011-12-13,25.25,25.25,25.25,25.25,0.00,Alphavantage
2011-12-14,23.99,23.99,23.99,23.83,500.00,Alphavantage
2011-12-15,23.94,23.94,23.94,23.94,0.00,Alphavantage
2011-12-16,24.06,24.06,24.06,24.15,4656.00,Alphavantage
2011-12-19,23.84,23.84,23.84,23.84,0.00,Alphavantage
2011-12-20,24.43,24.43,24.43,24.48,4156.00,Alphavantage
2011-12-21,24.30,24.30,24.30,24.30,0.00,Alphavantage
2011-12-22,24.83,24.83,24.83,24.83,0.00,Alphavantage
2011-12-23,25.18,25.18,25.18,25.18,0.00,Alphavantage
2011-12-28,24.57,24.57,24.57,24.57,0.00,Alphavantage
2011-12-29,24.71,24.71,24.71,24.71,0.00,Alphavantage
2011-12-30,24.93,24.93,24.93,24.93,0.00,Alphavantage
