date,open,high,low,close,volume
2018-10-01,782.900024,918.799988,771.299988,848.950012,5383467,null
2018-11-01,858.299988,900.0,841.0,880.099976,5025280,null
2018-12-01,844.299988,983.0,839.0,936.200012,3952526,null
2019-01-01,936.200012,968.400024,861.0,866.25,6150948,null
2019-02-01,860.0,865.0,792.0,822.450012,5333198,null
2019-03-01,814.5,820.200012,755.799988,770.849976,4939545,null
2019-04-01,764.400024,764.400024,717.700012,737.450012,4050717,null
2019-05-01,743.400024,789.5,738.0,785.450012,4922881,null
2019-06-01,790.799988,794.200012,713.599976,719.099976,4011073,null
2019-07-01,707.0,708.0,666.0,685.299988,3076871,null
2019-08-01,690.400024,784.0,684.551025,747.400024,4076547,null
2019-09-01,734.200012,741.583984,712.799988,713.849976,1496780,null
2019-09-13,714.174011,716.992004,705.5,707.349976,130261,null
