date,open,high,low,close,volume
2018-10-01,3007.0,3022.0,3002.0,3016.0,228949,null
2018-11-01,3010.0,3018.0,2990.0,2999.0,73633,null
2018-12-01,2996.0,3007.0,32.959999,33.16,74807,null
2019-01-01,3001.0,3027.0,2988.0,3029.5,297775,null
2019-02-01,2995.0,3012.0,33.900002,35.009998,122749,null
2019-03-01,3002.0,3033.0,3001.0,3030.0,88381,null
2019-04-01,3035.0,3048.0,3021.0,3036.5,145461,null
2019-05-01,3038.0,3051.51001,3019.0,3044.0,73194,null
2019-06-01,3049.0,3070.540039,3043.0,3063.0,87751,null
2019-07-01,3055.959961,3096.0,3055.959961,3091.5,416501,null
2019-08-01,3065.0,3071.0,3041.0,3055.0,172787,null
2019-09-01,3061.0,3068.949951,3042.0,3053.5,55833,null
2019-09-13,30.48,30.65,30.42,30.440001,3400,null
