date,open,high,low,close,volume
2018-10-01,3092.5,3105.5,2759.0,2815.5,847,null
2018-11-01,2938.5,3117.5,2822.0,2847.0,454,null
2018-12-01,2837.0,2837.0,25.695,25.695,69,null
2019-01-01,2592.0,2796.5,2324.0,2719.0,60,null
2019-02-01,2742.5,3008.5,26.34,30.084999,60,null
2019-03-01,3015.0,3020.0,2763.5,2770.5,39,null
2019-04-01,2868.5,2921.5,2751.5,2821.5,0,null
2019-05-01,2840.0,2880.0,2365.0,2374.5,221,null
2019-06-01,2359.5,2423.5,2314.0,2363.5,40,null
2019-07-01,2366.0,2366.0,2110.0,2142.0,422,null
2019-08-01,2080.0,2080.0,1871.0,1980.5,21,null
2019-09-01,1946.0,2129.5,1910.5,2129.5,925,null
2019-09-13,2211.0,2211.0,2211.0,2215.0,458,null
