date,open,high,low,close,volume
2018-10-01,8747.0,8773.0,7780.0,8038.5,8757,null
2018-11-01,8053.0,8131.0,7674.5,7842.0,10426,null
2018-12-01,8016.0,8016.0,72.440002,73.754997,3632,null
2019-01-01,7418.0,7917.740234,7289.120117,7770.0,2930,null
2019-02-01,7805.0,7982.0,7695.0,7867.5,1755,null
2019-03-01,8011.490234,8153.0,7855.0,8050.0,4075,null
2019-04-01,8144.0,8493.929688,8134.080078,8433.0,3944,null
2019-05-01,8381.69043,8381.69043,8060.0,8120.0,11153,null
2019-06-01,8114.0,8612.5,8114.0,8612.5,2905,null
2019-07-01,8694.110352,8899.799805,8647.0,8656.5,12668,null
2019-08-01,8695.900391,8695.900391,8186.0,8411.5,1171,null
2019-09-01,8478.839844,8520.400391,8450.0,8549.5,717,null
2019-09-13,8556.0,8570.0,8556.0,8554.5,1604,null
