date,open,high,low,close,volume
2018-10-01,8969.0,9017.929688,8214.700195,8468.0,33832,null
2018-11-01,8418.0,8698.0,8317.759766,8680.0,12199,null
2018-12-01,8926.0,8926.0,77.474998,79.790001,30874,null
2019-01-01,7997.5,8444.0,7940.0,8245.0,36622,null
2019-02-01,8332.5,8764.0,8332.5,8512.5,13931,null
2019-03-01,8582.280273,8791.0,8467.0,8784.0,41060,null
2019-04-01,8830.240234,9208.860352,8791.0,9061.0,30565,null
2019-05-01,9126.150391,9126.69043,8808.830078,8876.0,190571,null
2019-06-01,8778.169922,9479.0,8778.169922,9380.5,55643,null
2019-07-01,9511.0,10069.5,9511.0,9961.5,56701,null
2019-08-01,10019.0,10019.0,9460.0,9761.0,23136,null
2019-09-01,9864.0,9876.839844,9775.070313,9874.0,17161,null
2019-09-13,9830.0,9830.0,9830.0,9804.0,151,null
