date,open,high,low,close,volume
2018-10-01,5853.0,5924.0,5786.0,5879.0,84078,null
2018-11-01,5877.0,5897.0,5742.0,5768.0,64944,null
2018-12-01,5766.0,5882.0,5761.0,5849.0,30327,null
2019-01-01,5849.0,5985.0,5831.0,5974.0,73032,null
2019-02-01,5881.0,5948.0,5869.0,5898.0,108935,null
2019-03-01,5897.0,6068.0,5895.0,6068.0,71372,null
2019-04-01,6053.0,6065.0,5965.0,6041.0,69470,null
2019-05-01,6045.0,6103.0,6027.0,6083.5,79043,null
2019-06-01,6088.0,6225.0,6088.0,6215.0,67404,null
2019-07-01,6210.0,6347.0,6208.0,6325.0,79756,null
2019-08-01,6256.0,6372.0,6213.939941,6336.0,70489,null
2019-09-01,6352.0,6395.189941,6231.0,6257.5,32918,null
2019-09-13,62.64463,62.64463,62.23,62.384998,2686,null
