date,open,high,low,close,volume
2012-03-05,1007.00,1007.00,1005.00,1002.00,697.00,Alphavantage
2012-03-06,984.00,984.00,984.00,984.00,2800.00,Alphavantage
2012-03-07,987.00,987.00,987.00,991.00,100.00,Alphavantage
2012-03-08,1002.00,1002.00,1002.00,1009.00,4966.00,Alphavantage
2012-03-09,1014.00,1018.00,1014.00,1014.00,27244.00,Alphavantage
2012-03-12,1021.00,1021.00,1021.00,1021.00,244.00,Alphavantage
2012-03-13,1026.00,1030.00,1026.00,1025.00,2000.00,Alphavantage
2012-03-14,1029.00,1034.00,1029.00,1026.00,2962.00,Alphavantage
2012-03-15,1028.00,1028.00,1023.00,1025.00,3050.00,Alphavantage
2012-03-16,1030.00,1031.00,1028.00,1030.00,8266.00,Alphavantage
2012-03-19,1028.00,1030.00,1028.00,1029.00,22465.00,Alphavantage
2012-03-20,1029.00,1029.00,1023.00,1028.00,7428.00,Alphavantage
2012-03-21,1030.00,1032.00,1017.00,1029.00,3148.00,Alphavantage
2012-03-22,1020.00,1020.00,1020.00,1022.00,2924.00,Alphavantage
2012-03-23,1023.00,1031.00,1023.00,1029.00,6792.00,Alphavantage
2012-03-26,1038.50,1038.50,1038.50,1038.50,0.00,Alphavantage
2012-03-27,1038.00,1043.00,1038.00,1038.00,474.00,Alphavantage
2012-03-28,1042.00,1042.00,1037.00,1029.00,768.00,Alphavantage
2012-03-29,1015.00,1017.00,1014.00,1011.00,3051.00,Alphavantage
2012-03-30,1017.00,1018.00,1016.00,1017.00,7048.00,Alphavantage
2012-04-02,1016.00,1030.00,1016.00,1032.00,8221.00,Alphavantage
2012-04-03,1033.00,1033.00,1031.00,1027.00,395.00,Alphavantage
2012-04-04,1020.00,1020.00,999.00,996.00,32119.00,Alphavantage
2012-04-05,1000.00,1003.00,996.00,1001.00,18269.00,Alphavantage
2012-04-10,992.00,993.00,992.00,992.00,13756.00,Alphavantage
2012-04-11,988.00,988.00,983.00,988.00,28256.00,Alphavantage
2012-04-12,996.00,997.00,993.00,1005.00,8187.00,Alphavantage
2012-04-13,996.00,996.00,992.00,991.00,17819.00,Alphavantage
2012-04-16,996.00,998.00,992.00,996.00,7242.00,Alphavantage
2012-04-17,1002.00,1004.00,1002.00,1006.00,2272.00,Alphavantage
2012-04-18,1008.00,1008.00,1004.00,1003.00,8566.00,Alphavantage
2012-04-19,1006.00,1007.00,1006.00,1006.00,2000.00,Alphavantage
