date,open,high,low,close,volume
2012-04-03,11104.0,11104.0,11104.0,10902.5,9,Alphavantage
2012-04-04,10792.5,10792.5,10792.5,10792.5,0,Alphavantage
2012-04-05,10824.5,10824.5,10824.5,10824.5,0,Alphavantage
2012-04-10,10745.5,10745.5,10745.5,10745.5,0,Alphavantage
2012-04-11,10759.5,10759.5,10759.5,10759.5,0,Alphavantage
2012-04-12,10900.5,10900.5,10900.5,10900.5,0,Alphavantage
2012-04-13,10788.5,10788.5,10788.5,10788.5,0,Alphavantage
2012-04-16,10881.5,10881.5,10881.5,10881.5,0,Alphavantage
2012-04-17,10982.5,10982.5,10982.5,10982.5,0,Alphavantage
2012-04-18,10982.5,10982.5,10982.5,10982.5,0,Alphavantage
2012-04-19,11040.0,11040.0,11040.0,11002.5,8,Alphavantage
2012-04-20,11002.5,11002.5,11002.5,11002.5,0,Alphavantage
2012-04-23,10895.5,10895.5,10895.5,10895.5,0,Alphavantage
2012-04-24,10933.5,10933.5,10933.5,10933.5,0,Alphavantage
2012-04-25,10932.5,10932.5,10932.5,10932.5,0,Alphavantage
2012-04-26,10932.5,10932.5,10932.5,10932.5,0,Alphavantage
2012-04-27,10993.5,10993.5,10993.5,10993.5,0,Alphavantage
2012-04-30,10950.5,10950.5,10950.5,10950.5,0,Alphavantage
2012-05-01,10950.5,10950.5,10950.5,10950.5,0,Alphavantage
2012-05-02,10993.5,10993.5,10993.5,10993.5,0,Alphavantage
2012-05-03,11057.5,11057.5,11057.5,11057.5,0,Alphavantage
2012-05-04,10916.5,10916.5,10916.5,10916.5,0,Alphavantage
2012-05-08,10916.5,10916.5,10916.5,10916.5,0,Alphavantage
2012-05-09,10916.5,10916.5,10916.5,10916.5,0,Alphavantage
2012-05-10,10916.5,10916.5,10916.5,10916.5,0,Alphavantage
2012-05-11,10916.5,10916.5,10916.5,10916.5,0,Alphavantage
2012-05-14,10740.5,10740.5,10740.5,10740.5,0,Alphavantage
2012-05-15,10676.5,10676.5,10676.5,10676.5,0,Alphavantage
2012-05-16,10676.5,10676.5,10676.5,10676.5,0,Alphavantage
2012-05-17,10617.5,10617.5,10617.5,10617.5,0,Alphavantage
2012-05-18,10498.5,10498.5,10498.5,10498.5,0,Alphavantage
2012-05-21,10559.5,10559.5,10559.5,10559.5,0,Alphavantage
2012-05-22,10630.0,10630.0,10630.0,10559.5,9,Alphavantage
2012-05-23,10491.5,10491.5,10491.5,10491.5,0,Alphavantage
2012-05-24,10632.5,10632.5,10632.5,10632.5,0,Alphavantage
2012-05-25,10632.5,10632.5,10632.5,10632.5,0,Alphavantage
2012-05-29,10707.5,10707.5,10707.5,10707.5,0,Alphavantage
2012-05-30,10707.5,10707.5,10707.5,10707.5,0,Alphavantage
2012-05-31,10606.0,10606.0,10606.0,10606.0,0,Alphavantage
2012-06-01,10685.0,10685.0,10685.0,10549.5,2,Alphavantage
2012-06-06,10689.5,10689.5,10689.5,10689.5,0,Alphavantage
2012-06-07,10727.5,10727.5,10727.5,10727.5,0,Alphavantage
2012-06-08,10797.5,10797.5,10797.5,10797.5,0,Alphavantage
2012-06-11,10786.5,10786.5,10786.5,10786.5,0,Alphavantage
2012-06-12,10850.0,10850.0,10850.0,10877.5,28,Alphavantage
2012-06-13,10864.5,10864.5,10864.5,10864.5,0,Alphavantage
2012-06-14,10886.5,10886.5,10886.5,10886.5,0,Alphavantage
2012-06-15,10816.5,10816.5,10816.5,10816.5,0,Alphavantage
2012-06-18,10850.5,10850.5,10850.5,10850.5,0,Alphavantage
2012-06-19,10980.5,10980.5,10980.5,10980.5,0,Alphavantage
2012-06-20,11022.5,11022.5,11022.5,11022.5,0,Alphavantage
2012-06-21,10995.5,10995.5,10995.5,10995.5,0,Alphavantage
2012-06-22,10904.5,10904.5,10904.5,10904.5,0,Alphavantage
2012-06-25,10824.5,10824.5,10824.5,10824.5,0,Alphavantage
2012-06-26,10829.5,10829.5,10829.5,10829.5,0,Alphavantage
2012-06-27,10921.5,10921.5,10921.5,10921.5,0,Alphavantage
2012-06-28,10921.5,10921.5,10921.5,10921.5,0,Alphavantage
2012-06-29,10921.5,10921.5,10921.5,10921.5,0,Alphavantage
2012-07-02,11144.0,11144.0,11144.0,11177.5,2,Alphavantage
2012-07-03,11252.5,11252.5,11252.5,11252.5,0,Alphavantage
2012-07-04,11252.5,11252.5,11252.5,11252.5,0,Alphavantage
2012-07-05,11278.5,11278.5,11278.5,11278.5,0,Alphavantage
2012-07-06,11276.5,11276.5,11276.5,11276.5,0,Alphavantage
