date,open,high,low,close,volume
2012-05-23,2012.00,2015.00,2010.00,2014.00,10260.00,Alphavantage
2012-05-25,2027.00,2027.00,2020.00,2021.50,10148.00,Alphavantage
2012-05-29,2018.00,2020.80,2018.00,2018.00,1193.00,Alphavantage
2012-05-30,2028.00,2028.00,2028.00,2032.50,49.00,Alphavantage
2012-05-31,2037.00,2037.00,2037.00,2045.50,12500.00,Alphavantage
2012-06-06,2044.00,2044.00,2044.00,2041.00,61.00,Alphavantage
2012-06-11,2038.00,2038.00,2036.00,2034.00,1472.00,Alphavantage
2012-06-12,2029.00,2029.00,2029.00,2024.00,12500.00,Alphavantage
2012-06-13,2015.00,2015.00,2012.70,2012.50,469.00,Alphavantage
2012-06-14,2009.00,2009.00,2009.00,2007.50,147.00,Alphavantage
2012-06-15,2021.60,2021.60,2021.60,2022.50,533.00,Alphavantage
2012-06-18,2035.00,2035.00,2035.00,2030.00,533.00,Alphavantage
2012-06-19,2025.00,2025.00,2025.00,2019.00,12500.00,Alphavantage
2012-06-20,2025.00,2025.00,2025.00,2019.00,900.00,Alphavantage
2012-06-21,2033.00,2033.00,2033.00,2033.00,0.00,Alphavantage
2012-06-22,2036.00,2036.00,2036.00,2036.00,0.00,Alphavantage
2012-06-25,2042.00,2042.00,2042.00,2042.00,0.00,Alphavantage
2012-06-26,2032.00,2032.00,2032.00,2037.00,951.00,Alphavantage
2012-06-27,2035.00,2035.00,2032.70,2031.00,793.00,Alphavantage
2012-06-28,2041.00,2041.00,2041.00,2041.00,0.00,Alphavantage
2012-06-29,2022.60,2022.60,2022.60,2023.50,150.00,Alphavantage
2012-07-02,2031.50,2031.50,2031.50,2031.50,0.00,Alphavantage
2012-07-03,2015.50,2015.50,2015.50,2015.50,0.00,Alphavantage
2012-07-04,2024.00,2024.00,2024.00,2021.00,2139.00,Alphavantage
2012-07-05,2025.00,2025.00,2025.00,2025.00,0.00,Alphavantage
2012-07-06,2035.50,2035.50,2035.50,2035.50,0.00,Alphavantage
2012-07-09,2030.00,2048.90,2028.00,2039.00,986.00,Alphavantage
2012-07-10,2041.57,2041.60,2041.57,2039.00,1064.00,Alphavantage
2012-07-11,2043.57,2043.60,2043.57,2043.00,488.00,Alphavantage
2012-07-12,2050.00,2050.00,2050.00,2050.00,978.00,Alphavantage
2012-07-13,2050.50,2050.50,2050.50,2050.50,0.00,Alphavantage
2012-07-16,2059.50,2059.50,2059.50,2059.50,0.00,Alphavantage
2012-07-17,2061.00,2061.00,2055.30,2058.50,1309.00,Alphavantage
2012-07-18,2063.50,2063.50,2063.50,2063.50,0.00,Alphavantage
2012-07-19,2061.00,2061.00,2057.60,2057.00,361.00,Alphavantage
