date,open,high,low,close,volume
2018-10-01,48.130001,48.25,44.990002,46.360001,929,null
2018-11-01,46.060001,47.400002,45.52,47.0,353,null
2018-12-01,47.720001,47.810001,42.110001,43.259998,3005,null
2019-01-01,43.259998,46.41,42.709999,46.330002,757,null
2019-02-01,46.290001,48.23,46.189999,47.869999,1904,null
2019-03-01,47.849998,48.965,47.41,48.325001,2765,null
2019-04-01,48.509998,49.845001,48.509998,49.450001,7276,null
2019-05-01,49.450001,49.715,47.32,47.599998,4006,null
2019-06-01,46.970001,49.494999,46.889999,48.380001,5653,null
2019-07-01,49.275002,50.0,48.66,49.005001,2855,null
2019-08-01,49.174999,49.294998,46.16,48.040001,3768,null
2019-09-01,47.915001,49.814999,47.720001,49.634998,1424,null
2019-09-13,44.715,44.715,44.384998,44.422501,10099,null
