date,open,high,low,close,volume
2018-10-01,975.875,982.75,907.5,931.75,120191,null
2018-11-01,927.75,943.0,908.0,925.25,124169,null
2018-12-01,940.625,945.5,910.75,941.625,194884,null
2019-01-01,941.625,950.0,919.875,928.25,45526,null
2019-02-01,929.75,960.25,922.125,922.125,54799,null
2019-03-01,920.5,936.875,900.0,917.625,19281,null
2019-04-01,903.5,922.25,889.0,905.125,21729,null
2019-05-01,906.5,934.75,870.0,936.5,21945,null
2019-06-01,933.75,960.0,926.25,951.375,67160,null
2019-07-01,964.625,982.625,961.625,964.875,26076,null
2019-08-01,974.375,974.375,913.625,927.75,79569,null
2019-09-01,936.125,936.125,921.0,925.0,33466,null
2019-09-11,928.0,928.0,928.0,920.0,354,null
