date,open,high,low,close,volume
2018-10-01,1866.400024,1869.800049,1717.300049,1753.400024,26517,null
2018-11-01,1743.599976,1792.400024,1737.400024,1780.5,42037,null
2018-12-01,1797.800049,1800.400024,1676.300049,1699.599976,71270,null
2019-01-01,1699.599976,1765.900024,1699.599976,1748.199951,310529,null
2019-02-01,1763.300049,1798.0,1726.400024,1786.900024,253708,null
2019-03-01,1798.300049,1847.5,1770.540039,1803.699951,245416,null
2019-04-01,1813.0,1859.699951,1813.0,1833.599976,14527,null
2019-05-01,1834.699951,1834.699951,20.299999,20.33,15690,null
2019-06-01,1788.400024,1873.199951,1788.400024,1867.099976,1051,null
2019-07-01,1880.099976,1926.0,1872.099976,1892.599976,25077,null
2019-08-01,1889.0,1889.0,1793.599976,1831.300049,8592,null
2019-09-01,1853.0,1872.199951,1847.0,1872.199951,115,null
2019-09-03,1849.0,1849.0,1849.0,1883.699951,20,null
