date,open,high,low,close,volume
2014-07-14,1310.00,1310.00,1298.50,1308.75,1500.00,Alphavantage
2014-07-15,1285.50,1285.50,1285.50,1285.50,0.00,Alphavantage
2014-07-16,1292.50,1292.50,1292.50,1292.50,0.00,Alphavantage
2014-07-17,1291.50,1291.50,1291.50,1291.50,0.00,Alphavantage
2014-07-18,1283.25,1283.25,1283.25,1283.25,0.00,Alphavantage
2014-07-21,1277.00,1279.00,1277.00,1275.00,1090.00,Alphavantage
2014-07-22,1284.50,1284.50,1284.50,1284.50,0.00,Alphavantage
2014-07-23,1286.75,1286.75,1286.75,1286.75,0.00,Alphavantage
2014-07-24,1280.00,1280.00,1277.00,1279.25,602.00,Alphavantage
2014-07-25,1262.25,1262.25,1262.25,1262.25,0.00,Alphavantage
2014-07-28,1250.75,1250.75,1250.75,1250.75,0.00,Alphavantage
2014-07-29,1255.75,1255.75,1255.75,1255.75,0.00,Alphavantage
2014-07-30,1244.75,1244.75,1244.75,1244.75,0.00,Alphavantage
2014-07-31,1218.00,1218.00,1218.00,1218.00,0.00,Alphavantage
2014-08-01,1211.00,1211.00,1196.00,1208.75,332.00,Alphavantage
2014-08-04,1197.25,1197.25,1197.25,1197.25,0.00,Alphavantage
2014-08-05,1191.00,1191.00,1191.00,1191.00,0.00,Alphavantage
2014-08-06,1179.75,1179.75,1179.75,1179.75,0.00,Alphavantage
2014-08-07,1178.50,1179.02,1178.50,1175.25,660.00,Alphavantage
2014-08-08,1171.00,1171.03,1171.00,1180.00,1340.00,Alphavantage
2014-08-11,1206.50,1206.50,1206.50,1206.50,0.00,Alphavantage
2014-08-12,1190.25,1190.25,1190.25,1190.25,0.00,Alphavantage
2014-08-13,1207.00,1207.00,1207.00,1207.00,0.00,Alphavantage
2014-08-14,1221.00,1221.00,1221.00,1219.00,280.00,Alphavantage
2014-08-15,1210.00,1210.00,1210.00,1210.00,0.00,Alphavantage
2014-08-18,1221.00,1221.00,1221.00,1221.00,0.00,Alphavantage
2014-08-19,1237.50,1237.50,1237.50,1237.50,0.00,Alphavantage
2014-08-20,1229.50,1229.50,1229.50,1229.50,0.00,Alphavantage
2014-08-21,1238.00,1238.00,1238.00,1238.00,0.00,Alphavantage
2014-08-22,1235.00,1245.00,1235.00,1236.00,296.00,Alphavantage
2014-08-26,1250.50,1250.50,1250.50,1250.50,0.00,Alphavantage
2014-08-27,1251.00,1251.00,1251.00,1252.25,6000.00,Alphavantage
2014-08-28,1234.00,1234.00,1234.00,1234.00,0.00,Alphavantage
2014-08-29,1227.50,1227.50,1227.50,1227.50,0.00,Alphavantage
2014-09-01,1226.50,1226.50,1226.50,1226.50,0.00,Alphavantage
2014-09-02,1238.00,1238.00,1238.00,1238.00,0.00,Alphavantage
2014-09-03,1252.50,1252.50,1252.50,1252.50,0.00,Alphavantage
2014-09-04,1244.50,1244.50,1244.50,1244.50,0.00,Alphavantage
