date,open,high,low,close,volume
2018-10-01,4338.0,4338.0,3915.0,4052.25,886236,null
2018-11-01,4019.0,4068.0,3938.0,4013.5,263106,null
2018-12-01,4095.5,4095.5,3771.0,3854.0,1044274,null
2019-01-01,3854.0,3978.5,3803.5,3944.0,1253938,null
2019-02-01,3971.0,4091.5,3918.5,4052.75,864491,null
2019-03-01,4091.5,4212.0,4033.0,4146.0,642595,null
2019-04-01,4173.5,4370.0,4150.0,4357.75,1194649,null
2019-05-01,4373.459961,4378.0,4166.5,4248.75,604023,null
2019-06-01,4217.0,4567.5,4216.0,4567.0,885374,null
2019-07-01,4615.0,4722.0,4584.5,4638.0,255325,null
2019-08-01,4649.5,4674.0,4388.5,4550.5,410919,null
2019-09-01,4582.5,4634.0,4558.5,4612.75,201370,null
2019-09-13,4649.0,4658.5,4649.0,4652.25,7202,null
