date,open,high,low,close,volume
2018-10-01,679.0,706.0,677.25,694.0,182939,null
2018-11-01,699.25,705.75,683.5,695.0,310951,null
2018-12-01,700.0,735.5,700.0,729.625,310511,null
2019-01-01,729.625,751.25,725.75,749.625,671745,null
2019-02-01,749.25,762.0,739.75,744.25,292566,null
2019-03-01,741.25,747.0,726.25,731.375,146028,null
2019-04-01,731.75,738.5,715.5,723.375,458300,null
2019-05-01,722.25,732.75,715.5,731.25,233638,null
2019-06-01,738.25,803.25,738.25,791.125,276577,null
2019-07-01,778.75,804.5,778.0,798.75,239170,null
2019-08-01,789.5,861.0,789.5,853.875,147438,null
2019-09-01,852.0,862.75,833.0,834.0,42472,null
2019-09-13,840.0,840.0,834.0,833.125,4198,null
