date,open,high,low,close,volume
2008-02-13,2176.50,2176.50,2176.50,2185.00,229.00,Alphavantage
2008-02-14,2200.38,2200.38,2200.38,2200.38,0.00,Alphavantage
2008-02-15,2191.75,2191.75,2191.75,2191.75,0.00,Alphavantage
2008-02-18,2236.38,2236.38,2236.38,2236.38,0.00,Alphavantage
2008-02-19,2247.25,2247.25,2247.25,2247.25,0.00,Alphavantage
2008-02-20,2214.63,2214.63,2214.63,2214.63,0.00,Alphavantage
2008-02-21,2244.00,2244.00,2244.00,2244.00,0.00,Alphavantage
2008-02-22,2196.25,2196.25,2196.25,2196.25,0.00,Alphavantage
2008-02-25,2259.25,2259.25,2259.25,2259.25,0.00,Alphavantage
2008-02-26,2261.00,2261.00,2261.00,2261.00,0.00,Alphavantage
2008-02-27,2273.25,2273.25,2273.25,2273.25,0.00,Alphavantage
2008-02-28,2269.25,2269.25,2269.25,2269.25,0.00,Alphavantage
2008-02-29,2227.50,2227.50,2227.50,2227.50,0.00,Alphavantage
2008-03-03,2186.00,2186.00,2186.00,2186.00,0.00,Alphavantage
2008-03-04,2146.50,2146.50,2146.50,2146.50,0.00,Alphavantage
2008-03-05,2189.50,2189.50,2189.50,2189.50,0.00,Alphavantage
2008-03-06,2130.88,2130.88,2130.88,2130.88,0.00,Alphavantage
2008-03-07,2092.50,2092.50,2092.50,2092.50,0.00,Alphavantage
2008-03-10,2063.88,2063.88,2063.88,2063.88,0.00,Alphavantage
2008-03-11,2101.00,2101.00,2101.00,2101.00,0.00,Alphavantage
2008-03-12,2158.75,2158.75,2158.75,2158.75,0.00,Alphavantage
2008-03-13,2091.25,2091.25,2091.25,2091.25,0.00,Alphavantage
2008-03-14,2077.50,2077.50,2077.50,2077.50,0.00,Alphavantage
2008-03-17,2007.38,2007.38,2007.38,2007.38,0.00,Alphavantage
2008-03-18,2059.00,2059.00,2059.00,2059.00,0.00,Alphavantage
2008-03-19,2082.75,2082.75,2082.75,2082.75,0.00,Alphavantage
2008-03-20,2050.63,2050.63,2050.63,2050.63,0.00,Alphavantage
2008-03-25,2127.00,2127.00,2127.00,2151.75,139.00,Alphavantage
2008-03-26,2138.13,2138.13,2138.13,2138.13,0.00,Alphavantage
2008-03-27,2170.50,2170.50,2170.50,2170.50,0.00,Alphavantage
2008-03-28,2180.50,2180.50,2180.50,2178.38,539.00,Alphavantage
2008-03-31,2245.75,2245.75,2245.75,2245.75,0.00,Alphavantage
2008-04-01,2237.25,2237.25,2237.25,2237.25,0.00,Alphavantage
2008-04-02,2291.25,2291.25,2291.25,2291.25,0.00,Alphavantage
2008-04-03,2271.25,2271.25,2271.25,2261.13,583.00,Alphavantage
2008-04-04,2278.00,2278.00,2278.00,2278.00,0.00,Alphavantage
2008-04-07,2310.00,2310.00,2310.00,2309.50,486.00,Alphavantage
2008-04-08,2298.00,2298.00,2298.00,2298.75,1999.00,Alphavantage
2008-04-09,2277.00,2277.00,2277.00,2277.00,0.00,Alphavantage
2008-04-10,2257.13,2257.13,2257.13,2257.13,0.00,Alphavantage
2008-04-11,2240.75,2240.75,2240.75,2240.75,0.00,Alphavantage
2008-04-14,2196.50,2196.50,2196.50,2196.50,0.00,Alphavantage
2008-04-15,2222.13,2222.13,2222.13,2222.13,0.00,Alphavantage
2008-04-16,2238.50,2238.50,2238.50,2251.00,1564.00,Alphavantage
2008-04-17,2231.88,2231.88,2231.88,2231.88,0.00,Alphavantage
2008-04-18,2257.13,2257.13,2257.13,2257.13,0.00,Alphavantage
2008-04-21,2262.00,2262.00,2262.00,2262.38,1322.00,Alphavantage
2008-04-22,2225.00,2225.00,2225.00,2220.38,488.00,Alphavantage
2008-04-23,2237.25,2237.25,2237.25,2237.25,0.00,Alphavantage
2008-04-24,2233.13,2233.13,2233.13,2233.13,0.00,Alphavantage
2008-04-25,2240.63,2240.63,2240.63,2240.63,0.00,Alphavantage
2008-04-28,2265.88,2265.88,2265.88,2265.88,0.00,Alphavantage
2008-04-29,2275.00,2275.00,2275.00,2275.00,0.00,Alphavantage
2008-04-30,2280.75,2280.75,2280.75,2275.75,586.00,Alphavantage
2008-05-01,2277.50,2277.50,2277.50,2277.50,0.00,Alphavantage
2008-05-02,2318.88,2318.88,2318.88,2318.88,0.00,Alphavantage
2008-05-06,2294.25,2294.25,2294.25,2290.13,1123.00,Alphavantage
2008-05-07,2322.50,2322.50,2322.50,2354.88,1128.00,Alphavantage
2008-05-08,2343.00,2343.00,2343.00,2334.88,1028.00,Alphavantage
2008-05-09,2340.75,2340.75,2340.75,2340.75,0.00,Alphavantage
2008-05-12,2331.13,2331.13,2331.13,2331.13,0.00,Alphavantage
2008-05-13,2356.38,2356.38,2356.38,2356.38,0.00,Alphavantage
2008-05-14,2372.63,2372.63,2372.63,2372.63,0.00,Alphavantage
2008-05-15,2374.75,2374.75,2374.75,2364.00,3878.00,Alphavantage
2008-05-16,2394.25,2394.25,2394.25,2394.25,0.00,Alphavantage
2008-05-19,2377.13,2377.13,2377.13,2377.13,0.00,Alphavantage
2008-05-20,2326.88,2326.88,2326.88,2326.88,0.00,Alphavantage
