date,open,high,low,close,volume
2018-10-01,78.889999,78.93,70.730003,73.18,60417,null
2018-11-01,73.260002,75.589996,70.879997,73.790001,52184,null
2018-12-01,75.389999,75.440002,65.220001,67.309998,155391,null
2019-01-01,67.309998,72.769997,66.129997,72.769997,34476,null
2019-02-01,73.300003,76.339996,72.779999,75.709999,268704,null
2019-03-01,75.669998,77.660004,74.040001,76.790001,31818,null
2019-04-01,77.519997,80.029999,77.519997,80.029999,22946,null
2019-05-01,80.029999,80.029999,76.739998,77.230003,42093,null
2019-06-01,75.120003,80.610001,75.120003,79.669998,35536,null
2019-07-01,81.019997,82.620003,80.889999,82.470001,19801,null
2019-08-01,82.470001,82.470001,77.379997,79.050003,53905,null
2019-09-01,79.93,81.75,79.18,81.57,53668,null
2019-09-13,6637.0,6637.0,6622.0,6624.0,8431,null
