date,open,high,low,close,volume
2007-08-22,46.43,46.43,46.43,46.43,1,Alphavantage
2007-08-23,46.29,46.29,46.29,46.29,0,Alphavantage
2007-08-24,46.43,46.43,46.43,46.43,0,Alphavantage
2007-08-28,47.3,47.3,47.3,47.3,0,Alphavantage
2007-08-29,46.75,46.75,46.75,46.75,0,Alphavantage
2007-08-30,47.27,47.27,47.27,47.27,0,Alphavantage
2007-08-31,47.69,47.69,47.69,47.69,0,Alphavantage
2007-09-03,48.25,48.25,48.25,48.25,0,Alphavantage
2007-09-04,48.21,48.21,48.21,48.21,0,Alphavantage
2007-09-05,48.21,48.21,48.21,48.21,0,Alphavantage
2007-09-06,48.04,48.04,48.04,48.04,0,Alphavantage
2007-09-07,47.53,47.53,47.53,47.53,0,Alphavantage
2007-09-10,47.38,47.38,47.38,47.38,0,Alphavantage
2007-09-11,47.38,47.38,47.38,47.38,0,Alphavantage
2007-09-12,47.44,47.44,47.44,47.44,0,Alphavantage
2007-09-13,48.53,48.53,48.53,48.53,1,Alphavantage
2007-09-14,48.0,48.0,48.0,48.0,1,Alphavantage
2007-09-17,47.63,47.63,47.63,47.63,1,Alphavantage
2007-09-18,47.64,47.64,47.64,47.64,0,Alphavantage
2007-09-19,48.78,48.78,48.78,48.78,1,Alphavantage
2007-09-20,48.49,48.49,48.49,48.49,0,Alphavantage
2007-09-21,47.99,47.99,47.99,47.99,1,Alphavantage
2007-09-24,47.84,47.84,47.84,47.84,0,Alphavantage
2007-09-25,47.83,47.83,47.83,47.83,0,Alphavantage
2007-09-26,47.72,47.72,47.72,47.72,0,Alphavantage
2007-09-27,47.86,47.86,47.86,47.86,1,Alphavantage
2007-09-28,47.85,47.85,47.85,47.85,0,Alphavantage
2007-10-01,47.5,47.5,47.5,47.5,0,Alphavantage
2007-10-02,47.84,47.84,47.84,47.84,0,Alphavantage
2007-10-03,47.65,47.65,47.65,47.65,0,Alphavantage
2007-10-04,47.38,47.38,47.38,47.38,0,Alphavantage
2007-10-05,47.38,47.38,47.38,47.38,0,Alphavantage
2007-10-08,47.92,47.92,47.9,47.9,25,Alphavantage
2007-10-09,47.69,47.69,47.69,47.69,0,Alphavantage
2007-10-10,47.95,47.95,47.95,47.95,0,Alphavantage
2007-10-11,47.95,47.95,47.95,47.95,0,Alphavantage
2007-10-12,47.79,47.79,47.79,47.79,0,Alphavantage
2007-10-15,47.92,47.92,47.92,47.92,2,Alphavantage
2007-10-16,47.79,47.79,47.79,47.79,0,Alphavantage
2007-10-17,47.79,47.79,47.79,47.79,0,Alphavantage
2007-10-18,48.44,48.44,48.44,48.44,0,Alphavantage
2007-10-19,48.44,48.44,48.44,48.44,0,Alphavantage
2007-10-22,47.73,47.73,47.73,47.73,2,Alphavantage
2007-10-23,48.22,48.22,48.22,48.22,0,Alphavantage
2007-10-24,48.48,48.48,48.48,48.48,0,Alphavantage
2007-10-25,48.66,48.66,48.66,48.66,0,Alphavantage
2007-10-26,48.93,48.93,48.93,48.93,0,Alphavantage
2007-10-29,49.27,49.27,49.27,49.27,0,Alphavantage
2007-10-30,49.27,49.27,49.27,49.27,0,Alphavantage
2007-10-31,49.27,49.27,49.27,49.27,0,Alphavantage
2007-11-01,49.83,49.83,49.6,49.6,15,Alphavantage
2007-11-02,49.49,49.49,49.49,49.49,0,Alphavantage
