date,open,high,low,close,volume
2008-01-02,74.36,74.36,74.36,74.36,10200.00,Alphavantage
2008-01-03,74.79,75.16,74.79,74.79,0.00,Alphavantage
2008-01-04,75.08,76.00,74.88,75.20,10085.00,Alphavantage
2008-01-07,75.31,75.31,75.10,75.10,48.00,Alphavantage
2008-01-08,74.57,74.89,74.57,74.57,0.00,Alphavantage
2008-01-09,75.09,75.09,73.06,73.06,111.00,Alphavantage
2008-01-10,72.89,72.89,72.89,72.89,110.00,Alphavantage
2008-01-11,71.54,71.54,71.03,71.03,2.00,Alphavantage
2008-01-14,71.52,71.54,71.47,71.50,2354.00,Alphavantage
2008-01-15,68.72,69.01,68.72,68.72,0.00,Alphavantage
2008-01-16,67.78,67.79,67.78,67.79,84.00,Alphavantage
2008-01-17,67.44,67.44,66.89,66.89,108.00,Alphavantage
2008-01-18,67.05,67.05,67.05,67.05,0.00,Alphavantage
2008-01-21,62.43,62.93,62.43,62.43,0.00,Alphavantage
2008-01-22,61.87,61.87,61.87,61.87,4.00,Alphavantage
2008-01-23,61.58,61.58,61.58,61.58,133.00,Alphavantage
2008-01-24,61.66,62.57,61.66,62.57,24.00,Alphavantage
2008-01-25,64.90,64.90,64.80,64.86,415.00,Alphavantage
2008-01-28,63.14,63.52,63.14,63.14,0.00,Alphavantage
2008-01-29,63.91,64.49,63.56,63.56,475.00,Alphavantage
2008-01-30,62.94,63.32,62.94,62.94,0.00,Alphavantage
2008-01-31,63.02,63.02,63.02,63.02,983.00,Alphavantage
2008-02-01,64.03,64.40,63.73,64.15,2317.00,Alphavantage
2008-02-04,64.75,65.14,64.75,64.75,0.00,Alphavantage
2008-02-05,65.56,65.56,65.56,65.56,4.00,Alphavantage
2008-02-06,64.18,64.20,64.18,64.20,9800.00,Alphavantage
2008-02-07,63.03,63.17,63.03,63.03,0.00,Alphavantage
2008-02-08,64.06,64.35,64.06,64.06,0.00,Alphavantage
2008-02-11,63.71,63.99,63.71,63.71,0.00,Alphavantage
2008-02-12,65.98,66.36,65.98,65.98,0.00,Alphavantage
2008-02-13,65.75,66.04,65.75,65.75,0.00,Alphavantage
2008-02-14,66.84,66.84,66.84,66.84,1.00,Alphavantage
2008-02-15,66.51,66.69,65.74,65.74,5207.00,Alphavantage
2008-02-18,66.26,66.26,66.26,66.26,14.00,Alphavantage
2008-02-19,66.97,67.27,66.97,66.97,0.00,Alphavantage
2008-02-20,66.81,66.81,66.81,66.81,177.00,Alphavantage
2008-02-21,66.97,66.97,66.97,66.97,5000.00,Alphavantage
2008-02-22,66.03,66.03,66.03,66.03,114.00,Alphavantage
2008-02-25,67.57,68.06,67.57,67.57,0.00,Alphavantage
2008-02-26,68.04,68.23,67.66,68.16,10617.00,Alphavantage
2008-02-27,68.00,68.00,67.36,67.39,183.00,Alphavantage
2008-02-28,67.10,67.10,67.02,67.02,60.00,Alphavantage
2008-02-29,65.88,66.14,65.88,65.88,0.00,Alphavantage
2008-03-03,65.64,65.64,65.64,65.64,8.00,Alphavantage
2008-03-04,64.67,64.67,64.62,64.62,32.00,Alphavantage
2008-03-05,65.62,65.62,65.62,65.62,18.00,Alphavantage
2008-03-06,65.55,65.55,65.55,65.55,2.00,Alphavantage
2008-03-07,64.42,64.69,64.42,64.69,118.00,Alphavantage
2008-03-10,64.81,64.81,64.81,64.81,1.00,Alphavantage
2008-03-11,65.12,65.12,65.12,65.12,1047.00,Alphavantage
2008-03-12,65.65,65.65,65.00,65.48,1185.00,Alphavantage
2008-03-13,64.47,64.47,63.74,63.74,2109.00,Alphavantage
2008-03-14,62.96,62.96,62.96,62.96,41.00,Alphavantage
2008-03-17,62.05,62.05,61.62,61.62,24.00,Alphavantage
2008-03-18,61.18,61.46,61.17,61.31,2289.00,Alphavantage
2008-03-19,61.20,61.25,61.20,61.25,105.00,Alphavantage
2008-03-20,59.56,60.03,59.56,60.03,121.00,Alphavantage
2008-03-25,60.98,61.00,60.90,60.90,286.00,Alphavantage
2008-03-26,61.35,61.60,61.35,61.35,0.00,Alphavantage
2008-03-27,61.58,62.35,61.58,62.35,200.00,Alphavantage
2008-03-28,61.91,61.91,61.91,61.91,895.00,Alphavantage
2008-03-31,61.51,61.64,61.51,61.51,0.00,Alphavantage
2008-04-01,62.25,62.25,62.25,62.25,39.00,Alphavantage
2008-04-02,62.70,62.87,62.70,62.70,0.00,Alphavantage
2008-04-03,63.51,63.64,63.51,63.51,0.00,Alphavantage
2008-04-04,63.97,63.97,63.97,63.97,188.00,Alphavantage
2008-04-07,64.13,64.13,64.13,64.13,77.00,Alphavantage
2008-04-08,64.05,64.50,64.05,64.05,0.00,Alphavantage
2008-04-09,65.06,65.53,65.06,65.06,0.00,Alphavantage
2008-04-10,65.41,65.87,65.41,65.41,0.00,Alphavantage
2008-04-11,66.01,66.01,66.01,66.01,1.00,Alphavantage
2008-04-14,64.43,65.07,64.43,65.07,90.00,Alphavantage
2008-04-15,65.90,65.94,65.80,65.83,7660.00,Alphavantage
2008-04-16,66.22,66.22,66.22,66.22,6.00,Alphavantage
2008-04-17,67.23,67.23,67.02,67.02,9927.00,Alphavantage
2008-04-18,68.08,68.22,68.08,68.08,0.00,Alphavantage
2008-04-21,68.37,68.42,68.37,68.42,69.00,Alphavantage
2008-04-22,68.68,68.68,68.68,68.68,1.00,Alphavantage
2008-04-23,69.18,69.27,69.18,69.27,344.00,Alphavantage
2008-04-24,68.61,68.78,68.61,68.61,0.00,Alphavantage
2008-04-25,69.45,69.67,69.45,69.45,0.00,Alphavantage
2008-04-28,70.21,70.21,70.21,70.21,1045.00,Alphavantage
2008-04-29,71.30,71.49,71.30,71.30,0.00,Alphavantage
2008-04-30,71.04,71.04,71.04,71.04,36.00,Alphavantage
2008-05-02,72.00,72.26,72.00,72.00,0.00,Alphavantage
2008-05-06,72.50,72.55,72.50,72.55,67.00,Alphavantage
2008-05-07,73.17,73.69,73.17,73.69,90.00,Alphavantage
2008-05-08,73.61,73.83,73.40,73.80,169.00,Alphavantage
2008-05-09,73.03,74.45,72.50,72.83,286.00,Alphavantage
2008-05-12,73.72,73.72,73.53,73.69,2942.00,Alphavantage
2008-05-13,71.95,72.48,71.90,72.48,5984.00,Alphavantage
2008-05-14,73.22,73.22,73.22,73.22,3.00,Alphavantage
2008-05-15,73.29,73.60,73.29,73.60,76.00,Alphavantage
2008-05-16,74.49,75.56,74.49,75.09,1026.00,Alphavantage
2008-05-19,76.00,76.66,76.00,76.66,138.00,Alphavantage
2008-05-20,76.76,76.76,76.00,76.14,460.00,Alphavantage
2008-05-21,77.14,77.67,77.14,77.63,240.00,Alphavantage
2008-05-22,78.42,78.42,77.98,77.98,793.00,Alphavantage
2008-05-23,77.50,77.50,77.31,77.31,81.00,Alphavantage
2008-05-27,75.01,75.01,75.01,75.01,15.00,Alphavantage
2008-05-28,74.27,74.47,73.50,74.47,150.00,Alphavantage
2008-05-29,75.58,75.58,75.58,75.58,16.00,Alphavantage
2008-05-30,74.69,75.28,74.69,75.28,80.00,Alphavantage
2008-06-02,73.91,73.91,73.91,73.91,15.00,Alphavantage
2008-06-03,73.68,73.68,73.68,73.68,17.00,Alphavantage
2008-06-04,72.50,72.50,72.50,72.50,249.00,Alphavantage
2008-06-05,72.05,72.45,71.78,72.41,177.00,Alphavantage
