date,open,high,low,close,volume
2018-10-01,18284.0,18295.0,18284.0,18293.0,86237,null
2018-11-01,18295.0,18303.0,18293.0,18302.0,57519,null
2018-12-01,18301.0,18322.0,202.0,202.729996,33538,null
2019-01-01,18310.0,18320.0,18308.0,18319.0,58711,null
2019-02-01,18318.0,18328.0,207.886002,213.860001,26094,null
2019-03-01,18326.0,18338.0,18324.0,18335.0,18403,null
2019-04-01,18336.0,18336.0,18161.0,18168.0,82015,null
2019-05-01,18166.0,18178.0,18160.0,18176.0,33940,null
2019-06-01,18179.0,18186.0,18140.0,18184.0,17775,null
2019-07-01,18183.0,18216.0,18183.0,18194.0,14826,null
2019-08-01,18191.0,18204.0,18191.0,18201.5,16422,null
2019-09-01,18200.0,18208.0,18196.0,18205.0,6521,null
2019-09-13,18210.0,18210.0,18202.0,18204.5,300,null
