date,open,high,low,close,volume
2018-10-01,7157.0,7199.0,6513.0,6752.0,164835,null
2018-11-01,6704.0,6780.0,6588.0,6677.0,235766,null
2018-12-01,6804.0,6804.0,6238.0,6391.5,161679,null
2019-01-01,6391.5,6687.0,6306.0,6596.5,255280,null
2019-02-01,6637.0,6850.0,6601.0,6754.0,72815,null
2019-03-01,6787.0,7014.0,6735.0,6935.0,108088,null
2019-04-01,6966.0,7220.0,6955.0,7179.0,108330,null
2019-05-01,7191.0,7191.0,6901.0,7027.0,91461,null
2019-06-01,6974.0,7452.0,6974.0,7447.0,303043,null
2019-07-01,7528.0,7720.0,7491.0,7590.0,93758,null
2019-08-01,7614.0,7634.0,7229.0,7429.0,85365,null
2019-09-01,7450.0,7577.0,7450.0,7590.0,250231,null
2019-09-13,7587.0,7587.0,7560.0,7564.0,22,null
