Name,Symbol
WisdomTree Core Physical Gold,GLDW
iShares Core MSCI World ETF USD Acc GBP UCITS,SWDA
iShares Core Euro Government Bond UCITS ETF (Dist),SEGA
Invesco Markets II Plc US Treasury Bond 7-10 Year UCITS ETF Hedge - Dist,TRXS
WisdomTree Enhanced Cmdty ETF USD Acc GBP UCITS,WCOB
iShares Global Inflation Linked Government Bond UCITS ETF GBP Hedged (Dist),GILG
iShares MSCI World Small Cap UCITS ETF USD Acc,WSML
iShares USD Short Duration High Yield Corporate Bond UCITS ETF,IHYG
iShares Global High Yield Corp Bond UCITS ETF USD Acc,SDHG
Xtrackers II Global Government Bond UCITS ETF 5C GBP,XG7S

