Date,Open,High,Low,Close,Volume
2017-04-19,193.04,193.04,193.04,193.04,0
2017-04-18,193.65,193.65,193.65,193.65,0
2017-04-13,196.64,196.64,196.64,196.64,0
2017-04-12,198.47,198.47,198.47,198.47,0
2017-04-11,197.59,197.59,197.59,197.59,0
2017-04-10,194.79,194.79,194.79,194.79,0
2017-04-07,193.92,193.92,193.92,193.92,0
2017-04-06,194.24,194.24,194.24,194.24,0
2017-04-05,192.34,192.34,192.34,192.34,0
2017-04-04,192.3,192.3,192.3,192.3,0
2017-04-03,191.51,191.51,191.51,191.51,0
2017-03-31,188.15,188.15,188.15,188.15,0
2017-03-30,186.56,186.56,186.56,186.56,0
2017-03-29,186.27,186.27,186.27,186.27,0
2017-03-28,186.79,186.79,186.79,186.79,0
2017-03-27,187.2,187.2,187.2,187.2,0
2017-03-24,186.77,186.77,186.77,186.77,0
2017-03-23,185.74,185.74,185.74,185.74,0
2017-03-22,182.98,182.98,182.98,182.98,0
2017-03-21,181.86,181.86,181.86,181.86,0
2017-03-17,184.47,184.47,184.47,184.47,0
2017-03-16,185.14,185.14,185.14,185.14,0
2017-03-15,185.23,185.23,185.23,185.23,0
2017-03-14,185.24,185.24,185.24,185.24,0
2017-03-13,185.17,185.17,185.17,185.17,0
2017-03-10,185.89,185.89,185.89,185.89,0
2017-03-09,185.02,185.02,185.02,185.02,0
2017-03-08,182.58,182.58,182.58,182.58,0
2017-03-07,183.73,183.73,183.73,183.73,0
2017-03-06,184.85,184.85,184.85,184.85,0
2017-03-03,185.97,185.97,185.97,185.97,0
2017-03-02,186.73,186.73,186.73,186.73,0
2017-02-28,186.17,186.17,186.17,186.17,0
2017-02-24,184.34,184.34,184.34,184.34,0
2017-02-23,182.42,182.42,182.42,182.42,0
2017-02-22,181.72,181.72,181.72,181.72,0
2017-02-21,183.82,183.82,183.82,183.82,0
2017-02-20,184.58,184.58,184.58,184.58,0
2017-02-17,184.14,184.14,184.14,184.14,0
2017-02-16,183.73,183.73,183.73,183.73,0
2017-02-14,186.01,186.01,186.01,186.01,0
2017-02-13,187.59,187.59,187.59,187.59,0
2017-02-10,187.12,187.12,187.12,187.12,0
2017-02-08,185.08,185.08,185.08,185.08,0
2017-02-07,184.49,184.49,184.49,184.49,0
2017-02-03,183.42,183.42,183.42,183.42,0
2017-02-02,184.78,184.78,184.78,184.78,0
2017-02-01,184.99,184.99,184.99,184.99,0
2017-01-31,183.33,183.33,183.33,183.33,0
2017-01-30,181.92,181.92,181.92,181.92,0
2017-01-27,180.98,180.98,180.98,180.98,0
2017-01-26,181.59,181.59,181.59,181.59,0
2017-01-25,183.21,183.21,183.21,183.21,0
2017-01-23,181.09,181.09,181.09,181.09,0
2017-01-20,179.71,179.71,179.71,179.71,0
2017-01-19,180.78,180.78,180.78,180.78,0
2017-01-18,183.81,183.81,183.81,183.81,0
2017-01-17,183.27,183.27,183.27,183.27,0
2017-01-16,183.87,183.87,183.87,183.87,0
2017-01-13,183.45,183.45,183.45,183.45,0
2017-01-12,185.17,185.17,185.17,185.17,0
2017-01-10,183.16,183.16,183.16,183.16,0
2017-01-06,18318,18318,18318,18318,0
2017-01-05,183.07,183.07,183.07,183.07,0
2017-01-04,184.67,184.67,184.67,184.67,0
2017-01-03,183.76,183.76,183.76,183.76,0
2016-12-30,182.75,182.75,182.75,182.75,0
2016-12-29,184.95,184.95,184.95,184.95,0
2016-12-28,184.66,184.66,184.66,184.66,0
2016-12-23,182.53,182.53,182.53,182.53,0
2016-12-22,180.88,180.88,180.88,180.88,0
2016-12-20,179.86,179.86,179.86,179.86,0
2016-12-19,178.93,178.93,178.93,178.93,0
2016-12-16,177.52,177.52,177.52,177.52,0
2016-12-15,176.25,176.25,176.25,176.25,0
2016-12-14,176.23,176.23,176.23,176.23,0
2016-12-13,180.37,180.37,180.37,180.37,0
2016-12-12,180.24,180.24,180.24,180.24,0
2016-12-09,179.64,179.64,179.64,179.64,0
2016-12-08,181.21,181.21,181.21,181.21,0
2016-12-07,182.47,182.47,182.47,182.47,0
2016-12-06,181.58,181.58,181.58,181.58,0
2016-12-05,180.24,180.24,180.24,180.24,0
2016-12-02,175.59,175.59,175.59,175.59,0
2016-12-01,175.59,175.59,175.59,175.59,0
2016-11-30,178.29,178.29,178.29,178.29,0
2016-11-29,179.37,179.37,179.37,179.37,0
2016-11-28,179.98,179.98,179.98,179.98,0
2016-11-25,179.94,179.94,179.94,179.94,0
2016-11-24,179.84,179.84,179.84,179.84,0
2016-11-23,179.84,179.84,179.84,179.84,0
2016-11-22,180.66,180.66,180.66,180.66,0
2016-11-21,179.78,179.78,179.78,179.78,0
2016-11-18,178.93,178.93,178.93,178.93,0
2016-11-17,181.97,181.97,181.97,181.97,0
2016-11-16,182.87,182.87,182.87,182.87,0
2016-11-15,183.35,183.35,183.35,183.35,0
2016-11-14,181.23,181.23,181.23,181.23,0
2016-11-11,183.4,183.4,183.4,183.4,0
2016-11-10,183.83,183.83,183.83,183.83,0
2016-11-09,186.35,186.35,186.35,186.35,0
2016-11-08,186.29,186.29,186.29,186.29,0
2016-11-07,187.63,187.63,187.63,187.63,0
2016-11-04,189.75,189.75,189.75,189.75,0
2016-11-03,188.04,188.04,188.04,188.04,0
2016-11-02,189.01,189.01,189.01,189.01,0
2016-11-01,186.91,186.91,186.91,186.91,0
2016-10-31,188.69,188.69,188.69,188.69,0
2016-10-28,186.53,186.53,186.53,186.53,0
2016-10-27,188.55,188.55,188.55,188.55,0
2016-10-26,190.64,190.64,190.64,190.64,0
2016-10-25,192.39,192.39,192.39,192.39,0
2016-10-24,191.72,191.72,191.72,191.72,0
2016-10-21,190.54,190.54,190.54,190.54,0
2016-10-20,191.75,191.75,191.75,191.75,0
2016-10-19,189.64,189.64,189.64,189.64,0
2016-10-14,186.22,186.22,186.22,186.22,0
2016-10-13,18918,18918,18918,18918,0
2016-10-12,190.91,190.91,190.91,190.91,0
2016-10-11,193.58,193.58,193.58,193.58,0
2016-10-10,192.17,192.17,192.17,192.17,0
2016-10-07,193.07,193.07,193.07,193.07,0
2016-10-06,194.83,194.83,194.83,194.83,0
2016-10-05,193.91,193.91,193.91,193.91,0
2016-10-04,193.49,193.49,193.49,193.49,0
2016-10-03,189.58,189.58,189.58,189.58,0
2016-09-30,189.58,189.58,189.58,189.58,0
2016-09-29,193.77,193.77,193.77,193.77,0
2016-09-28,193.57,193.57,193.57,193.57,0
2016-09-27,192.63,192.63,192.63,192.63,0
2016-09-26,190.21,190.21,190.21,190.21,0
2016-09-23,188.15,188.15,188.15,188.15,0
2016-09-22,188.99,188.99,188.99,188.99,0
2016-09-21,184.96,184.96,184.96,184.96,0
2016-09-20,185.78,185.78,185.78,185.78,0
2016-09-19,184.65,184.65,184.65,184.65,0
2016-09-16,185.8,185.8,185.8,185.8,0
2016-09-13,185.47,185.47,185.47,185.47,0
2016-09-12,185.93,185.93,185.93,185.93,0
2016-09-09,185.28,185.28,185.28,185.28,0
2016-09-08,188.72,188.72,188.72,188.72,0
2016-09-07,191.78,191.78,191.78,191.78,0
2016-09-06,190.42,190.42,190.42,190.42,0
2016-09-05,189.62,189.62,189.62,189.62,0
2016-09-01,191.54,191.54,191.54,191.54,0
2016-08-31,191.18,191.18,191.18,191.18,0
2016-08-30,191.68,191.68,191.68,191.68,0
2016-08-26,191.54,191.54,191.54,191.54,0
2016-08-25,189.65,189.65,189.65,189.65,0
2016-08-24,189.14,189.14,189.14,189.14,0
2016-08-23,188.57,188.57,188.57,188.57,0
2016-08-22,186.05,186.05,186.05,186.05,0
2016-08-19,184.89,184.89,184.89,184.89,0
2016-08-18,186.71,186.71,186.71,186.71,0
2016-08-17,185.99,185.99,185.99,185.99,0
2016-08-16,186.42,186.42,186.42,186.42,0
2016-08-15,186.54,186.54,186.54,186.54,0
2016-08-12,186.75,186.75,186.75,186.75,0
2016-08-11,186.19,186.19,186.19,186.19,0
2016-08-10,183.93,183.93,183.93,183.93,0
2016-08-09,180.94,180.94,180.94,180.94,0
2016-08-08,179.23,179.23,179.23,179.23,0
2016-08-05,177.57,177.57,177.57,177.57,0
2016-08-04,172.74,172.74,172.74,172.74,0
2016-08-03,173.58,173.58,173.58,173.58,0
2016-08-02,174.8,174.8,174.8,174.8,0
