date,open,high,low,close,volume
2018-10-01,1317.0,1690.0,1306.0,1501.75,159419,null
2018-11-01,1499.0,1613.5,1499.0,1583.5,231566,null
2018-12-01,1498.0,1874.0,17.25,17.155001,98868,null
2019-01-01,1732.25,1816.0,1529.0,1532.5,152236,null
2019-02-01,1510.0,1529.0,13.41,14.18,360191,null
2019-03-01,1400.0,1412.0,1247.0,1284.0,123203,null
2019-04-01,1259.0,1264.0,1154.5,1200.5,218348,null
2019-05-01,1218.5,1325.0,1205.0,1300.5,141799,null
2019-06-01,1335.0,1345.0,1140.5,1151.5,163523,null
2019-07-01,1123.0,1125.0,1027.0,1070.75,158961,null
2019-08-01,1090.5,1304.0,1049.23999,1214.25,144348,null
2019-09-01,1176.5,1227.959961,1126.0,1130.25,23116,null
2019-09-13,1131.5,1131.5,1115.5,1116.75,3737,null
