date,open,high,low,close,volume
2012-12-07,90.34,90.34,90.34,89.75,88.00,Alphavantage
2012-12-10,90.76,90.76,90.76,90.76,0.00,Alphavantage
2012-12-11,90.36,90.36,90.36,90.36,0.00,Alphavantage
2012-12-12,90.83,90.83,90.83,90.83,0.00,Alphavantage
2012-12-13,90.21,90.21,90.21,90.21,0.00,Alphavantage
2012-12-14,92.30,92.30,92.30,91.94,324.00,Alphavantage
2012-12-17,91.08,91.08,90.59,91.47,6.00,Alphavantage
2012-12-18,91.49,91.49,91.49,91.49,0.00,Alphavantage
2012-12-19,91.60,91.60,91.13,91.85,12.00,Alphavantage
2012-12-20,91.80,91.80,90.59,91.84,112.00,Alphavantage
2012-12-21,89.55,90.18,89.55,91.31,109.00,Alphavantage
2012-12-24,90.20,90.20,90.20,90.20,172.00,Alphavantage
2012-12-27,92.00,92.00,91.60,92.17,1074.00,Alphavantage
2012-12-28,91.61,91.61,91.30,92.09,4252.00,Alphavantage
2012-12-31,92.09,92.09,92.09,92.09,0.00,Alphavantage
2013-01-02,96.00,96.00,95.50,96.81,42.00,Alphavantage
2013-01-03,97.00,97.00,96.18,97.64,8.00,Alphavantage
2013-01-04,96.07,97.20,96.07,97.38,180.00,Alphavantage
2013-01-07,98.00,98.17,97.80,97.11,146.00,Alphavantage
2013-01-08,96.02,96.12,95.75,94.95,123.00,Alphavantage
2013-01-09,96.50,97.66,96.50,97.05,50.00,Alphavantage
2013-01-10,97.00,97.00,96.35,96.94,90.00,Alphavantage
2013-01-11,96.26,96.26,96.26,96.26,0.00,Alphavantage
2013-01-14,97.52,97.52,97.52,97.52,0.00,Alphavantage
2013-01-15,97.00,97.00,96.72,97.35,66.00,Alphavantage
2013-01-16,97.38,97.38,97.38,97.38,0.00,Alphavantage
2013-01-17,98.11,98.11,98.11,98.11,0.00,Alphavantage
2013-01-18,99.00,99.00,99.00,99.76,22.00,Alphavantage
2013-01-21,99.40,99.40,98.67,100.27,5212.00,Alphavantage
2013-01-22,100.34,100.34,100.34,100.34,0.00,Alphavantage
2013-01-23,100.10,100.10,100.10,100.01,20.00,Alphavantage
2013-01-24,100.00,100.00,99.57,101.08,60.00,Alphavantage
2013-01-25,99.13,97.84,97.84,98.92,52.00,Alphavantage
2013-01-28,99.85,101.38,99.85,100.47,342.00,Alphavantage
2013-01-29,100.80,101.30,99.70,100.42,6182.00,Alphavantage
2013-01-30,100.95,101.51,100.75,100.58,10768.00,Alphavantage
2013-01-31,100.20,100.20,99.14,99.94,578.00,Alphavantage
2013-02-01,101.54,101.59,101.54,101.34,98.00,Alphavantage
2013-02-04,100.58,101.21,98.90,98.80,2455.00,Alphavantage
2013-02-05,98.70,98.70,97.97,98.72,24.00,Alphavantage
2013-02-06,98.19,98.19,98.19,98.11,162.00,Alphavantage
2013-02-07,96.00,96.00,95.22,95.67,426.00,Alphavantage
2013-02-08,96.19,96.19,95.38,95.97,262.00,Alphavantage
2013-02-11,96.85,97.07,96.85,97.05,458.00,Alphavantage
2013-02-12,97.50,97.55,97.50,97.32,232.00,Alphavantage
2013-02-13,98.55,98.92,98.55,98.47,532.00,Alphavantage
2013-02-14,99.25,99.40,99.25,99.16,230.00,Alphavantage
2013-02-15,99.60,99.60,99.60,99.28,100.00,Alphavantage
2013-02-18,98.77,98.77,98.77,98.77,0.00,Alphavantage
2013-02-19,97.77,97.77,97.20,97.77,24.00,Alphavantage
2013-02-20,98.88,98.88,98.88,98.44,3329.00,Alphavantage
2013-02-21,96.00,96.05,96.00,95.80,6481.00,Alphavantage
2013-02-22,96.36,96.45,96.36,96.08,6384.00,Alphavantage
2013-02-25,97.46,97.46,97.46,97.76,58.00,Alphavantage
2013-02-26,95.02,95.02,95.02,95.02,0.00,Alphavantage
2013-02-27,96.32,96.32,96.32,96.27,166.00,Alphavantage
2013-02-28,97.29,97.68,97.29,97.88,428.00,Alphavantage
2013-03-01,98.02,98.02,96.94,98.12,52.00,Alphavantage
2013-03-04,95.48,95.48,95.48,95.92,450.00,Alphavantage
2013-03-05,96.51,96.51,95.67,97.00,28.00,Alphavantage
2013-03-06,98.08,98.08,98.08,98.08,0.00,Alphavantage
2013-03-07,97.61,97.61,97.61,97.98,478.00,Alphavantage
2013-03-08,99.63,99.83,99.63,100.03,211.00,Alphavantage
2013-03-11,99.50,99.55,98.72,99.83,506.00,Alphavantage
2013-03-12,97.40,97.40,97.28,97.39,100.00,Alphavantage
2013-03-13,96.00,96.00,95.35,95.69,290.00,Alphavantage
2013-03-14,96.20,96.49,95.88,96.00,1264.00,Alphavantage
2013-03-15,94.27,94.27,94.27,94.25,360.00,Alphavantage
