date,open,high,low,close,volume
2010-08-03,5032.00,5032.00,5028.00,5010.00,240.00,Alphavantage
2010-08-04,4982.00,4982.00,4982.00,4982.00,0.00,Alphavantage
2010-08-05,4984.00,4984.00,4984.00,4984.00,0.00,Alphavantage
2010-08-06,5008.00,5008.00,5008.00,5008.00,0.00,Alphavantage
2010-08-09,4996.00,4996.00,4996.00,4996.00,0.00,Alphavantage
2010-08-10,4974.00,4974.00,4974.00,4974.00,0.00,Alphavantage
2010-08-11,4995.00,4995.00,4995.00,4995.00,0.00,Alphavantage
2010-08-12,4988.00,4988.00,4988.00,4988.00,0.00,Alphavantage
2010-08-13,5014.00,5014.00,5014.00,5005.00,120.00,Alphavantage
2010-08-16,5014.00,5014.00,5014.00,5015.00,0.00,Alphavantage
2010-08-17,5014.00,5014.00,5014.00,4932.00,0.00,Alphavantage
2010-08-18,5014.00,5014.00,5014.00,4974.00,0.00,Alphavantage
2010-08-19,5014.00,5014.00,5014.00,5009.00,0.00,Alphavantage
2010-08-20,5014.00,5014.00,5014.00,5002.00,0.00,Alphavantage
2010-08-23,5014.00,5014.00,5014.00,4984.00,0.00,Alphavantage
2010-08-24,5014.00,5014.00,5014.00,4997.00,0.00,Alphavantage
2010-08-25,5014.00,5014.00,5014.00,5033.00,0.00,Alphavantage
2010-08-26,5014.00,5014.00,5014.00,5016.00,0.00,Alphavantage
2010-08-27,5014.00,5014.00,5014.00,4948.00,0.00,Alphavantage
2010-08-31,5014.00,5014.00,5014.00,4927.00,0.00,Alphavantage
2010-09-01,4870.00,4873.00,4870.00,4857.00,408.00,Alphavantage
2010-09-02,4870.00,4873.00,4870.00,4835.00,0.00,Alphavantage
2010-09-03,4870.00,4873.00,4870.00,4821.00,0.00,Alphavantage
2010-09-06,4800.00,4800.00,4800.00,4800.00,0.00,Alphavantage
2010-09-07,4826.00,4826.00,4826.00,4793.00,204.00,Alphavantage
2010-09-08,4822.00,4822.00,4822.00,4822.00,0.00,Alphavantage
2010-09-09,4768.00,4768.00,4764.00,4759.00,404.00,Alphavantage
2010-09-10,4742.00,4742.00,4742.00,4742.00,0.00,Alphavantage
2010-09-13,4708.00,4708.00,4708.00,4708.00,0.00,Alphavantage
2010-09-14,4714.00,4714.00,4713.00,4697.00,850.00,Alphavantage
2010-09-15,4742.00,4742.00,4742.00,4742.00,0.00,Alphavantage
2010-09-16,4756.00,4756.00,4756.00,4756.00,0.00,Alphavantage
2010-09-17,4754.00,4754.00,4754.00,4754.00,0.00,Alphavantage
2010-09-20,4678.00,4678.00,4678.00,4678.00,0.00,Alphavantage
2010-09-21,4677.00,4677.00,4677.00,4677.00,0.00,Alphavantage
2010-09-22,4677.00,4677.00,4677.00,4677.00,0.00,Alphavantage
2010-09-23,4692.00,4692.00,4692.00,4692.00,0.00,Alphavantage
2010-09-24,4693.00,4693.00,4693.00,4703.00,50.00,Alphavantage
2010-09-27,4722.00,4722.00,4722.00,4688.00,31.00,Alphavantage
2010-09-28,4648.00,4648.00,4648.00,4648.00,0.00,Alphavantage
2010-09-29,4633.00,4633.00,4633.00,4633.00,0.00,Alphavantage
2010-09-30,4638.00,4638.00,4638.00,4638.00,0.00,Alphavantage
2010-10-01,4634.00,4634.00,4634.00,4634.00,0.00,Alphavantage
2010-10-04,4663.00,4663.00,4644.00,4652.00,187.00,Alphavantage
2010-10-05,4668.00,4668.00,4668.00,4668.00,0.00,Alphavantage
2010-10-06,4626.00,4626.00,4626.00,4626.00,0.00,Alphavantage
2010-10-07,4611.00,4613.00,4611.00,4605.00,873.00,Alphavantage
2010-10-08,4590.00,4590.00,4590.00,4590.00,0.00,Alphavantage
2010-10-11,4589.00,4589.00,4589.00,4589.00,0.00,Alphavantage
2010-10-12,4551.00,4551.00,4551.00,4551.00,0.00,Alphavantage
2010-10-13,4559.00,4559.00,4559.00,4534.00,54.00,Alphavantage
2010-10-14,4558.00,4558.00,4558.00,4565.00,50.00,Alphavantage
2010-10-15,4610.00,4610.00,4610.00,4589.00,22.00,Alphavantage
2010-10-18,4548.00,4548.00,4548.00,4548.00,0.00,Alphavantage
2010-10-19,4586.00,4586.00,4586.00,4586.00,0.00,Alphavantage
2010-10-20,4558.00,4558.00,4558.00,4558.00,0.00,Alphavantage
2010-10-21,4538.00,4538.00,4538.00,4538.00,0.00,Alphavantage
2010-10-22,4540.00,4543.00,4540.00,4535.00,875.00,Alphavantage
2010-10-25,4487.00,4487.00,4487.00,4487.00,0.00,Alphavantage
2010-10-26,4557.00,4557.00,4557.00,4557.00,0.00,Alphavantage
2010-10-27,4621.00,4621.00,4619.00,4612.00,932.00,Alphavantage
2010-10-28,4607.00,4607.00,4607.00,4607.00,0.00,Alphavantage
2010-10-29,4620.00,4620.00,4620.00,4620.00,0.00,Alphavantage
2010-11-01,4599.00,4599.00,4599.00,4599.00,0.00,Alphavantage
2010-11-02,4537.00,4537.00,4537.00,4537.00,0.00,Alphavantage
2010-11-03,4563.00,4563.00,4563.00,4563.00,0.00,Alphavantage
2010-11-04,4530.00,4530.00,4530.00,4530.00,0.00,Alphavantage
2010-11-05,4527.00,4527.00,4527.00,4517.00,72.00,Alphavantage
2010-11-08,4511.00,4511.00,4511.00,4511.00,0.00,Alphavantage
2010-11-09,4476.00,4476.00,4476.00,4476.00,0.00,Alphavantage
2010-11-10,4537.00,4545.00,4537.00,4530.00,1322.00,Alphavantage
2010-11-11,4567.00,4567.00,4567.00,4567.00,0.00,Alphavantage
2010-11-12,4575.00,4595.00,4575.00,4601.00,176.00,Alphavantage
2010-11-15,4595.00,4595.00,4595.00,4581.00,176.00,Alphavantage
2010-11-16,4614.00,4627.00,4614.00,4597.00,931.00,Alphavantage
2010-11-17,4580.00,4580.00,4580.00,4580.00,0.00,Alphavantage
2010-11-18,4567.00,4567.00,4567.00,4567.00,0.00,Alphavantage
2010-11-19,4571.00,4571.00,4571.00,4571.00,0.00,Alphavantage
2010-11-22,4560.00,4560.00,4560.00,4559.00,88.00,Alphavantage
2010-11-23,4559.00,4559.00,4559.00,4559.00,0.00,Alphavantage
2010-11-24,4521.00,4521.00,4521.00,4521.00,0.00,Alphavantage
2010-11-25,4524.00,4524.00,4524.00,4524.00,0.00,Alphavantage
2010-11-26,4556.00,4556.00,4556.00,4556.00,0.00,Alphavantage
2010-11-29,4569.00,4569.00,4569.00,4569.00,0.00,Alphavantage
2010-11-30,4568.00,4568.00,4568.00,4568.00,0.00,Alphavantage
2010-12-01,4542.00,4542.00,4542.00,4542.00,0.00,Alphavantage
2010-12-02,4506.00,4506.00,4506.00,4495.00,81.00,Alphavantage
2010-12-03,4471.00,4471.00,4471.00,4471.00,0.00,Alphavantage
2010-12-06,4470.00,4480.00,4468.00,4462.00,416.00,Alphavantage
2010-12-07,4488.00,4488.00,4488.00,4488.00,0.00,Alphavantage
2010-12-08,4533.00,4533.00,4533.00,4540.00,81.00,Alphavantage
2010-12-09,4486.00,4486.00,4486.00,4495.00,22.00,Alphavantage
2010-12-10,4502.00,4502.00,4502.00,4502.00,0.00,Alphavantage
2010-12-13,4468.00,4468.00,4468.00,4484.00,85.00,Alphavantage
2010-12-14,4433.00,4433.00,4433.00,4433.00,0.00,Alphavantage
2010-12-15,4430.00,4430.00,4408.00,4419.00,408.00,Alphavantage
2010-12-16,4430.00,4430.00,4408.00,4442.00,0.00,Alphavantage
2010-12-17,4408.00,4408.00,4408.00,4408.00,0.00,Alphavantage
2010-12-20,4379.00,4379.00,4379.00,4379.00,0.00,Alphavantage
2010-12-21,4377.00,4377.00,4377.00,4349.00,92.00,Alphavantage
2010-12-22,4325.00,4331.00,4323.00,4314.00,932.00,Alphavantage
2010-12-23,4299.00,4311.00,4299.00,4295.00,470.00,Alphavantage
2010-12-24,4305.00,4305.00,4305.00,4305.00,0.00,Alphavantage
2010-12-29,4261.00,4261.00,4261.00,4261.00,0.00,Alphavantage
2010-12-30,4261.00,4261.00,4261.00,4261.00,0.00,Alphavantage
2011-01-04,4328.00,4344.00,4309.00,4338.00,1349.00,Alphavantage
2011-01-05,4340.00,4365.00,4340.00,4330.00,544.00,Alphavantage
2011-01-06,4344.00,4344.00,4344.00,4352.00,158.00,Alphavantage
2011-01-07,4352.00,4352.00,4352.00,4368.00,657.00,Alphavantage
2011-01-10,4385.00,4385.00,4385.00,4385.00,0.00,Alphavantage
2011-01-11,4416.00,4416.00,4416.00,4415.00,45.00,Alphavantage
2011-01-12,4414.00,4414.00,4414.00,4414.00,100.00,Alphavantage
2011-01-13,4414.00,4431.00,4407.00,4433.00,235.00,Alphavantage
2011-01-14,4469.00,4469.00,4463.00,4481.00,2352.00,Alphavantage
2011-01-17,4470.00,4470.00,4470.00,4461.00,125.00,Alphavantage
2011-01-18,4472.00,4472.00,4472.00,4472.00,0.00,Alphavantage
2011-01-19,4443.00,4443.00,4443.00,4446.00,180.00,Alphavantage
2011-01-20,4487.00,4487.00,4487.00,4487.00,0.00,Alphavantage
2011-01-21,4503.00,4503.00,4503.00,4503.00,0.00,Alphavantage
2011-01-24,4496.00,4496.00,4496.00,4455.00,44.00,Alphavantage
2011-01-25,4428.00,4447.00,4414.00,4444.00,554.00,Alphavantage
2011-01-26,4451.00,4451.00,4451.00,4451.00,0.00,Alphavantage
2011-01-27,4474.00,4474.00,4474.00,4474.00,0.00,Alphavantage
2011-01-28,4437.00,4437.00,4437.00,4437.00,0.00,Alphavantage
2011-01-31,4479.00,4479.00,4479.00,4479.00,0.00,Alphavantage
2011-02-01,4436.00,4436.00,4436.00,4436.00,0.00,Alphavantage
2011-02-02,4472.00,4472.00,4472.00,4472.00,0.00,Alphavantage
2011-02-03,4434.00,4434.00,4434.00,4434.00,0.00,Alphavantage
2011-02-04,4410.00,4410.00,4410.00,4410.00,0.00,Alphavantage
2011-02-07,4415.00,4415.00,4415.00,4415.00,0.00,Alphavantage
2011-02-08,4396.00,4396.00,4396.00,4396.00,0.00,Alphavantage
2011-02-09,4419.00,4419.00,4419.00,4430.00,56.00,Alphavantage
2011-02-10,4456.00,4456.00,4453.00,4457.00,234.00,Alphavantage
2011-02-11,4475.00,4475.00,4445.00,4441.00,2792.00,Alphavantage
2011-02-14,4435.00,4440.00,4435.00,4440.50,871.00,Alphavantage
2011-02-15,4460.00,4480.00,4453.00,4487.00,1318.00,Alphavantage
2011-02-16,4521.00,4521.00,4490.00,4463.00,699.00,Alphavantage
2011-02-17,4436.00,4436.00,4436.00,4436.00,0.00,Alphavantage
2011-02-18,4435.00,4435.00,4435.00,4447.00,56.00,Alphavantage
2011-02-21,4468.00,4468.00,4468.00,4468.00,0.00,Alphavantage
2011-02-22,4481.00,4481.00,4481.00,4475.00,223.00,Alphavantage
2011-02-23,4498.00,4498.00,4498.00,4498.00,0.00,Alphavantage
2011-02-24,4435.00,4473.00,4435.00,4425.50,948.00,Alphavantage
2011-02-25,4392.00,4392.00,4392.00,4392.00,0.00,Alphavantage
2011-02-28,4402.00,4402.00,4402.00,4425.50,5.00,Alphavantage
2011-03-01,4433.00,4433.00,4420.00,4445.50,136.00,Alphavantage
2011-03-02,4456.00,4462.00,4456.00,4448.00,998.00,Alphavantage
2011-03-03,4443.00,4443.00,4443.00,4443.00,0.00,Alphavantage
2011-03-04,4444.00,4444.00,4444.00,4444.00,0.00,Alphavantage
2011-03-07,4434.50,4434.50,4434.50,4434.50,0.00,Alphavantage
2011-03-08,4434.00,4434.00,4434.00,4426.00,50.00,Alphavantage
2011-03-09,4445.00,4445.00,4440.00,4440.00,3069.00,Alphavantage
2011-03-10,4435.50,4435.50,4435.50,4435.50,0.00,Alphavantage
2011-03-11,4438.00,4438.00,4438.00,4405.50,135.00,Alphavantage
2011-03-14,4436.50,4436.50,4436.50,4436.50,0.00,Alphavantage
2011-03-15,4476.50,4476.50,4476.50,4476.50,0.00,Alphavantage
